@relation 'slowBody-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,attack,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
4,689,3,164,52,172,511,225,52,54,60,4,1458,1638,1819,255,3295,3295,3295,0,10365536,6,1669,3333,2352,10362197,10362197,10362197,0,2,344,1,82,2,0,0,0,216,164,attack
3,506,2,112,52,168,394,195,52,56,60,5,1490,1625,1761,191,3279,3279,3279,0,3351,3351,3351,3351,0,0,0,0,0,3,506,2,112,1,0,0,0,164,112,attack
9,993,7,860,40,110,511,150,52,122,540,183,1078,21318,61581,34868,4319,11969,19620,10819,29921443,4217,18611,61581,22718,1001017,5961954,10199474,4565366,1,165,1,143,4,1,0,0,472,372,attack
8,894,7,860,40,111,467,144,52,122,540,183,1365,14959,41970,23391,616,2090,3564,2084,30694459,4905,15410,41970,15017,1014658,7654352,10365042,4465311,1,178,1,172,4,1,0,0,412,372,attack
15,2716,3,647,40,181,335,99,52,215,535,276,360,277010,863877,305146,266,266,266,0,30441914,488026,316583,1728060,648431,1031970,4704304,13082238,4611050,2,388,0,92,10,1,0,0,792,164,attack
3,506,2,112,52,168,394,195,52,56,60,5,1467,1612,1758,205,3210,3210,3210,0,3278,3278,3278,3278,0,0,0,0,0,3,506,2,112,1,0,0,0,164,112,attack
8,956,8,912,40,119,511,159,52,114,540,172,1307,20667,59300,33456,23,5561,13969,7402,30690112,12,12414,59300,26236,1003973,7657010,10368186,4474031,1,191,1,182,4,1,0,0,412,424,attack
12,1303,2,112,52,108,387,88,52,56,60,5,1501,280932,829762,313681,2990,2990,2990,0,31572631,0,281176,1682561,686537,1666268,5977114,10507295,3513750,2,217,0,18,10,0,0,0,632,112,attack
12,1446,2,112,52,120,387,86,52,56,60,5,1569,279751,836852,315155,3092,3092,3092,0,30552362,0,279998,1675356,683585,1659237,5774474,9486886,3203146,2,241,0,18,10,0,0,0,632,112,attack
8,956,7,860,40,119,467,142,52,122,540,183,1509,17263,48671,27199,2991,4209,5428,1723,29968327,4579,16718,48671,18031,1010018,7471183,10194466,4333041,1,191,1,172,4,1,0,0,412,372,attack
