% isAttack normal:	2000
% isAttack attack:	1866
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6,21,27-28,40'

@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute duration numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute isAttack {normal,attack}

@data
72,0,72,72,0,0,0,normal
58,0,58,58,0,0,0,normal
130,0,130,130,0,0,0,normal
60,0,60,60,0,0,0,normal
56,0,56,56,0,0,0,normal
139,0,139,139,0,0,0,normal
73,0,73,73,0,0,0,normal
30,0,30,30,0,0,0,normal
14840,0,1484,1484,83355,0,0,normal
354,0,177,177,15690,0,0,normal
11616,0,1452,1452,4918,0,0,normal
113,0,113,113,0,0,0,normal
30,0,30,30,0,0,0,normal
176,0,44,44,1075335,1026902,1026902,normal
72,0,72,72,0,0,0,normal
131,0,131,131,0,0,0,normal
64,0,64,64,0,0,0,normal
129,0,129,129,0,0,0,normal
31,0,31,31,0,0,0,normal
296,0,296,296,0,0,0,normal
315,0,315,315,0,0,0,normal
326,0,326,326,0,0,0,normal
126,0,126,126,0,0,0,normal
354,0,177,177,31891,0,0,normal
88,0,44,44,12925,0,0,normal
220,0,220,220,0,0,0,normal
129,0,129,129,0,0,0,normal
209,0,209,209,0,0,0,normal
128,0,32,32,7514662,2504887,2516879,normal
129,0,129,129,0,0,0,normal
90,0,90,90,0,0,0,normal
116,0,116,116,0,0,0,normal
292,0,292,292,0,0,0,normal
30,0,30,30,0,0,0,normal
669,0,669,669,0,0,0,normal
126,0,126,126,0,0,0,normal
44,0,44,44,0,0,0,normal
44,0,44,44,0,0,0,normal
172,0,172,172,0,0,0,normal
85,0,85,85,0,0,0,normal
90,0,90,90,0,0,0,normal
90,0,90,90,0,0,0,normal
44,0,44,44,0,0,0,normal
73,0,73,73,0,0,0,normal
97,0,97,97,0,0,0,normal
131,0,131,131,0,0,0,normal
95,0,95,95,0,0,0,normal
116,0,116,116,0,0,0,normal
147,0,147,147,0,0,0,normal
88,0,44,44,503,0,0,normal
116,0,58,58,3210727,3210727,3210727,normal
88,0,44,44,8106,0,0,normal
86,0,86,86,0,0,0,normal
134,0,134,134,0,0,0,normal
72,0,72,72,0,0,0,normal
63,0,63,63,0,0,0,normal
126,0,126,126,0,0,0,normal
624,0,624,624,0,0,0,normal
92,0,92,92,0,0,0,normal
132,0,44,44,1227422,1107128,1107128,normal
39071,0,95,217,10534606,0,0,normal
74,0,74,74,0,0,0,normal
89,0,89,89,0,0,0,normal
97,0,97,97,0,0,0,normal
126,0,126,126,0,0,0,normal
72,0,72,72,0,0,0,normal
72,0,72,72,0,0,0,normal
172,0,172,172,0,0,0,normal
1352954,0,116,859,10554123,0,0,normal
300,0,300,300,0,0,0,normal
126,0,126,126,0,0,0,normal
174,0,58,58,7110038,3555019,3786919,normal
300,0,300,300,0,0,0,normal
55,0,55,55,0,0,0,normal
129,0,129,129,0,0,0,normal
232,0,116,116,10008072,10008072,10008072,normal
73,0,73,73,0,0,0,normal
254,0,254,254,0,0,0,normal
95,0,95,95,0,0,0,normal
126,0,126,126,0,0,0,normal
126,0,126,126,0,0,0,normal
129,0,129,129,0,0,0,normal
531,0,177,177,5292655,4645744,4645744,normal
129,0,129,129,0,0,0,normal
126,0,126,126,0,0,0,normal
44,0,44,44,0,0,0,normal
58,0,58,58,0,0,0,normal
164,0,48,82,2000301,2000301,2000301,normal
85,0,85,85,0,0,0,normal
216,0,216,216,0,0,0,normal
131,0,131,131,0,0,0,normal
48,0,48,48,0,0,0,normal
75,0,75,75,0,0,0,normal
126,0,126,126,0,0,0,normal
81,0,81,81,0,0,0,normal
48,0,48,48,0,0,0,normal
1192,0,596,596,762,0,0,normal
