% isAttack HIGH_RATE:	1087
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,5,8,23,27,29,33,38,40'

@attribute total_fvolume numeric
@attribute min_fpktl numeric
@attribute std_fpktl numeric
@attribute mean_active numeric
@attribute mean_idle numeric
@attribute std_idle numeric
@attribute sflow_bbytes numeric
@attribute total_fhlen numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
133,133,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
48,48,0,0,0,0,0,28,NORMAL
2216,1108,0,0,7856835,0,0,48,NORMAL
192,96,0,0,4501161,0,0,48,NORMAL
48,48,0,0,0,0,0,28,NORMAL
96,96,0,0,0,0,0,28,NORMAL
305,305,0,0,0,0,0,28,NORMAL
176,44,0,130382,0,0,0,88,NORMAL
7756,1108,0,212321,2117255,1889051,0,148,NORMAL
86,86,0,0,0,0,0,28,NORMAL
62,62,0,0,0,0,0,28,NORMAL
207,207,0,0,0,0,0,28,NORMAL
131,131,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
98,98,0,0,0,0,0,28,NORMAL
46,46,0,0,0,0,0,28,NORMAL
64,64,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
318,318,0,0,0,0,0,28,NORMAL
876,876,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
130,130,0,0,0,0,0,28,NORMAL
31,31,0,0,0,0,0,28,NORMAL
82,82,0,0,0,0,0,28,NORMAL
76,76,0,0,0,0,0,28,NORMAL
72,72,0,0,0,0,0,28,NORMAL
152,152,0,0,0,0,0,28,NORMAL
728,728,0,0,0,0,0,28,NORMAL
1108,1108,0,0,0,0,0,28,NORMAL
258,129,0,791081,0,0,0,48,NORMAL
44,44,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
118,118,0,0,0,0,0,28,NORMAL
135,45,0,159675,0,0,0,68,NORMAL
72,72,0,0,0,0,0,28,NORMAL
112,51,7,439571,0,0,0,48,NORMAL
126,126,0,0,0,0,0,28,NORMAL
84,84,0,0,0,0,0,28,NORMAL
596,596,0,0,0,0,0,28,NORMAL
92,92,0,0,0,0,0,28,NORMAL
51,51,0,0,0,0,0,28,NORMAL
885,885,0,0,0,0,0,28,NORMAL
72,72,0,0,0,0,0,28,NORMAL
14840,1484,0,68308,0,0,0,208,NORMAL
69,69,0,0,0,0,0,28,NORMAL
96,48,0,0,6032240,0,0,48,NORMAL
74,74,0,0,0,0,0,28,NORMAL
48,48,0,0,0,0,0,28,NORMAL
1108,1108,0,0,0,0,0,28,NORMAL
73,73,0,0,0,0,0,28,NORMAL
131,131,0,0,0,0,0,28,NORMAL
48,48,0,0,0,0,0,28,NORMAL
88,44,0,12835,0,0,0,48,NORMAL
114,114,0,0,0,0,0,28,NORMAL
