% isAttack HIGH_RATE:	1533
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R6,15,21,40'

@attribute mean_fpktl numeric
@attribute max_fiat numeric
@attribute duration numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
64,318671,2093595,HIGH_RATE
66,511715,5882521,HIGH_RATE
64,313897,5111883,HIGH_RATE
63,17981,413847,HIGH_RATE
65,410152,1957208,HIGH_RATE
67,710412,23924324,HIGH_RATE
65,924492,13654923,HIGH_RATE
64,393300,1945248,HIGH_RATE
64,242593,6839571,HIGH_RATE
64,379316,16182816,HIGH_RATE
64,659779,13863327,HIGH_RATE
71,968069,23618540,HIGH_RATE
66,970778,27660389,HIGH_RATE
65,938967,12313899,HIGH_RATE
64,778893,13650948,HIGH_RATE
65,963483,24096334,HIGH_RATE
64,418823,1815886,HIGH_RATE
67,928145,12332060,HIGH_RATE
64,900354,13645963,HIGH_RATE
64,562321,22536417,HIGH_RATE
66,968036,11136134,HIGH_RATE
64,319369,18997623,HIGH_RATE
65,925594,13635442,HIGH_RATE
64,416933,2216858,HIGH_RATE
65,599370,8182388,HIGH_RATE
64,379166,15851578,HIGH_RATE
65,539640,7361356,HIGH_RATE
64,379648,16508207,HIGH_RATE
65,432446,2192291,HIGH_RATE
64,382122,16112854,HIGH_RATE
67,542327,7871635,HIGH_RATE
65,677682,16820328,HIGH_RATE
65,440063,24074301,HIGH_RATE
64,33106,8228226,HIGH_RATE
65,416546,1957728,HIGH_RATE
64,316185,26107335,HIGH_RATE
64,13364,307594,HIGH_RATE
64,242790,7742362,HIGH_RATE
65,308454,23063967,HIGH_RATE
64,382447,16185177,HIGH_RATE
64,318961,16008049,HIGH_RATE
64,41694,5978164,HIGH_RATE
64,381508,16160387,HIGH_RATE
65,56619,3163117,HIGH_RATE
64,258017,1436020,HIGH_RATE
64,337480,7214803,HIGH_RATE
68,541287,7526107,HIGH_RATE
66,17593,231246,HIGH_RATE
63,31766,589402,HIGH_RATE
66,542387,8598202,HIGH_RATE
65,980379,11513864,HIGH_RATE
65,971937,11503336,HIGH_RATE
70,978892,13354835,HIGH_RATE
66,514741,5882485,HIGH_RATE
64,307141,27652818,HIGH_RATE
64,679736,13011565,HIGH_RATE
65,545814,7681749,HIGH_RATE
66,969122,11505934,HIGH_RATE
64,403486,1898651,HIGH_RATE
67,513077,6445218,HIGH_RATE
67,539898,7821773,HIGH_RATE
67,901419,10908228,HIGH_RATE
66,557233,8351802,HIGH_RATE
64,251005,1440708,HIGH_RATE
64,695778,22034403,HIGH_RATE
65,715612,5058117,HIGH_RATE
64,242870,7355223,HIGH_RATE
64,44947,2432506,HIGH_RATE
67,563057,7173703,HIGH_RATE
65,919891,25894177,HIGH_RATE
65,557415,8326135,HIGH_RATE
64,448345,29197627,HIGH_RATE
65,393710,1825733,HIGH_RATE
66,511872,5923039,HIGH_RATE
66,406250,2291371,HIGH_RATE
66,511829,5874498,HIGH_RATE
66,653152,13588126,HIGH_RATE
65,538176,8838725,HIGH_RATE
64,87402,591557,HIGH_RATE
64,102948,824703,HIGH_RATE
66,544538,8189455,HIGH_RATE
65,43685,3664777,HIGH_RATE
65,542095,8579313,HIGH_RATE
66,544773,8165853,HIGH_RATE
66,549674,7972294,HIGH_RATE
76,969671,11510505,HIGH_RATE
64,35995,4167245,HIGH_RATE
65,923066,12247271,HIGH_RATE
64,589992,3924175,HIGH_RATE
66,511845,5734251,HIGH_RATE
64,381950,16632967,HIGH_RATE
67,536094,7799519,HIGH_RATE
65,548114,8853896,HIGH_RATE
66,968883,11071430,HIGH_RATE
66,969988,12190797,HIGH_RATE
64,379634,16182011,HIGH_RATE
67,536355,7684647,HIGH_RATE
64,389683,15993545,HIGH_RATE
64,226827,6448968,HIGH_RATE
64,44758,3383150,HIGH_RATE
64,417835,1958485,HIGH_RATE
63,17981,413847,HIGH_RATE
66,541481,7995801,HIGH_RATE
66,903736,11645938,HIGH_RATE
64,379135,16159029,HIGH_RATE
65,969319,12180134,HIGH_RATE
64,258017,1436020,HIGH_RATE
65,703017,1951024,HIGH_RATE
66,512339,5897193,HIGH_RATE
67,923532,9868103,HIGH_RATE
66,902490,10827964,HIGH_RATE
65,924681,13005954,HIGH_RATE
195,0,2002583,HIGH_RATE
64,388715,16181963,HIGH_RATE
66,923903,12997393,HIGH_RATE
64,381464,16612904,HIGH_RATE
64,658058,10823361,HIGH_RATE
64,379649,16179850,HIGH_RATE
70,941035,13667862,HIGH_RATE
64,391098,1397410,HIGH_RATE
64,42219,8730964,HIGH_RATE
64,308210,14987282,HIGH_RATE
64,39206,1966647,HIGH_RATE
64,38572,5683563,HIGH_RATE
66,969029,12489582,HIGH_RATE
64,386574,15970123,HIGH_RATE
64,36611,5173174,HIGH_RATE
65,550014,7997045,HIGH_RATE
64,41891,7719712,HIGH_RATE
64,13143,900080,HIGH_RATE
64,319077,28675716,HIGH_RATE
66,390087,1687830,HIGH_RATE
72,967198,11957947,HIGH_RATE
65,967796,11967357,HIGH_RATE
65,948028,11134237,HIGH_RATE
64,379117,16157041,HIGH_RATE
64,338063,3265078,HIGH_RATE
64,380586,16182972,HIGH_RATE
68,895036,12021649,HIGH_RATE
64,1237336,13509528,HIGH_RATE
65,924885,12999422,HIGH_RATE
65,923589,13723228,HIGH_RATE
66,536215,7820115,HIGH_RATE
74,963324,12059682,HIGH_RATE
65,537692,8175000,HIGH_RATE
68,568812,7565917,HIGH_RATE
64,379369,15871975,HIGH_RATE
65,512675,5812846,HIGH_RATE
65,923389,13723134,HIGH_RATE
67,846208,5453505,HIGH_RATE
65,537550,7796312,HIGH_RATE
66,536601,7998953,HIGH_RATE
66,590352,8428284,HIGH_RATE
68,664207,7828778,HIGH_RATE
64,343840,23577892,HIGH_RATE
64,251387,1467912,HIGH_RATE
