@relation 'httpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,attack,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
5,304,4,699,52,60,88,15,52,174,535,240,160,217969,806917,393762,4,269016,806065,465098,871879,871879,871879,871879,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,1085,17013,42391,18979,27,6892,15789,8074,68054,68054,68054,68054,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,400,15516,46826,21754,3,4682,12538,6844,62067,62067,62067,62067,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,173,215942,818743,402374,596,273125,817777,471682,863771,863771,863771,863771,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,1328,11804,40577,19195,22,1768,5139,2919,47219,47219,47219,47219,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
3,206,2,112,52,68,94,22,52,56,60,5,66,453,841,548,1142,1142,1142,0,1736,1736,1736,1736,0,0,0,0,0,3,206,2,112,1,0,0,0,164,112,attack
5,304,4,699,52,60,88,15,52,174,535,240,1375,63703,206810,97482,6,69033,203511,116474,254812,254812,254812,254812,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,895,14833,41184,22833,4,1761,3518,2484,1115301,4354,22935,41517,26278,1069430,1069430,1069430,0,2,152,2,349,1,1,0,0,268,216,attack
6,362,4,699,52,60,94,16,52,174,535,240,350,226325,860457,423229,17,286788,858974,495528,4215564,0,452650,905301,640144,3310263,3310263,3310263,0,3,181,2,349,1,1,0,0,320,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,217,12498,43703,20887,27,537,1350,711,49995,49995,49995,49995,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
