@relation 'slowHeaders-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,attack,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
8,857,6,803,40,107,395,117,52,133,535,196,1509,15005,41931,23318,3292,3292,3292,0,30964101,1813,11563,41931,17028,1010371,7726571,10662768,4517623,1,171,1,160,4,1,0,0,412,320,attack
7,756,6,803,40,108,394,127,52,133,535,196,1530,17992,50883,28483,2986,3962,4939,1380,30810681,4526,17635,50883,22211,1026373,10246712,19207206,9093201,1,189,1,200,3,1,0,0,360,320,attack
3,358,2,112,52,119,246,109,52,56,60,5,1415,1635,1855,311,3266,3266,3266,0,3332,3332,3332,3332,0,0,0,0,0,3,358,2,112,1,0,0,0,164,112,attack
4,719,3,164,52,179,511,221,52,54,60,4,1347,1646,1946,423,3285,3285,3285,0,10599343,15,1685,3355,2361,10595973,10595973,10595973,0,2,359,1,82,2,0,0,0,216,164,attack
8,867,8,907,40,108,394,117,52,113,535,170,1515,272552,998835,485894,105,272278,1046312,516328,30594011,3,272567,1086820,542837,9055967,9834580,10226629,674304,2,216,2,226,4,1,0,0,412,424,attack
8,783,7,855,40,97,307,86,52,122,535,182,1513,18835,53371,29909,3063,5695,8328,3722,30526318,4552,21312,53371,18970,1013474,7604939,10043130,4402054,1,156,1,171,4,1,0,0,412,372,attack
8,692,7,855,40,86,246,66,52,122,535,182,458,3172,7087,3473,5,1016,2028,1430,31041020,1542,3252,7087,2363,1015877,7756189,10695803,4547252,1,138,1,171,4,1,0,0,412,372,attack
8,672,7,855,40,84,246,66,52,122,535,182,1485,21555,61242,34370,3520,10840,18161,10352,30536240,4981,20861,61242,23152,1003995,7607983,10690071,4454726,1,134,1,171,4,1,0,0,412,372,attack
15,3656,1,60,52,243,395,168,60,60,60,0,1449,284427,864112,296067,0,0,0,0,29535840,262959,248874,1728035,604713,1017239,3934978,8187657,2718157,1,457,0,7,9,0,0,0,820,60,attack
17,3869,8,912,40,227,467,206,52,114,540,172,658,225227,864485,299900,59,8673,24530,13749,30450304,5,200210,1728710,573674,1005088,3581051,9051866,2854390,1,429,0,101,10,1,0,0,904,424,attack
8,904,7,855,40,113,394,116,52,122,535,182,1412,274896,1014269,494384,3042,361184,1049030,595861,30620948,1571,278775,1096564,545212,9039787,9835282,10258073,689374,2,226,1,213,4,1,0,0,412,372,attack
3,358,2,112,52,119,246,109,52,56,60,5,1490,1643,1797,217,3274,3274,3274,0,3346,3346,3346,3346,0,0,0,0,0,3,358,2,112,1,0,0,0,164,112,attack
10,1212,7,855,40,121,246,87,52,122,535,182,1540,96732,211226,105884,18521,220331,422141,285402,30527596,6898,104720,423702,179589,1003830,7500998,10690213,4392545,2,242,1,171,6,1,0,0,516,372,attack
8,695,6,803,40,86,246,66,52,133,535,196,1475,10714,29072,15898,3007,3007,3007,0,30952926,3712,9240,29072,11091,1012986,7726681,10693133,4527936,1,139,1,160,4,1,0,0,412,320,attack
8,778,6,803,40,97,307,87,52,133,535,196,1492,2799,5314,2178,3504,3504,3504,0,31078311,1663,3186,5314,1796,1020109,7765595,10052426,4497309,1,155,1,160,4,1,0,0,412,320,attack
8,923,6,803,40,115,395,116,52,133,535,196,1416,2518,4428,1660,3125,3125,3125,0,31080298,749,2621,4517,1739,1012424,7766797,10818081,4551190,1,184,1,160,4,1,0,0,412,320,attack
8,879,7,855,40,109,394,116,52,122,535,182,1474,276557,1014606,493737,3039,362986,1046956,592607,30579649,1590,280638,1103126,548347,9038848,9819031,10210167,675659,2,219,1,213,4,1,0,0,412,372,attack
13,4565,3,652,40,351,546,196,52,217,540,279,688,323771,895978,359163,387,387,387,0,28418322,2053,518034,1791100,790804,1760079,6457037,13283594,5074114,2,913,0,130,10,1,0,0,672,164,attack
8,750,7,855,40,93,246,66,52,122,535,182,1490,21222,60523,34035,3078,10209,17341,10085,30544425,4543,20571,60523,22934,1003906,7610391,10690236,4456298,1,150,1,171,4,1,0,0,412,372,attack
7,791,6,803,40,113,394,125,52,133,535,196,1525,19738,56105,31494,3044,7152,11260,5809,30774635,4545,19339,56105,24576,1025218,10232425,19206582,9092922,1,197,1,200,3,1,0,0,360,320,attack
7,790,5,751,40,112,394,126,52,150,535,215,1509,11549,31575,17343,2965,2965,2965,0,30928856,4409,11314,31575,13507,1030359,10294532,19209998,9094834,1,197,1,187,3,1,0,0,360,268,attack
8,838,7,855,40,104,394,118,52,122,535,182,1433,274811,1014151,494353,2955,361161,1049400,596198,30626603,1573,278579,1096221,545112,9040164,9837428,10264134,691021,2,209,1,213,4,1,0,0,412,372,attack
15,2899,1,60,52,193,307,126,60,60,60,0,501,290197,864147,297677,0,0,0,0,29619292,303371,253922,1728011,605007,1027248,3941130,8190447,2721124,1,362,0,7,9,0,0,0,820,60,attack
8,831,6,803,40,103,351,102,52,133,535,196,1326,1594,1831,254,3183,3183,3183,0,31167369,1091,1882,4485,1472,1015979,7789489,10913453,4569770,1,166,1,160,4,1,0,0,412,320,attack
16,3018,2,595,40,188,366,131,60,297,535,335,1442,306112,864142,336634,0,0,0,0,29318088,720794,306112,1728107,627495,1028551,3838455,8190467,2600931,2,377,0,74,9,1,0,0,860,112,attack
9,923,8,907,40,102,394,110,52,113,535,170,837,272324,997621,485348,58,272164,1040071,512393,30093826,4,217867,1087533,486158,1019190,7251121,10225599,4205230,1,184,1,181,4,1,0,0,472,424,attack
8,867,8,907,40,108,394,117,52,113,535,170,1431,272535,998853,485919,10,272204,1046326,516386,30597047,3,272553,1086839,542859,9055958,9835611,10229728,675213,2,216,2,226,4,1,0,0,412,424,attack
8,911,8,912,40,113,467,143,52,114,540,172,1471,22359,63790,35880,12,7064,17863,9496,30569032,4,13442,63790,28183,1012820,7625454,10231169,4442600,1,182,1,182,4,1,0,0,412,424,attack
16,2467,6,803,40,154,307,122,52,133,535,196,479,221799,864109,301795,1485,1485,1485,0,29416308,3025,226028,1728144,607143,1002997,3944011,10042490,3608710,2,308,0,100,9,1,0,0,852,320,attack
