% isAttack normal:	2000
% isAttack attack:	1866
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,6,9,17,19,21,40'

@attribute total_fpackets numeric
@attribute mean_fpktl numeric
@attribute min_bpktl numeric
@attribute min_biat numeric
@attribute max_biat numeric
@attribute duration numeric
@attribute isAttack {normal,attack}

@data
1,72,-1,0,0,0,normal
1,58,-1,0,0,0,normal
1,130,-1,0,0,0,normal
1,60,-1,0,0,0,normal
1,56,-1,0,0,0,normal
1,139,-1,0,0,0,normal
1,73,-1,0,0,0,normal
1,30,-1,0,0,0,normal
10,1484,-1,0,0,83355,normal
2,177,-1,0,0,15690,normal
8,1452,-1,0,0,4918,normal
1,113,-1,0,0,0,normal
1,30,-1,0,0,0,normal
4,44,-1,0,0,1075335,normal
1,72,-1,0,0,0,normal
1,131,-1,0,0,0,normal
1,64,-1,0,0,0,normal
1,129,-1,0,0,0,normal
1,31,-1,0,0,0,normal
1,296,-1,0,0,0,normal
1,315,-1,0,0,0,normal
1,326,-1,0,0,0,normal
1,126,-1,0,0,0,normal
2,177,-1,0,0,31891,normal
2,44,-1,0,0,12925,normal
1,220,-1,0,0,0,normal
1,129,-1,0,0,0,normal
1,209,-1,0,0,0,normal
4,32,-1,0,0,7514662,normal
1,129,-1,0,0,0,normal
1,90,-1,0,0,0,normal
1,116,-1,0,0,0,normal
1,292,-1,0,0,0,normal
1,30,-1,0,0,0,normal
1,669,-1,0,0,0,normal
1,126,-1,0,0,0,normal
1,44,-1,0,0,0,normal
1,44,-1,0,0,0,normal
1,172,-1,0,0,0,normal
1,85,-1,0,0,0,normal
1,90,-1,0,0,0,normal
1,90,-1,0,0,0,normal
1,44,-1,0,0,0,normal
1,73,-1,0,0,0,normal
1,97,-1,0,0,0,normal
1,131,-1,0,0,0,normal
1,95,-1,0,0,0,normal
1,116,-1,0,0,0,normal
1,147,-1,0,0,0,normal
2,44,-1,0,0,503,normal
2,58,-1,0,0,3210727,normal
2,44,-1,0,0,8106,normal
1,86,-1,0,0,0,normal
1,134,-1,0,0,0,normal
1,72,-1,0,0,0,normal
1,63,-1,0,0,0,normal
1,126,-1,0,0,0,normal
1,624,-1,0,0,0,normal
1,92,-1,0,0,0,normal
3,44,-1,0,0,1227422,normal
180,217,-1,0,0,10534606,normal
1,74,-1,0,0,0,normal
1,89,-1,0,0,0,normal
1,97,-1,0,0,0,normal
1,126,-1,0,0,0,normal
1,72,-1,0,0,0,normal
1,72,-1,0,0,0,normal
1,172,-1,0,0,0,normal
1574,859,-1,0,0,10554123,normal
1,300,-1,0,0,0,normal
1,126,-1,0,0,0,normal
3,58,-1,0,0,7110038,normal
1,300,-1,0,0,0,normal
1,55,-1,0,0,0,normal
1,129,-1,0,0,0,normal
2,116,-1,0,0,10008072,normal
1,73,-1,0,0,0,normal
1,254,-1,0,0,0,normal
1,95,-1,0,0,0,normal
1,126,-1,0,0,0,normal
1,126,-1,0,0,0,normal
1,129,-1,0,0,0,normal
3,177,-1,0,0,5292655,normal
1,129,-1,0,0,0,normal
1,126,-1,0,0,0,normal
1,44,-1,0,0,0,normal
1,58,-1,0,0,0,normal
2,82,-1,0,0,2000301,normal
1,85,-1,0,0,0,normal
1,216,-1,0,0,0,normal
1,131,-1,0,0,0,normal
1,48,-1,0,0,0,normal
1,75,-1,0,0,0,normal
1,126,-1,0,0,0,normal
1,81,-1,0,0,0,normal
1,48,-1,0,0,0,normal
2,596,-1,0,0,762,normal
1,315,-1,0,0,0,normal
1,126,-1,0,0,0,normal
1,111,-1,0,0,0,normal
1,44,-1,0,0,0,normal
1,93,-1,0,0,0,normal
1,247,-1,0,0,0,normal
1,75,-1,0,0,0,normal
5,83,-1,0,0,1457425,normal
1,132,-1,0,0,0,normal
3,129,-1,0,0,6889352,normal
1,129,-1,0,0,0,normal
2,44,-1,0,0,19818,normal
1,97,-1,0,0,0,normal
1,315,-1,0,0,0,normal
1,44,-1,0,0,0,normal
1,126,-1,0,0,0,normal
1,30,-1,0,0,0,normal
1,137,-1,0,0,0,normal
1,30,-1,0,0,0,normal
1,44,-1,0,0,0,normal
1,281,-1,0,0,0,normal
1,164,-1,0,0,0,normal
1,73,-1,0,0,0,normal
1,421,-1,0,0,0,normal
2,44,-1,0,0,105933,normal
1,126,-1,0,0,0,normal
1,221,-1,0,0,0,normal
1,126,-1,0,0,0,normal
3,44,-1,0,0,1110140,normal
1,126,-1,0,0,0,normal
1,146,-1,0,0,0,normal
1,1060,-1,0,0,0,normal
1,62,-1,0,0,0,normal
1,90,-1,0,0,0,normal
1,754,-1,0,0,0,normal
1,30,-1,0,0,0,normal
22,174,-1,0,0,10029692,normal
1,126,-1,0,0,0,normal
1,92,-1,0,0,0,normal
94,50,-1,0,0,10513180,normal
1,120,-1,0,0,0,normal
2,129,-1,0,0,810344,normal
1,221,-1,0,0,0,normal
4,146,-1,0,0,8370609,normal
1,126,-1,0,0,0,normal
1,131,-1,0,0,0,normal
1,74,-1,0,0,0,normal
4,44,-1,0,0,1070206,normal
1,300,-1,0,0,0,normal
