% isAttack HIGH_RATE:	1087
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R6-9,17,19,27,38,40'

@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute min_biat numeric
@attribute max_biat numeric
@attribute mean_idle numeric
@attribute total_fhlen numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
133,133,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
48,48,0,-1,0,0,0,28,NORMAL
1108,1108,0,-1,0,0,7856835,48,NORMAL
96,96,0,-1,0,0,4501161,48,NORMAL
48,48,0,-1,0,0,0,28,NORMAL
96,96,0,-1,0,0,0,28,NORMAL
305,305,0,-1,0,0,0,28,NORMAL
44,44,0,-1,0,0,0,88,NORMAL
1108,1108,0,-1,0,0,2117255,148,NORMAL
86,86,0,-1,0,0,0,28,NORMAL
62,62,0,-1,0,0,0,28,NORMAL
207,207,0,-1,0,0,0,28,NORMAL
131,131,0,-1,0,0,0,28,NORMAL
44,44,0,-1,0,0,0,28,NORMAL
98,98,0,-1,0,0,0,28,NORMAL
46,46,0,-1,0,0,0,28,NORMAL
64,64,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
44,44,0,-1,0,0,0,28,NORMAL
318,318,0,-1,0,0,0,28,NORMAL
876,876,0,-1,0,0,0,28,NORMAL
129,129,0,-1,0,0,0,28,NORMAL
130,130,0,-1,0,0,0,28,NORMAL
31,31,0,-1,0,0,0,28,NORMAL
82,82,0,-1,0,0,0,28,NORMAL
76,76,0,-1,0,0,0,28,NORMAL
72,72,0,-1,0,0,0,28,NORMAL
152,152,0,-1,0,0,0,28,NORMAL
728,728,0,-1,0,0,0,28,NORMAL
1108,1108,0,-1,0,0,0,28,NORMAL
129,129,0,-1,0,0,0,48,NORMAL
44,44,0,-1,0,0,0,28,NORMAL
129,129,0,-1,0,0,0,28,NORMAL
118,118,0,-1,0,0,0,28,NORMAL
45,45,0,-1,0,0,0,68,NORMAL
72,72,0,-1,0,0,0,28,NORMAL
56,61,7,-1,0,0,0,48,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
84,84,0,-1,0,0,0,28,NORMAL
596,596,0,-1,0,0,0,28,NORMAL
92,92,0,-1,0,0,0,28,NORMAL
51,51,0,-1,0,0,0,28,NORMAL
885,885,0,-1,0,0,0,28,NORMAL
72,72,0,-1,0,0,0,28,NORMAL
1484,1484,0,-1,0,0,0,208,NORMAL
69,69,0,-1,0,0,0,28,NORMAL
48,48,0,-1,0,0,6032240,48,NORMAL
74,74,0,-1,0,0,0,28,NORMAL
48,48,0,-1,0,0,0,28,NORMAL
1108,1108,0,-1,0,0,0,28,NORMAL
73,73,0,-1,0,0,0,28,NORMAL
131,131,0,-1,0,0,0,28,NORMAL
48,48,0,-1,0,0,0,28,NORMAL
44,44,0,-1,0,0,0,48,NORMAL
114,114,0,-1,0,0,0,28,NORMAL
362,571,84,-1,0,0,0,528,NORMAL
82,82,0,-1,0,0,0,28,NORMAL
147,147,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
103,103,0,-1,0,0,0,28,NORMAL
133,133,0,-1,0,0,0,28,NORMAL
72,72,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
636,636,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
74,74,0,-1,0,0,0,28,NORMAL
1484,1484,0,-1,0,0,0,208,NORMAL
83,83,0,-1,0,0,0,28,NORMAL
326,326,0,-1,0,0,0,28,NORMAL
132,132,0,-1,0,0,0,28,NORMAL
313,313,0,-1,0,0,0,28,NORMAL
