@relation 'udpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,LOW_RATE,slowHeaders,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
4485,179400,0,0,40,40,40,0,-1,-1,-1,0,35,6540,764553,32955,0,0,0,0,29325947,29325947,29325947,29325947,0,0,0,0,0,4485,179400,0,0,0,0,0,0,89708,0,HIGH_RATE
2937,117480,0,0,40,40,40,0,-1,-1,-1,0,261,8479,806695,37621,0,0,0,0,28248724,1076489,6217645,8560913,3486404,1002580,1126047,1339435,185558,734,29370,0,0,0,0,0,0,58748,0,HIGH_RATE
5919,236760,0,0,40,40,40,0,-1,-1,-1,0,13,3973,793582,21459,0,0,0,0,28820330,45298,5876504,14501051,6143797,1151280,1771437,2420737,635230,1479,59190,0,0,0,0,0,0,118388,0,HIGH_RATE
4420,176800,0,0,40,40,40,0,-1,-1,-1,0,26,6646,779389,36194,0,0,0,0,29370397,29370397,29370397,29370397,0,0,0,0,0,4420,176800,0,0,0,0,0,0,88408,0,HIGH_RATE
7005,280200,0,0,40,40,40,0,-1,-1,-1,0,15,3482,904409,22919,0,0,0,0,28822443,47968,6094862,14503646,6126777,1151289,1480997,1748308,303361,1751,70050,0,0,0,0,0,0,140108,0,HIGH_RATE
2685,107400,0,0,40,40,40,0,-1,-1,-1,0,13,6750,788196,42288,0,0,0,0,23481726,23065,3618410,11904925,4824673,1010415,1347419,1769479,314672,537,21480,0,0,0,0,0,0,53708,0,HIGH_RATE
4959,198360,0,0,40,40,40,0,-1,-1,-1,0,472,1944,44567,2059,0,0,0,0,9642057,9642057,9642057,9642057,0,0,0,0,0,4959,198360,0,0,0,0,0,0,99188,0,HIGH_RATE
5876,235040,0,0,40,40,40,0,-1,-1,-1,0,25,4443,991615,30984,0,0,0,0,28820005,27847,8699155,20025964,10260113,1171235,1361269,1551304,268749,1958,78346,0,0,0,0,0,0,117528,0,HIGH_RATE
15415,616600,0,0,40,40,40,0,-1,-1,-1,0,382,1925,124590,2130,0,0,0,0,29672326,29672326,29672326,29672326,0,0,0,0,0,15415,616600,0,0,0,0,0,0,308308,0,HIGH_RATE
19090,763600,0,0,40,40,40,0,-1,-1,-1,0,8,1588,42930,943,0,0,0,0,30326448,30326448,30326448,30326448,0,0,0,0,0,19090,763600,0,0,0,0,0,0,381808,0,HIGH_RATE
3013,120520,0,0,40,40,40,0,-1,-1,-1,0,3,8964,982681,46750,0,0,0,0,28360143,8282503,13496493,18710484,7373696,1367156,1367156,1367156,0,1506,60260,0,0,0,0,0,0,60268,0,HIGH_RATE
6628,265120,0,0,40,40,40,0,-1,-1,-1,0,4,3901,989667,28167,0,0,0,0,28565534,31098,8615205,20026968,10293465,1173882,1359958,1546035,263151,2209,88373,0,0,0,0,0,0,132568,0,HIGH_RATE
4612,184480,0,0,40,40,40,0,-1,-1,-1,0,6,6369,758997,32930,0,0,0,0,29370207,29370207,29370207,29370207,0,0,0,0,0,4612,184480,0,0,0,0,0,0,92248,0,HIGH_RATE
2157,86280,0,0,40,40,40,0,-1,-1,-1,0,109,9053,885071,53944,0,0,0,0,22377920,2354552,6500732,10808085,4229070,1106069,1437862,1769655,469226,719,28760,0,0,0,0,0,0,43148,0,HIGH_RATE
3275,131000,0,0,40,40,40,0,-1,-1,-1,0,249,7945,965897,51964,0,0,0,0,27116141,9606562,13002107,16397652,4802025,1111927,1111927,1111927,0,1637,65500,0,0,0,0,0,0,65508,0,HIGH_RATE
4814,192560,0,0,40,40,40,0,-1,-1,-1,0,198,2005,37503,2212,0,0,0,0,9652161,9652161,9652161,9652161,0,0,0,0,0,4814,192560,0,0,0,0,0,0,96288,0,HIGH_RATE
10025,401000,0,0,40,40,40,0,-1,-1,-1,0,4,2929,793706,13815,0,0,0,0,29360989,29360989,29360989,29360989,0,0,0,0,0,10025,401000,0,0,0,0,0,0,200508,0,HIGH_RATE
18029,721160,0,0,40,40,40,0,-1,-1,-1,0,8,1661,17524,1275,0,0,0,0,29956269,29956269,29956269,29956269,0,0,0,0,0,18029,721160,0,0,0,0,0,0,360588,0,HIGH_RATE
17506,700240,0,0,40,40,40,0,-1,-1,-1,0,5,1711,18672,1434,0,0,0,0,29955681,29955681,29955681,29955681,0,0,0,0,0,17506,700240,0,0,0,0,0,0,350128,0,HIGH_RATE
2980,119200,0,0,40,40,40,0,-1,-1,-1,0,250,8659,998544,43006,0,0,0,0,28354983,1123607,8593033,16370187,7627946,1231989,1287942,1343895,79129,993,39733,0,0,0,0,0,0,59608,0,HIGH_RATE
6773,270920,0,0,40,40,40,0,-1,-1,-1,0,20,3722,891292,23279,0,0,0,0,28805244,21823,8400803,20026572,10390077,1171371,1801416,2431462,891018,2257,90306,0,0,0,0,0,0,135468,0,HIGH_RATE
