@relation 'highrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute service {aol,auth,bgp,courier,csnet_ns,ctf,daytime,discard,domain,domain_u,echo,eco_i,ecr_i,efs,exec,finger,ftp,ftp_data,gopher,harvest,hostnames,http,http_2784,http_443,http_8001,imap4,IRC,iso_tsap,klogin,kshell,ldap,link,login,mtp,name,netbios_dgm,netbios_ns,netbios_ssn,netstat,nnsp,nntp,ntp_u,other,pm_dump,pop_2,pop_3,printer,private,red_i,remote_job,rje,shell,smtp,sql_net,ssh,sunrpc,supdup,systat,telnet,tftp_u,tim_i,time,urh_i,urp_i,uucp,uucp_path,vmnet,whois,X11,Z39_50}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute land {0,1}
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {NORMAL,neptune,smurf,pod,back,land,LOW_RATE,slowHeaders,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
0,tcp,private,OTH,1464,0,0,0,0,148,145,0,0,0,0,0.98,0.02,0,66,64,0.97,0.03,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,291,270,0,0,0,0,0.93,0.07,0,70,70,1,0,0.97,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,310,312,0,0,0,0,1,0,0.01,32,32,1,0,0.97,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,50,49,0,0,0,0,0.98,0.02,0,56,49,0.88,0.12,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,12,12,0,0,0,0,1,0,0,43,42,0.98,0.02,0.98,0,0,0,0,0,NORMAL
0,udp,domain_u,SF,76,259,0,0,0,369,369,0,0,0,0,1,0,0,56,56,1,0,0,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,363,362,0,0,0,0,1,0,0,88,87,0.99,0.01,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,553,553,0,0,0,0,1,0,0,67,67,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,62,67,0,0,0,0,1,0,0.07,34,34,1,0,0.97,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,164,165,0,0,0,0,1,0,0.01,35,35,1,0,0.97,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,275,275,0,0,0,0,1,0,0,73,73,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,25,31,0,0,0,0,1,0,0.19,25,46,1,0,0.53,0.46,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,209,205,0,0,0,0,0.98,0.02,0,67,67,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,155,0,0,0,0,26,29,0,0,0,0,1,0,0.1,26,71,1,0,0.36,0.63,0,0,0,0,NORMAL
0,tcp,http_443,S1,2296,4075,0,0,0,1,240,0,0.29,0,0,1,0,1,1,46,1,0,0,0.98,0,0.54,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,409,409,0,0,0,0,1,0,0,58,58,1,0,0.98,0,0,0,0,0,NORMAL
2,tcp,http_443,S1,1917,6891,0,0,0,0,225,0,0.26,0,0,0,0,1,0,37,0,0,0,1,0,0.41,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,362,358,0,0,0,0,0.99,0.01,0,58,58,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,216,211,0,0,0,0,0.98,0.02,0,66,66,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,66,0,0,0,0,281,281,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,435,431,0,0,0,0,0.99,0.01,0,50,50,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,66,0,0,0,0,23,19,0,0,0,0,0.83,0.17,0,52,39,0.75,0.25,0.95,0,0,0,0,0,NORMAL
0,udp,domain_u,SF,152,240,0,0,0,125,125,0,0,0,0,1,0,0,57,57,1,0,0,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,27,33,0,0,0,0,1,0,0.18,35,42,1,0,0.81,0.17,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,539,538,0,0,0,0,1,0,0,72,72,1,0,0.99,0,0,0,0,0,NORMAL
0,udp,domain_u,SF,154,198,0,0,0,289,289,0,0,0,0,1,0,0,61,61,1,0,0,0,0,0,0,0,NORMAL
0,udp,domain_u,SF,166,362,0,0,0,329,329,0,0,0,0,1,0,0,62,62,1,0,0,0,0,0,0,0,NORMAL
