% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,7-9,14,18,22,38,40'

@attribute total_fpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute min_active numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
240,2192,52,148,5,52,8759,50704,2093595,12488,tcpFlood
1064,42758,52,472,18,52,5533,7250,5882521,55336,tcpFlood
434,2972,52,304,12,52,8974,70500,366302,22576,tcpFlood
117,1308,52,64,1,52,3567,15974,413847,6092,tcpFlood
135,3504,52,196,12,52,14603,29148,1957208,7028,tcpFlood
625,11640,52,256,19,52,14857,41190,17926,32508,tcpFlood
566,6598,52,256,12,52,18995,90576,62321,29440,tcpFlood
137,2672,52,88,2,52,14298,38000,1945248,7132,tcpFlood
2532,33022,52,316,7,52,2702,10935,6839571,131672,tcpFlood
4907,185520,52,268,6,52,3297,4540,16182816,255172,tcpFlood
529,10730,52,232,9,52,18628,47545,3643818,27516,tcpFlood
811,8268,52,1500,85,52,17405,92385,21624,42180,tcpFlood
1292,16054,52,364,18,52,14010,62496,53559,67204,tcpFlood
332,4318,52,448,21,52,24660,116580,62572,17272,tcpFlood
438,5104,52,148,4,52,21695,86487,73004,22784,tcpFlood
913,12032,52,412,14,52,15954,64838,55901,47484,tcpFlood
117,3464,52,124,5,52,15654,27427,1815886,6092,tcpFlood
349,4464,52,712,36,52,27040,113696,71789,18156,tcpFlood
352,5462,52,256,10,52,28059,102998,59882,18312,tcpFlood
6363,92130,52,1252,18,52,3541,12804,22536417,330884,tcpFlood
499,6156,52,292,14,52,18492,81737,2627935,25956,tcpFlood
5335,71630,52,256,5,52,3560,13905,18997623,277428,tcpFlood
434,6478,52,328,16,52,25012,101504,83688,22588,tcpFlood
109,2452,52,88,3,52,20526,45657,2216858,5676,tcpFlood
1782,54638,52,640,19,52,4594,7896,8182388,92672,tcpFlood
5296,194286,52,184,5,52,2992,4258,15851578,275400,tcpFlood
1503,55114,52,496,17,52,4901,7046,7361356,78164,tcpFlood
4964,184882,52,184,5,52,3326,4662,16508207,258136,tcpFlood
155,4076,52,196,11,52,14232,27844,2192291,8068,tcpFlood
4884,184634,52,388,8,52,3299,4557,16112854,253976,tcpFlood
1457,56262,52,1500,44,52,5406,7371,7871635,75772,tcpFlood
4377,58590,52,1500,42,52,3843,15067,16820328,227612,tcpFlood
7093,111094,52,1500,21,52,3394,11323,24074301,368844,tcpFlood
4677,172434,52,316,8,52,1759,2489,8228226,243212,tcpFlood
161,2868,52,184,10,52,11938,35648,1957728,8380,tcpFlood
8051,129838,52,1500,18,52,3243,10503,26107335,418660,tcpFlood
160,3128,52,88,2,52,1920,5196,307594,8328,tcpFlood
2934,40898,52,316,7,52,2639,9966,7742362,152576,tcpFlood
6798,98342,52,952,17,52,3393,12264,23063967,353504,tcpFlood
4800,178138,52,268,5,52,3372,4739,16185177,249608,tcpFlood
4230,49218,52,316,6,52,3785,17117,16008049,219968,tcpFlood
2395,34802,52,268,5,52,2497,9083,5978164,124548,tcpFlood
4898,183914,52,388,9,52,3300,4586,16160387,254704,tcpFlood
1681,64794,52,352,11,52,1882,2550,3163117,87420,tcpFlood
196,1256,52,148,6,52,7364,60934,1436020,10200,tcpFlood
906,5416,52,292,8,52,6615,58323,2427416,47120,tcpFlood
1375,50102,52,1500,50,52,5477,7929,7526107,71508,tcpFlood
80,1892,52,208,18,52,2927,5920,231246,4168,tcpFlood
295,15140,52,64,0,52,2004,2027,589402,15348,tcpFlood
1599,62598,52,640,22,52,5378,7260,8598202,83156,tcpFlood
367,5720,52,220,10,52,23721,84643,47412,19092,tcpFlood
544,7872,52,352,14,52,14565,55008,71843,28296,tcpFlood
662,8090,52,1500,81,52,17287,81134,4853010,34432,tcpFlood
1068,40690,52,292,15,52,5513,7627,5882485,55544,tcpFlood
9105,136250,52,280,6,52,3036,10602,27652818,473468,tcpFlood
