% isAttack tcpFlood:	199
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	571
% isAttack slowBody:	571
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R7,10,14,22,33,40'

@attribute max_fpktl numeric
@attribute mean_bpktl numeric
@attribute mean_fiat numeric
@attribute min_active numeric
@attribute sflow_bbytes numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
30,-1,0,0,0,normal
129,-1,0,0,0,normal
370,-1,0,0,0,normal
116,-1,0,0,0,normal
1108,-1,0,0,0,normal
44,-1,0,0,0,normal
78,-1,0,0,0,normal
69,-1,0,0,0,normal
70,-1,0,0,0,normal
84,-1,0,0,0,normal
31,-1,0,0,0,normal
126,-1,0,0,0,normal
126,-1,0,0,0,normal
110,-1,0,0,0,normal
129,-1,0,0,0,normal
134,-1,0,0,0,normal
80,-1,0,0,0,normal
83,-1,0,0,0,normal
93,-1,0,0,0,normal
111,-1,0,0,0,normal
58,-1,0,0,0,normal
48,-1,153089,153089,0,normal
131,-1,0,0,0,normal
624,-1,0,0,0,normal
1108,-1,0,0,0,normal
131,-1,0,0,0,normal
48,-1,0,0,0,normal
74,-1,0,0,0,normal
68,-1,0,0,0,normal
30,-1,0,0,0,normal
126,-1,0,0,0,normal
773,-1,0,0,0,normal
1195,-1,0,0,0,normal
62,-1,0,0,0,normal
126,-1,0,0,0,normal
73,-1,0,0,0,normal
1484,-1,9409,84165,0,normal
125,-1,0,0,0,normal
126,-1,0,0,0,normal
596,-1,0,0,0,normal
63,-1,0,0,0,normal
354,-1,142983,726889,0,normal
77,-1,0,0,0,normal
44,-1,0,0,0,normal
85,-1,24807,10543029,0,normal
62,-1,0,0,0,normal
126,-1,0,0,0,normal
279,-1,0,0,0,normal
92,-1,0,0,0,normal
58,-1,0,0,0,normal
69,-1,0,0,0,normal
44,-1,0,0,0,normal
48,-1,0,0,0,normal
876,-1,0,0,0,normal
58,-1,0,0,0,normal
44,-1,14380,14380,0,normal
73,-1,0,0,0,normal
74,-1,275603,213144,0,normal
1452,-1,665,4661,0,normal
63,-1,0,0,0,normal
126,-1,0,0,0,normal
74,-1,53657,53657,0,normal
126,-1,0,0,0,normal
31,-1,0,0,0,normal
166,-1,0,0,0,normal
86,-1,0,0,0,normal
61,-1,0,0,0,normal
74,-1,0,0,0,normal
131,-1,0,0,0,normal
126,-1,0,0,0,normal
136,-1,0,0,0,normal
126,-1,0,0,0,normal
1453,-1,28934,10532217,0,normal
126,-1,0,0,0,normal
126,-1,0,0,0,normal
82,-1,417939,524788,0,normal
58,-1,0,0,0,normal
44,-1,0,0,0,normal
44,-1,0,0,0,normal
44,-1,50833,152499,0,normal
142,-1,0,0,0,normal
326,-1,0,0,0,normal
166,-1,0,0,0,normal
129,-1,0,0,0,normal
129,-1,0,0,0,normal
156,-1,0,0,0,normal
126,-1,0,0,0,normal
48,-1,142262,0,0,normal
326,-1,0,0,0,normal
397,-1,0,0,0,normal
44,-1,0,0,0,normal
44,-1,18831,18831,0,normal
79,-1,0,0,0,normal
96,-1,0,0,0,normal
72,-1,0,0,0,normal
126,-1,0,0,0,normal
31,-1,0,0,0,normal
64,-1,0,0,0,normal
130,-1,0,0,0,normal
251,-1,0,0,0,normal
44,-1,54236,108472,0,normal
141,-1,0,0,0,normal
94,-1,0,0,0,normal
126,-1,0,0,0,normal
126,-1,0,0,0,normal
605,-1,153387,220827,0,normal
30,-1,0,0,0,normal
76,-1,0,0,0,normal
48,-1,0,0,0,normal
117,-1,0,0,0,normal
76,-1,0,0,0,normal
64,-1,0,0,0,normal
64,-1,0,0,0,normal
147,-1,0,0,0,normal
81,-1,0,0,0,normal
177,-1,0,0,0,normal
69,-1,0,0,0,normal
73,-1,0,0,0,normal
48,-1,0,0,0,normal
156,-1,0,0,0,normal
169,-1,495319,495319,0,normal
92,-1,0,0,0,normal
129,-1,0,0,0,normal
59,-1,0,0,0,normal
30,-1,0,0,0,normal
92,-1,3,0,0,normal
84,-1,0,0,0,normal
303,-1,0,0,0,normal
116,-1,0,0,0,normal
72,-1,0,0,0,normal
129,-1,0,0,0,normal
317,-1,0,0,0,normal
126,-1,0,0,0,normal
129,-1,0,0,0,normal
81,-1,0,0,0,normal
44,-1,61118,61118,0,normal
117,-1,0,0,0,normal
126,-1,0,0,0,normal
174,-1,0,0,0,normal
90,-1,0,0,0,normal
44,-1,0,0,0,normal
126,-1,0,0,0,normal
64,-1,0,0,0,normal
92,-1,0,0,0,normal
726,-1,0,0,0,normal
69,-1,0,0,0,normal
129,-1,0,0,0,normal
74,-1,0,0,0,normal
30,-1,0,0,0,normal
326,-1,0,0,0,normal
82,-1,0,0,0,normal
300,-1,0,0,0,normal
67,-1,0,0,0,normal
90,-1,0,0,0,normal
129,-1,0,0,0,normal
44,-1,0,0,0,normal
48,-1,210706,210706,0,normal
71,-1,0,0,0,normal
129,-1,0,0,0,normal
93,-1,0,0,0,normal
73,-1,0,0,0,normal
58,-1,0,0,0,normal
70,-1,0,0,0,normal
805,-1,0,0,0,normal
58,-1,0,0,0,normal
475,-1,0,0,0,normal
51,-1,0,0,0,normal
81,-1,0,0,0,normal
72,-1,0,0,0,normal
56,-1,0,0,0,normal
116,-1,0,0,0,normal
59,-1,0,0,0,normal
1108,-1,0,0,0,normal
126,-1,0,0,0,normal
1108,-1,0,0,0,normal
1453,-1,234173,301434,0,normal
129,-1,0,0,0,normal
116,-1,249218,498436,0,normal
64,-1,0,0,0,normal
44,-1,211451,1057258,0,normal
313,-1,0,0,0,normal
121,-1,0,0,0,normal
116,-1,0,0,0,normal
177,-1,495366,990733,0,normal
273,-1,0,0,0,normal
72,-1,0,0,0,normal
29,-1,0,0,0,normal
44,-1,240669,962678,0,normal
1016,-1,0,0,0,normal
131,-1,0,0,0,normal
514,-1,0,0,0,normal
126,-1,0,0,0,normal
72,-1,0,0,0,normal
44,-1,0,0,0,normal
268,-1,0,0,0,normal
177,-1,0,0,0,normal
44,-1,0,0,0,normal
209,-1,0,0,0,normal
126,-1,0,0,0,normal
97,-1,0,0,0,normal
62,-1,0,0,0,normal
203,-1,0,0,0,normal
92,-1,0,0,0,normal
44,-1,0,0,0,normal
48,-1,2118,252096,0,normal
1360,-1,2700,0,0,normal
717,-1,0,0,0,normal
126,-1,0,0,0,normal
596,-1,0,0,0,normal
89,-1,4,218,0,normal
93,-1,0,0,0,normal
129,-1,0,0,0,normal
126,-1,0,0,0,normal
176,-1,0,0,0,normal
627,-1,0,0,0,normal
116,-1,0,0,0,normal
129,-1,0,0,0,normal
44,-1,84882,84882,0,normal
44,-1,0,0,0,normal
126,-1,0,0,0,normal
194,-1,0,0,0,normal
131,-1,0,0,0,normal
58,-1,0,0,0,normal
72,-1,0,0,0,normal
44,-1,3784,3784,0,normal
44,-1,33634,33634,0,normal
58,-1,0,0,0,normal
44,-1,0,0,0,normal
1105,-1,0,0,0,normal
66,-1,0,0,0,normal
126,-1,0,0,0,normal
126,-1,0,0,0,normal
58,-1,101094,202189,0,normal
44,-1,0,0,0,normal
48,-1,0,0,0,normal
125,-1,0,0,0,normal
67,-1,0,0,0,normal
1108,-1,0,0,0,normal
48,-1,10000,10000,0,normal
129,-1,0,0,0,normal
635,-1,0,0,0,normal
116,-1,0,0,0,normal
126,-1,0,0,0,normal
126,-1,0,0,0,normal
536,-1,414,7469,0,normal
73,-1,0,0,0,normal
78,-1,0,0,0,normal
126,-1,0,0,0,normal
72,-1,0,0,0,normal
95,-1,0,0,0,normal
44,-1,789026,789026,0,normal
129,-1,0,0,0,normal
74,-1,0,0,0,normal
101,-1,0,0,0,normal
172,-1,0,0,0,normal
57,-1,0,0,0,normal
90,-1,0,0,0,normal
142,-1,0,0,0,normal
127,-1,0,0,0,normal
116,-1,0,0,0,normal
300,-1,0,0,0,normal
126,-1,0,0,0,normal
48,-1,0,0,0,normal
315,-1,0,0,0,normal
44,-1,0,0,0,normal
75,-1,0,0,0,normal
71,-1,0,0,0,normal
92,-1,0,0,0,normal
168,-1,0,0,0,normal
44,-1,14559,14559,0,normal
131,-1,0,0,0,normal
97,-1,0,0,0,normal
95,-1,0,0,0,normal
72,-1,0,0,0,normal
305,-1,0,0,0,normal
93,-1,0,0,0,normal
114,-1,0,0,0,normal
58,-1,0,0,0,normal
1108,-1,0,0,0,normal
30,-1,0,0,0,normal
147,-1,0,0,0,normal
137,-1,0,0,0,normal
171,-1,0,0,0,normal
129,-1,0,0,0,normal
634,-1,0,0,0,normal
126,-1,0,0,0,normal
79,-1,0,0,0,normal
107,-1,0,0,0,normal
123,-1,0,0,0,normal
73,-1,0,0,0,normal
281,-1,0,0,0,normal
116,-1,0,0,0,normal
51,-1,0,0,0,normal
48,-1,255979,255979,0,normal
110,-1,143396,4074966,0,normal
72,-1,0,0,0,normal
92,-1,0,0,0,normal
315,-1,0,0,0,normal
116,-1,0,0,0,normal
315,-1,0,0,0,normal
74,-1,0,0,0,normal
129,-1,0,0,0,normal
53,-1,0,0,0,normal
69,-1,0,0,0,normal
44,-1,987815,987815,0,normal
1108,-1,16,0,0,normal
77,-1,0,0,0,normal
44,-1,0,0,0,normal
1430,-1,361951,0,0,normal
679,-1,211145,228,0,normal
73,-1,0,0,0,normal
46,-1,0,0,0,normal
180,-1,0,0,0,normal
78,-1,0,0,0,normal
71,-1,0,0,0,normal
175,-1,0,0,0,normal
637,-1,0,0,0,normal
389,-1,55583,10449682,0,normal
97,-1,0,0,0,normal
44,-1,0,0,0,normal
164,-1,0,0,0,normal
71,-1,0,0,0,normal
44,-1,22047,44094,0,normal
768,-1,0,0,0,normal
66,-1,0,0,0,normal
63,-1,0,0,0,normal
126,-1,0,0,0,normal
676,-1,0,0,0,normal
58,-1,162863,162863,0,normal
768,-1,0,0,0,normal
1060,-1,0,0,0,normal
58,-1,0,0,0,normal
152,-1,0,0,0,normal
153,-1,0,0,0,normal
44,-1,14762,88576,0,normal
74,-1,0,0,0,normal
636,-1,0,0,0,normal
172,-1,0,0,0,normal
96,-1,199628,199628,0,normal
48,-1,0,0,0,normal
221,-1,0,0,0,normal
575,-1,673465,0,0,normal
74,-1,0,0,0,normal
97,-1,0,0,0,normal
73,-1,0,0,0,normal
70,-1,0,0,0,normal
94,-1,0,0,0,normal
129,-1,0,0,0,normal
72,-1,0,0,0,normal
82,-1,0,0,0,normal
81,-1,0,0,0,normal
126,-1,0,0,0,normal
84,-1,0,0,0,normal
44,-1,0,0,0,normal
91,-1,0,0,0,normal
1108,-1,0,0,0,normal
73,-1,9,9,0,normal
80,-1,1988,1988,0,normal
126,-1,0,0,0,normal
126,-1,0,0,0,normal
126,-1,0,0,0,normal
192,-1,187211,0,0,normal
126,-1,0,0,0,normal
51,-1,0,0,0,normal
126,-1,0,0,0,normal
131,-1,0,0,0,normal
44,-1,54506,54506,0,normal
49,-1,0,0,0,normal
59,-1,0,0,0,normal
116,-1,0,0,0,normal
44,-1,0,0,0,normal
46,-1,0,0,0,normal
72,-1,0,0,0,normal
116,-1,0,0,0,normal
69,-1,0,0,0,normal
55,-1,0,0,0,normal
126,-1,0,0,0,normal
96,-1,0,0,0,normal
97,-1,0,0,0,normal
44,-1,0,0,0,normal
134,-1,0,0,0,normal
78,-1,0,0,0,normal
73,-1,0,0,0,normal
92,-1,0,0,0,normal
67,-1,0,0,0,normal
74,-1,0,0,0,normal
44,-1,0,0,0,normal
75,-1,0,0,0,normal
44,-1,0,0,0,normal
983,-1,0,0,0,normal
129,-1,0,0,0,normal
142,-1,0,0,0,normal
82,-1,0,0,0,normal
131,-1,0,0,0,normal
133,-1,0,0,0,normal
44,-1,0,0,0,normal
92,-1,0,0,0,normal
44,-1,0,0,0,normal
52,-1,0,0,0,normal
44,-1,0,0,0,normal
1016,-1,0,0,0,normal
235,-1,0,0,0,normal
95,-1,0,0,0,normal
129,-1,0,0,0,normal
94,-1,0,0,0,normal
44,-1,64561,64561,0,normal
160,-1,2477,2477,0,normal
97,-1,0,0,0,normal
72,-1,0,0,0,normal
93,-1,0,0,0,normal
72,-1,0,0,0,normal
101,-1,0,0,0,normal
74,-1,0,0,0,normal
126,-1,0,0,0,normal
649,-1,0,0,0,normal
71,-1,0,0,0,normal
74,-1,0,0,0,normal
31,-1,0,0,0,normal
129,-1,0,0,0,normal
300,-1,0,0,0,normal
129,-1,0,0,0,normal
66,-1,0,0,0,normal
44,-1,207736,0,0,normal
126,-1,0,0,0,normal
147,-1,0,0,0,normal
1108,-1,0,0,0,normal
44,-1,0,0,0,normal
790,-1,0,0,0,normal
79,-1,0,0,0,normal
90,-1,0,0,0,normal
44,-1,0,0,0,normal
84,-1,0,0,0,normal
126,-1,0,0,0,normal
1500,-1,21552,10474548,0,normal
60,-1,0,0,0,normal
73,-1,0,0,0,normal
92,-1,0,0,0,normal
44,-1,0,0,0,normal
77,-1,0,0,0,normal
76,-1,0,0,0,normal
131,-1,0,0,0,normal
94,-1,0,0,0,normal
37,-1,0,0,0,normal
134,-1,0,0,0,normal
62,-1,0,0,0,normal
58,-1,0,0,0,normal
134,-1,0,0,0,normal
113,-1,0,0,0,normal
129,-1,0,0,0,normal
164,-1,560796,560796,0,normal
167,-1,0,0,0,normal
62,-1,0,0,0,normal
79,-1,0,0,0,normal
71,-1,0,0,0,normal
80,-1,0,0,0,normal
129,-1,0,0,0,normal
145,-1,0,0,0,normal
31,-1,0,0,0,normal
