% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,7-8,16,30,38-40'

@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute std_fiat numeric
@attribute sflow_fpackets numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
52,148,5,31272,240,12488,2192,tcpFlood
52,472,18,23803,1064,55336,42244,tcpFlood
52,304,12,32369,217,22576,2972,tcpFlood
52,64,1,2847,117,6092,1308,tcpFlood
52,196,12,40040,135,7028,3504,tcpFlood
52,256,19,57585,78,32508,11640,tcpFlood
52,256,12,81500,188,29440,6084,tcpFlood
52,88,2,41755,137,7132,2672,tcpFlood
52,316,7,7350,2532,131672,32508,tcpFlood
52,268,6,9736,4907,255172,185520,tcpFlood
52,232,9,71435,264,27516,10216,tcpFlood
52,1500,85,80453,162,42180,8268,tcpFlood
52,364,18,61628,258,67204,15540,tcpFlood
52,448,21,99310,110,17272,3804,tcpFlood
52,148,4,83623,146,22784,5104,tcpFlood
52,412,14,70842,182,47484,12032,tcpFlood
52,124,5,44670,117,6092,3464,tcpFlood
52,712,36,100253,116,18156,4464,tcpFlood
52,256,10,95888,117,18312,4948,tcpFlood
52,1252,18,13655,6363,330884,91616,tcpFlood
52,292,14,82715,249,25956,6156,tcpFlood
52,256,5,12295,5335,277428,71116,tcpFlood
52,328,16,93007,144,22588,5964,tcpFlood
52,88,3,48703,109,5676,2452,tcpFlood
52,640,19,19032,1782,92672,54124,tcpFlood
52,184,5,9167,5296,275400,193772,tcpFlood
52,496,17,19197,1503,78164,54600,tcpFlood
52,184,5,10331,4964,258136,184368,tcpFlood
52,196,11,40915,155,8068,4076,tcpFlood
52,388,8,10299,4884,253976,184120,tcpFlood
52,1500,44,19528,1457,75772,55748,tcpFlood
52,1500,42,17946,4377,227612,58076,tcpFlood
52,1500,21,12960,7093,368844,110580,tcpFlood
52,316,8,1438,4677,243212,171920,tcpFlood
52,184,10,38522,161,8380,2868,tcpFlood
52,1500,18,10705,8051,418660,129324,tcpFlood
52,88,2,1447,160,8328,3128,tcpFlood
52,316,7,6851,2934,152576,40384,tcpFlood
52,952,17,11760,6798,353504,97828,tcpFlood
