% isAttack tcpFlood:	199
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	571
% isAttack slowBody:	571
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R7-10,13,21,24,26,38,40'

@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute min_fiat numeric
@attribute duration numeric
@attribute max_active numeric
@attribute min_idle numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
30,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
370,0,-1,-1,0,0,0,0,28,normal
116,0,-1,-1,0,0,0,0,28,normal
1108,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
78,0,-1,-1,0,0,0,0,28,normal
69,0,-1,-1,0,0,0,0,28,normal
70,0,-1,-1,0,0,0,0,28,normal
84,0,-1,-1,0,0,0,0,28,normal
31,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
110,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,1580577,0,1580577,48,normal
134,0,-1,-1,0,0,0,0,28,normal
80,0,-1,-1,0,4296170,0,2067749,68,normal
83,0,-1,-1,0,0,0,0,28,normal
93,0,-1,-1,0,0,0,0,28,normal
111,0,-1,-1,0,0,0,0,28,normal
58,0,-1,-1,0,0,0,0,28,normal
48,0,-1,-1,153089,153089,153089,0,48,normal
131,0,-1,-1,0,0,0,0,28,normal
624,0,-1,-1,0,0,0,0,28,normal
1108,0,-1,-1,0,0,0,0,28,normal
131,0,-1,-1,0,0,0,0,28,normal
48,0,-1,-1,0,0,0,0,28,normal
74,0,-1,-1,0,0,0,0,28,normal
68,0,-1,-1,0,0,0,0,28,normal
30,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
773,0,-1,-1,0,0,0,0,28,normal
1195,0,-1,-1,0,0,0,0,28,normal
62,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
73,0,-1,-1,0,0,0,0,28,normal
