% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
240,15428,42,2192,52,64,148,5,52,52,60,1,320,8759,318671,31272,581,50704,325157,78601,2093595,2093595,2093595,2093595,0,0,0,0,0,240,15428,42,2192,238,0,0,0,12488,2192,tcpFlood
1064,70396,812,42758,52,66,472,18,52,52,566,18,6,5533,511715,23803,2,7250,556885,28499,5882521,5882521,5882521,5882521,0,0,0,0,0,1064,70396,812,42758,1061,1,0,0,55336,42244,tcpFlood
434,28084,57,2972,52,64,304,12,52,52,60,1,352,8974,313897,32369,2051,70500,343968,80824,5111883,366302,1939007,3511712,2224140,1233869,1233869,1233869,0,217,14042,28,1486,432,0,0,0,22576,2972,tcpFlood
117,7472,25,1308,52,63,64,1,52,52,60,1,523,3567,17981,2847,1264,15974,44213,16791,413847,413847,413847,413847,0,0,0,0,0,117,7472,25,1308,115,0,0,0,6092,1308,tcpFlood
135,8888,67,3504,52,65,196,12,52,52,64,1,228,14603,410152,40040,22,29148,366115,51797,1957208,1957208,1957208,1957208,0,0,0,0,0,135,8888,67,3504,133,0,0,0,7028,3504,tcpFlood
625,42288,223,11640,52,67,256,19,52,52,64,1,225,14857,710412,57585,24,41190,1093637,101525,23924324,17926,1189479,3071430,1315449,1209537,2058355,3596802,861767,78,5286,27,1455,623,0,0,0,32508,11640,tcpFlood
566,37132,112,6598,52,65,256,12,52,58,566,48,358,18995,924492,81500,95,90576,956965,165581,13654923,62321,3564887,6993884,3466367,1425199,1480130,1535062,77684,188,12377,37,2199,563,1,0,0,29440,6084,tcpFlood
137,8812,51,2672,52,64,88,2,52,52,64,2,13,14298,393300,41755,29,38000,377246,63652,1945248,1945248,1945248,1945248,0,0,0,0,0,137,8812,51,2672,135,0,0,0,7132,2672,tcpFlood
2532,163436,625,33022,52,64,316,7,52,52,566,20,3,2702,242593,7350,1,10935,238623,15844,6839571,6839571,6839571,6839571,0,0,0,0,0,2532,163436,625,33022,2529,1,0,0,131672,32508,tcpFlood
4907,316888,3565,185520,52,64,268,6,52,52,64,0,21,3297,379316,9736,3,4540,377211,11573,16182816,16182816,16182816,16182816,0,0,0,0,0,4907,316888,3565,185520,4905,0,0,0,255172,185520,tcpFlood
529,34236,194,10730,52,64,232,9,52,55,566,36,392,18628,659779,71435,7,47545,1037713,126593,13863327,3643818,4908635,6173452,1788721,4046057,4046057,4046057,0,264,17118,97,5365,526,1,0,0,27516,10216,tcpFlood
811,57936,155,8268,52,71,1500,85,52,53,80,4,8,17405,968069,80453,3,92385,1341808,191874,23618540,21624,2808510,6560318,3242708,1343486,2393996,4358162,1339017,162,11587,31,1653,807,0,0,0,42180,8268,tcpFlood
1292,86068,293,16054,52,66,364,18,52,54,566,30,32,14010,970778,61628,4,62496,1338547,141846,27660389,53559,3621912,6491468,3270967,1351484,2387706,4291461,1300626,258,17213,58,3210,1288,1,0,0,67204,15540,tcpFlood
332,21844,70,4318,52,65,448,21,52,61,566,61,129,24660,938967,99310,5,116580,1004529,210602,12313899,62572,2742244,4411077,2343868,1426432,2043583,2660735,872784,110,7281,23,1439,329,1,0,0,17272,3804,tcpFlood
438,28244,98,5104,52,64,148,4,52,52,60,0,4,21695,778893,83623,2,86487,1393551,190003,13650948,73004,3145828,5612689,2819117,1430890,2106732,2782574,955784,146,9414,32,1701,436,0,0,0,22784,5104,tcpFlood
913,60048,228,12032,52,65,412,14,52,52,80,3,212,15954,963483,70842,2,64838,1001850,141761,24096334,55901,2911953,6492912,3151032,1358031,2384141,4173443,1231835,182,12009,45,2406,911,0,0,0,47484,12032,tcpFlood
117,7568,66,3464,52,64,124,5,52,52,64,2,286,15654,418823,44670,12,27427,416686,57567,1815886,1815886,1815886,1815886,0,0,0,0,0,117,7568,66,3464,115,0,0,0,6092,3464,tcpFlood
349,23484,85,4464,52,67,712,36,52,52,64,2,496,27040,928145,100253,463,113696,1501315,227739,12332060,71789,3119911,5659179,2828238,1415775,1486162,1556550,99542,116,7828,28,1488,347,0,0,0,18156,4464,tcpFlood
352,22800,95,5462,52,64,256,10,52,57,566,52,288,28059,900354,95888,4,102998,1088115,198422,13645963,59882,3265115,5943800,2977089,1388255,1925309,2462363,759509,117,7600,31,1820,349,1,0,0,18312,4948,tcpFlood
6363,412880,1761,92130,52,64,1252,18,52,52,566,12,7,3541,562321,13655,3,12804,889212,31953,22536417,22536417,22536417,22536417,0,0,0,0,0,6363,412880,1761,92130,6360,1,0,0,330884,91616,tcpFlood
499,33180,114,6156,52,66,292,14,52,54,80,5,3,18492,968036,82715,13,81737,1342948,189445,11136134,2627935,4595469,6563004,2782513,1945195,1945195,1945195,0,249,16590,57,3078,497,0,0,0,25956,6156,tcpFlood
5335,344064,1367,71630,52,64,256,5,52,52,566,13,1,3560,319369,12295,2,13905,313487,27633,18997623,18997623,18997623,18997623,0,0,0,0,0,5335,344064,1367,71630,5332,1,0,0,277428,71116,tcpFlood
434,28492,109,6478,52,65,328,16,52,59,566,49,474,25012,925594,93007,7,101504,961618,175317,13635442,83688,3602192,6931283,3427724,1380500,1414432,1448364,47987,144,9497,36,2159,430,1,0,0,22588,5964,tcpFlood
109,7008,47,2452,52,64,88,3,52,52,60,1,3,20526,416933,48703,32,45657,442896,70270,2216858,2216858,2216858,2216858,0,0,0,0,0,109,7008,47,2452,107,0,0,0,5676,2452,tcpFlood
1782,116852,1037,54638,52,65,640,19,52,52,566,16,1,4594,599370,19032,5,7896,603188,26880,8182388,8182388,8182388,8182388,0,0,0,0,0,1782,116852,1037,54638,1779,1,0,0,92672,54124,tcpFlood
5296,341556,3723,194286,52,64,184,5,52,52,566,8,151,2992,379166,9167,3,4258,382712,11036,15851578,15851578,15851578,15851578,0,0,0,0,0,5296,341556,3723,194286,5293,1,0,0,275400,193772,tcpFlood
1503,98948,1045,55114,52,65,496,17,52,52,566,15,341,4901,539640,19197,5,7046,542213,24585,7361356,7361356,7361356,7361356,0,0,0,0,0,1503,98948,1045,55114,1500,1,0,0,78164,54600,tcpFlood
4964,320296,3541,184882,52,64,184,5,52,52,566,8,3,3326,379648,10331,2,4662,380220,12335,16508207,16508207,16508207,16508207,0,0,0,0,0,4964,320296,3541,184882,4961,1,0,0,258136,184368,tcpFlood
155,10168,78,4076,52,65,196,11,52,52,64,1,865,14232,432446,40915,45,27844,479054,61159,2192291,2192291,2192291,2192291,0,0,0,0,0,155,10168,78,4076,153,0,0,0,8068,4076,tcpFlood
4884,315980,3536,184634,52,64,388,8,52,52,566,8,5,3299,382122,10299,2,4557,380235,12155,16112854,16112854,16112854,16112854,0,0,0,0,0,4884,315980,3536,184634,4881,1,0,0,253976,184120,tcpFlood
1457,98500,1068,56262,52,67,1500,44,52,52,566,15,3,5406,542327,19528,4,7371,540643,23713,7871635,7871635,7871635,7871635,0,0,0,0,0,1457,98500,1068,56262,1453,1,0,0,75772,55748,tcpFlood
4377,288260,1116,58590,52,65,1500,42,52,52,566,15,5,3843,677682,17946,2,15067,1559605,53833,16820328,16820328,16820328,16820328,0,0,0,0,0,4377,288260,1116,58590,4372,1,0,0,227612,58076,tcpFlood
7093,461628,2125,111094,52,65,1500,21,52,52,566,11,4,3394,440063,12960,2,11323,1134194,33640,24074301,24074301,24074301,24074301,0,0,0,0,0,7093,461628,2125,111094,7089,1,0,0,368844,110580,tcpFlood
4677,301556,3306,172434,52,64,316,8,52,52,566,8,52,1759,33106,1438,2,2489,58133,2936,8228226,8228226,8228226,8228226,0,0,0,0,0,4677,301556,3306,172434,4674,1,0,0,243212,171920,tcpFlood
161,10504,55,2868,52,65,184,10,52,52,60,1,196,11938,416546,38522,4,35648,433915,64285,1957728,1957728,1957728,1957728,0,0,0,0,0,161,10504,55,2868,159,0,0,0,8380,2868,tcpFlood
8051,523000,2485,129838,52,64,1500,18,52,52,566,10,3,3243,316185,10705,2,10503,624598,26798,26107335,26107335,26107335,26107335,0,0,0,0,0,8051,523000,2485,129838,8047,1,0,0,418660,129324,tcpFlood
160,10272,60,3128,52,64,88,2,52,52,60,1,2,1920,13364,1447,4,5196,31637,6261,307594,307594,307594,307594,0,0,0,0,0,160,10272,60,3128,158,0,0,0,8328,3128,tcpFlood
2934,189308,776,40898,52,64,316,7,52,52,566,18,6,2639,242790,6851,3,9966,245362,14907,7742362,7742362,7742362,7742362,0,0,0,0,0,2934,189308,776,40898,2931,1,0,0,152576,40384,tcpFlood
6798,442532,1880,98342,52,65,952,17,52,52,566,11,5,3393,308454,11760,3,12264,695474,33704,23063967,23063967,23063967,23063967,0,0,0,0,0,6798,442532,1880,98342,6795,1,0,0,353504,97828,tcpFlood
4800,309308,3415,178138,52,64,268,5,52,52,566,8,14,3372,382447,10384,3,4739,377943,12744,16185177,16185177,16185177,16185177,0,0,0,0,0,4800,309308,3415,178138,4797,1,0,0,249608,177624,tcpFlood
4230,272852,936,49218,52,64,316,6,52,52,566,16,7,3785,318961,13930,3,17117,323201,33787,16008049,16008049,16008049,16008049,0,0,0,0,0,4230,272852,936,49218,4227,1,0,0,219968,48704,tcpFlood
2395,154152,659,34802,52,64,268,5,52,52,566,20,102,2497,41694,3186,10,9083,51119,8878,5978164,5978164,5978164,5978164,0,0,0,0,0,2395,154152,659,34802,2392,1,0,0,124548,34288,tcpFlood
4898,317236,3524,183914,52,64,388,9,52,52,566,8,10,3300,381508,9838,3,4586,381413,11739,16160387,16160387,16160387,16160387,0,0,0,0,0,4898,317236,3524,183914,4895,1,0,0,254704,183400,tcpFlood
1681,109272,1236,64794,52,65,352,11,52,52,566,14,238,1882,56619,2151,3,2550,69360,3566,3163117,3163117,3163117,3163117,0,0,0,0,0,1681,109272,1236,64794,1678,1,0,0,87420,64280,tcpFlood
196,12612,24,1256,52,64,148,6,52,52,60,1,466,7364,258017,24788,31577,60934,296947,65597,1436020,1436020,1436020,1436020,0,0,0,0,0,196,12612,24,1256,194,0,0,0,10200,1256,tcpFlood
906,58388,104,5416,52,64,292,8,52,52,60,0,189,6615,337480,26329,537,58323,375898,75815,7214803,2427416,2990619,3553822,796489,1233565,1233565,1233565,0,453,29194,52,2708,904,0,0,0,47120,5416,tcpFlood
1375,93672,950,50102,52,68,1500,50,52,52,566,16,2,5477,541287,21072,3,7929,546920,27520,7526107,7526107,7526107,7526107,0,0,0,0,0,1375,93672,950,50102,1371,1,0,0,71508,49588,tcpFlood
80,5332,36,1892,52,66,208,18,52,52,64,2,337,2927,17593,3665,205,5920,46419,10416,231246,231246,231246,231246,0,0,0,0,0,80,5332,36,1892,78,0,0,0,4168,1892,tcpFlood
295,18864,291,15140,52,63,64,0,52,52,60,0,43,2004,31766,2421,24,2027,31209,2431,589402,589402,589402,589402,0,0,0,0,0,295,18864,291,15140,293,0,0,0,15348,15140,tcpFlood
1599,105896,1185,62598,52,66,640,22,52,52,566,15,11,5378,542387,19101,2,7260,539385,23563,8598202,8598202,8598202,8598202,0,0,0,0,0,1599,105896,1185,62598,1596,1,0,0,83156,62084,tcpFlood
367,24024,105,5720,52,65,220,10,52,54,72,5,460,23721,980379,92821,9,84643,1001620,172895,11513864,47412,2880573,4844066,2513804,1421102,1436072,1451042,21170,122,8008,35,1906,365,0,0,0,19092,5720,tcpFlood
