% isAttack normal:	571
% isAttack attack:	3229
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, normal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,8,10,16,21-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_bytes numeric
@attribute count numeric
@attribute serror_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,0,16,0,0.84,0.38,0.61,normal
tcp,RSTO,5040,6,0.17,0.78,0,0.71,normal
tcp,OTH,0,31,0,0.3,0.66,0.33,normal
tcp,SF,140,2,0,0,0,0,normal
tcp,OTH,0,23,0,0.21,0.81,0.17,normal
tcp,SF,7769,0,0,1,0,1,normal
tcp,SF,9103,2,0,0.93,0,0.96,normal
tcp,OTH,0,145,0,0.01,0.97,0,normal
tcp,OTH,0,8,0,0.86,0.15,0.85,normal
tcp,OTH,0,259,0,0,0.97,0,normal
tcp,OTH,0,213,0,0,0.97,0,normal
tcp,OTH,0,291,0,0,0.97,0,normal
tcp,OTH,0,81,0,0,0.95,0,normal
tcp,OTH,0,166,0,0.01,0.97,0,normal
tcp,OTH,0,88,0,0.27,0.97,0,normal
tcp,OTH,0,312,0,0.01,0.93,0.05,normal
tcp,OTH,0,166,0,0.02,0.97,0,normal
tcp,OTH,0,2,0,0.83,0.04,0.96,normal
tcp,OTH,0,46,0,0.04,0.97,0,normal
tcp,RSTO,6134,1,0,0.99,0,0.98,normal
tcp,SF,140,0,0,1,0,0.81,normal
tcp,OTH,0,2,0,0,0.06,0.94,normal
tcp,SF,4349,3,0,0.25,0,0.51,normal
tcp,OTH,0,74,0,0.01,0.95,0.02,normal
tcp,OTH,0,132,0,0.01,0.97,0,normal
tcp,OTH,0,7,0,0.9,0.16,0.84,normal
tcp,OTH,0,65,0,0,0.97,0,normal
tcp,SF,126,0,0,1,0,1,normal
tcp,OTH,0,41,0,0.38,0.95,0.03,normal
tcp,OTH,0,376,0,0.01,0.98,0,normal
tcp,OTH,0,224,0,0,0.97,0,normal
tcp,SF,4259,0,0,1,0,1,normal
tcp,OTH,0,1,0,0.91,0.02,0.98,normal
tcp,OTH,0,238,0,0.11,0.56,0.43,normal
tcp,OTH,0,433,0,0.01,0.98,0,normal
tcp,RSTO,8144,1,0,0.99,0,0.97,normal
tcp,OTH,0,97,0,0.03,0.91,0.06,normal
tcp,OTH,0,349,0,0.01,0.98,0,normal
tcp,OTH,0,167,0,0.01,0.96,0,normal
tcp,SF,280,2,0,0,0,0.93,normal
tcp,SF,10263,0,0,1,0,1,normal
tcp,OTH,0,0,0,1,0,1,normal
tcp,SF,140,0,0,0,0,0.5,normal
tcp,OTH,0,121,0,0.02,0.82,0.1,normal
tcp,SF,1196,2,0,0.33,0,0.84,normal
tcp,SF,20809,2,0,0,0,0.96,normal
tcp,OTH,0,311,0,0.01,0.97,0,normal
tcp,OTH,0,59,0,0.25,0.95,0.03,normal
tcp,OTH,0,98,0,0.23,0.9,0.05,normal
tcp,OTH,0,206,0,0,0.97,0,normal
tcp,OTH,0,10,0,0.33,0.83,0.15,normal
tcp,OTH,0,43,0,0,0.96,0,normal
tcp,OTH,0,9,0,0.1,0.7,0.28,normal
tcp,OTH,0,52,0,0.4,0.97,0,normal
tcp,OTH,0,12,0,0.66,0.22,0.77,normal
tcp,S1,135832,0,0,1,0,1,normal
tcp,OTH,0,90,0,0.14,0.95,0.03,normal
tcp,OTH,0,9,0,0.96,0.12,0.78,normal
tcp,SF,1568,0,0,1,0,1,normal
tcp,OTH,0,166,0,0.01,0.97,0,normal
tcp,OTH,0,463,0,0.01,0.98,0,normal
tcp,OTH,0,487,0,0.01,0.98,0,normal
tcp,OTH,0,7,0,0.12,0.15,0.84,normal
tcp,OTH,0,350,0,0.01,0.98,0,normal
tcp,OTH,0,4,0,0.98,0.1,0.9,normal
tcp,OTH,0,8,0,0.11,0.49,0.5,normal
tcp,OTH,0,6,0,0.83,0.12,0.88,normal
tcp,OTH,0,114,0,0.31,0.9,0.07,normal
tcp,OTH,0,277,0,0.02,0.98,0,normal
tcp,OTH,0,53,0,0.12,0.84,0.14,normal
tcp,OTH,0,7,0,0.87,0.13,0.87,normal
tcp,OTH,0,308,0,0.02,0.98,0,normal
tcp,OTH,0,110,0,0.08,0.96,0,normal
tcp,OTH,0,188,0,0.01,0.97,0,normal
tcp,OTH,0,87,0,0.04,0.97,0,normal
tcp,OTH,0,70,0,0,0.96,0,normal
tcp,OTH,0,8,0,0.5,0.29,0.7,normal
tcp,RSTO,6441,7,0,0.56,0,0.86,normal
tcp,OTH,0,44,0,0.27,0.72,0.27,normal
tcp,SF,8815,0,0,1,0,1,normal
tcp,OTH,0,242,0,0.11,0.6,0.39,normal
tcp,OTH,0,56,0,0.02,0.94,0.03,normal
tcp,OTH,0,31,0,0.03,0.95,0.03,normal
tcp,OTH,0,47,0,0.33,0.97,0,normal
tcp,OTH,0,130,0,0.02,0.97,0,normal
tcp,OTH,0,3,0,0.79,0.57,0.41,normal
tcp,OTH,0,5,0,0.55,0.11,0.89,normal
tcp,OTH,0,2,0,0.33,0.56,0.4,normal
tcp,OTH,0,93,0,0.12,0.95,0.03,normal
tcp,OTH,0,53,0,0.02,0.88,0.06,normal
tcp,OTH,0,323,0,0.01,0.98,0,normal
tcp,OTH,0,0,0,1,0.57,0.41,normal
tcp,S1,4444,3,1,0.97,0,0.93,normal
tcp,SF,607,0,0,1,0,1,normal
tcp,OTH,0,2,0,0.9,0.04,0.96,normal
tcp,OTH,0,53,0,0.18,0.97,0,normal
tcp,OTH,0,46,0,0.42,0.97,0,normal
tcp,OTH,0,113,0,0,0.94,0,normal
tcp,OTH,0,95,0,0.01,0.98,0,normal
tcp,OTH,0,3,0,0.67,0.15,0.76,normal
tcp,OTH,0,98,0,0.28,0.72,0.26,normal
tcp,OTH,0,2,0,0,0.15,0.78,normal
tcp,OTH,0,170,0,0.01,0.96,0,normal
tcp,S1,2960,4,1,0.98,0,0.93,normal
tcp,OTH,0,59,0,0.24,0.97,0,normal
tcp,OTH,0,93,0,0.03,0.91,0.06,normal
tcp,OTH,0,41,0,0.09,0.91,0.07,normal
tcp,OTH,0,312,0,0.01,0.97,0,normal
tcp,SF,1681,2,0,0.5,0,0.95,normal
tcp,OTH,0,57,0,0.14,0.97,0,normal
tcp,OTH,0,173,0,0.02,0.97,0,normal
tcp,OTH,0,310,0,0.01,0.97,0,normal
tcp,OTH,0,225,0,0,0.96,0,normal
tcp,OTH,0,1,0,0,0.03,0.97,normal
tcp,OTH,0,4,0,0,0.67,0.31,normal
tcp,OTH,0,38,0,0.03,0.95,0.03,normal
tcp,OTH,0,35,0,0.03,0.95,0.03,normal
tcp,OTH,0,305,0,0.02,0.98,0,normal
tcp,OTH,0,112,0,0.01,0.97,0,normal
tcp,OTH,0,4,0,0,0.8,0,normal
tcp,OTH,0,131,0,0.12,0.97,0,normal
tcp,OTH,0,24,0,0.14,0.51,0.48,normal
tcp,OTH,0,97,0,0.01,0.98,0,normal
tcp,OTH,0,39,0,0.05,0.81,0.17,normal
tcp,OTH,0,32,0,0.52,0.71,0.27,normal
tcp,OTH,0,18,0,0.1,0.69,0.29,normal
tcp,OTH,0,118,0,0.02,0.97,0,normal
tcp,OTH,0,481,0,0.01,0.98,0,normal
tcp,SF,140,1,0,0.5,0,0.57,normal
tcp,OTH,0,76,0,0.08,0.95,0.03,normal
tcp,OTH,0,162,0,0,0.95,0,normal
tcp,OTH,0,127,0,0.02,0.97,0,normal
tcp,SF,1723,2,0,0.78,0,0.95,normal
tcp,OTH,0,101,0,0,0.92,0,normal
tcp,OTH,0,114,0,0.25,0.92,0,normal
tcp,OTH,0,22,0,0.76,0.45,0.54,normal
tcp,SF,541,0,0,1,0,0.98,normal
tcp,OTH,0,6,0,0.91,0.13,0.86,normal
tcp,OTH,0,324,0,0.01,0.98,0,normal
tcp,SF,140,0,0,1,0,1,normal
tcp,SF,1722,1,0,0.67,0,0.91,normal
tcp,OTH,0,320,0,0.01,0.97,0,normal
tcp,OTH,0,2,0,0.5,0.14,0.85,normal
tcp,OTH,0,17,0,0.67,0.22,0.68,normal
tcp,OTH,0,8,0,0.33,0.37,0.62,normal
tcp,OTH,0,309,0,0.01,0.97,0,normal
tcp,OTH,0,31,0,0.16,0.72,0.26,normal
tcp,OTH,0,419,0,0.01,0.98,0,normal
tcp,OTH,0,127,0,0.12,0.97,0,normal
tcp,OTH,0,16,0,0.67,0.18,0.69,normal
tcp,OTH,0,226,0,0,0.97,0,normal
tcp,OTH,0,84,0,0.38,0.61,0.37,normal
tcp,OTH,0,316,0,0.01,0.97,0,normal
tcp,OTH,0,173,0,0.01,0.95,0,normal
tcp,OTH,0,4,0,0,0.11,0.89,normal
tcp,OTH,0,11,0,0,0.28,0.71,normal
tcp,SF,2670,0,0,0,0,0.89,normal
tcp,OTH,0,432,0,0.01,0.98,0,normal
tcp,OTH,0,53,0,0.39,0.97,0,normal
tcp,OTH,0,109,0,0.06,0.93,0.04,normal
tcp,OTH,0,145,0,0.03,0.97,0,normal
tcp,SF,4414,0,0,1,0,1,normal
tcp,OTH,0,34,0,0.08,0.72,0.26,normal
tcp,OTH,0,2,0,0,0.5,0,normal
tcp,OTH,0,6,0,0.14,0.63,0.33,normal
tcp,OTH,0,3,0,0.67,0.07,0.93,normal
tcp,OTH,0,317,0,0.01,0.97,0,normal
tcp,OTH,0,7,0,0.74,0.48,0.51,normal
tcp,RSTO,7957,4,0,0.67,0,0.92,normal
tcp,OTH,0,123,0,0.02,0.97,0,normal
tcp,SF,836,0,0,1,0,1,normal
tcp,OTH,0,11,0,0.86,0.24,0.75,normal
tcp,OTH,0,1,0,0.92,0.02,0.98,normal
tcp,OTH,0,137,0,0.13,0.86,0.12,normal
tcp,OTH,0,3,0,0.5,0.34,0.65,normal
tcp,OTH,0,3,0,0.73,0.07,0.93,normal
tcp,OTH,0,168,0,0.01,0.97,0,normal
tcp,OTH,0,42,0,0.11,0.98,0,normal
tcp,RSTR,4118,2,0,0.89,0,0.9,normal
tcp,OTH,0,148,0,0.03,0.97,0,normal
tcp,OTH,0,39,0,0.34,0.81,0.16,normal
tcp,OTH,0,12,0,0.95,0.08,0.92,normal
tcp,SF,2175,2,0,0.5,0,0.86,normal
tcp,OTH,0,110,0,0.15,0.97,0,normal
tcp,OTH,0,17,0,0.26,0.51,0.48,normal
tcp,SF,626,1,0,0.75,0,0.93,normal
tcp,OTH,0,78,0,0.04,0.91,0.06,normal
tcp,OTH,0,121,0,0.13,0.97,0,normal
tcp,SF,1197,0,0,1,0,1,normal
tcp,OTH,0,267,0,0,0.96,0,normal
tcp,RSTO,712,0,0,1,0,1,normal
tcp,OTH,0,217,0,0,0.98,0,normal
tcp,OTH,0,99,0,0.23,0.9,0.05,normal
tcp,OTH,0,69,0,0,0.96,0,normal
tcp,OTH,0,8,0,0.11,0.72,0.27,normal
tcp,OTH,0,250,0,0,0.97,0,normal
tcp,OTH,0,131,0,0.2,0.94,0.03,normal
tcp,SF,1657,0,0,1,0,0.8,normal
tcp,S1,233300,0,0,1,0,1,normal
tcp,S1,5193,1,1,0.99,0,0.97,normal
tcp,RSTR,3768,0,0,1,0,1,normal
tcp,OTH,0,172,0,0.01,0.95,0,normal
tcp,OTH,0,52,0,0.07,0.97,0,normal
tcp,OTH,0,95,0,0.03,0.91,0.06,normal
tcp,OTH,0,372,0,0.01,0.98,0,normal
tcp,OTH,0,161,0,0.01,0.98,0,normal
tcp,OTH,0,138,0,0.05,0.97,0,normal
tcp,OTH,0,13,0,0.79,0.24,0.76,normal
tcp,OTH,0,321,0,0.01,0.97,0,normal
tcp,SF,123495,1,0,0.95,0,0.97,normal
tcp,SF,4760,1,0,0.86,0,0.98,normal
tcp,OTH,0,81,0,0.34,0.62,0.36,normal
tcp,OTH,0,110,0,0.04,0.93,0,normal
tcp,OTH,0,85,0,0.01,0.94,0.03,normal
tcp,OTH,0,1,0,0.96,0.02,0.98,normal
tcp,OTH,0,168,0,0.01,0.97,0,normal
tcp,OTH,0,282,0,0.02,0.98,0,normal
tcp,OTH,0,55,0,0.08,0.95,0.03,normal
tcp,OTH,0,321,0,0.01,0.98,0,normal
tcp,OTH,0,56,0,0.02,0.94,0.03,normal
tcp,OTH,0,284,0,0,0.98,0,normal
tcp,OTH,0,326,0,0.01,0.98,0,normal
tcp,S1,4869,0,0,1,0,1,normal
tcp,RSTO,4439,14,0.07,0.84,0,0.9,normal
tcp,OTH,0,12,0,0.54,0.41,0.44,normal
tcp,OTH,0,323,0,0.01,0.97,0,normal
tcp,OTH,0,2,0,0.99,0.05,0.94,normal
tcp,SF,6183,1,0,0.99,0,0.97,normal
tcp,RSTO,5735,0,0,1,0,1,normal
tcp,OTH,0,4,0,0.98,0.11,0.89,normal
tcp,OTH,0,38,0,0.47,0.9,0.07,normal
tcp,OTH,0,39,0,0.13,0.95,0.03,normal
tcp,OTH,0,7,0,0,0.19,0.81,normal
tcp,SF,140,0,0,1,0,1,normal
tcp,OTH,0,357,0,0.01,0.98,0,normal
tcp,OTH,0,19,0,0.78,0.4,0.6,normal
tcp,OTH,0,285,0,0,0.96,0,normal
tcp,OTH,0,9,0,0.8,0.2,0.8,normal
tcp,OTH,0,335,0,0.02,0.98,0,normal
tcp,OTH,0,75,0,0.09,0.95,0.03,normal
tcp,OTH,0,168,0,0.01,0.96,0,normal
tcp,OTH,0,1,0,0.95,0.02,0.98,normal
tcp,OTH,0,58,0,0.17,0.97,0,normal
tcp,OTH,0,208,0,0,0.97,0,normal
tcp,OTH,0,309,0,0.01,0.97,0,normal
tcp,OTH,0,0,0,1,0,1,normal
tcp,SF,20970,0,0,1,0,1,normal
tcp,OTH,0,0,0,1,0,1,normal
tcp,OTH,0,312,0,0.01,0.97,0,normal
tcp,OTH,0,0,0,1,0,1,normal
tcp,RSTO,854,8,0,0.96,0,0.85,normal
tcp,OTH,0,105,0,0.24,0.93,0.03,normal
tcp,OTH,0,300,0,0,0.97,0,normal
tcp,OTH,0,298,0,0,0.97,0,normal
tcp,SF,5988,4,0,0.98,0,0.87,normal
tcp,OTH,0,306,0,0.01,0.97,0,normal
tcp,OTH,0,25,0,0.78,0.42,0.57,normal
tcp,OTH,0,181,0,0.01,0.97,0,normal
tcp,OTH,0,2,0,0.78,0.04,0.96,normal
tcp,OTH,0,4,0,0,0.3,0.69,normal
tcp,OTH,0,50,0,0.07,0.97,0,normal
tcp,SF,140,0,0,1,0,0.97,normal
tcp,SF,6510,1,0,0.83,0,0.98,normal
tcp,RSTO,4639,2,0,0.85,0,0.94,normal
tcp,OTH,0,73,0,0.43,0.76,0.23,normal
tcp,OTH,0,4,0,0.6,0.09,0.91,normal
tcp,OTH,0,287,0,0,0.97,0,normal
tcp,OTH,0,45,0,0,0.98,0,normal
tcp,OTH,0,120,0,0.06,0.95,0.02,normal
tcp,SF,2767,0,0,1,0,0.94,normal
tcp,OTH,0,307,0,0.01,0.97,0,normal
tcp,SF,123470,0,0,1,0,1,normal
tcp,RSTO,920,0,0,1,0,1,normal
tcp,OTH,0,298,0,0.01,0.92,0.05,normal
tcp,OTH,0,266,0,0,0.97,0,normal
tcp,OTH,0,139,0,0.05,0.97,0,normal
tcp,OTH,0,41,0,0.25,0.76,0.23,normal
tcp,SF,4470,1,0,0,0,0.98,normal
tcp,OTH,0,66,0,0.03,0.95,0,normal
tcp,OTH,0,290,0,0,0.97,0,normal
tcp,OTH,0,15,0,0.21,0.38,0.61,normal
tcp,RSTO,7213,0,0,1,0,1,normal
tcp,SF,24236,0,0,1,0,1,normal
tcp,OTH,0,2,0,0,0.08,0.92,normal
tcp,OTH,0,6,0,0.57,0.23,0.76,normal
tcp,OTH,0,315,0,0.01,0.97,0,normal
tcp,SF,140,1,0,0,0,0.88,normal
tcp,S1,5408,0,0,1,0,1,normal
tcp,RSTO,719,6,0.67,0.9,0,0.85,normal
tcp,OTH,0,7,0,0,0.21,0.79,normal
tcp,OTH,0,43,0,0.44,0.97,0,normal
tcp,OTH,0,58,0,0.28,0.97,0,normal
tcp,OTH,0,74,0,0.31,0.97,0,normal
tcp,OTH,0,193,0,0.01,0.98,0,normal
tcp,OTH,0,309,0,0.01,0.97,0,normal
tcp,OTH,0,202,0,0.03,0.93,0.05,normal
tcp,OTH,0,17,0,0.15,0.33,0.67,normal
tcp,OTH,0,159,0,0.01,0.98,0,normal
tcp,SF,1197,2,0,0.33,0,0.78,normal
tcp,OTH,0,87,0,0.18,0.95,0.03,normal
tcp,OTH,0,75,0,0.21,0.97,0,normal
tcp,RSTR,28234,0,0,1,0,1,normal
tcp,RSTR,3457,0,0,1,0,1,normal
tcp,SF,6351,1,0,0.5,0,0.98,normal
tcp,OTH,0,0,0,1,0,1,normal
tcp,OTH,0,93,0,0.02,0.92,0.04,normal
tcp,OTH,0,54,0,0.02,0.97,0,normal
tcp,OTH,0,8,0,0.74,0.28,0.71,normal
tcp,OTH,0,27,0,0.13,0.59,0.4,normal
tcp,OTH,0,287,0,0,0.97,0,normal
tcp,OTH,0,49,0,0.08,0.97,0,normal
tcp,OTH,0,0,0,1,0.67,0.32,normal
tcp,OTH,0,9,0,0.31,0.17,0.83,normal
tcp,OTH,0,69,0,0.33,0.97,0,normal
tcp,OTH,0,102,0,0.05,0.86,0.11,normal
tcp,OTH,0,290,0,0,0.97,0,normal
tcp,OTH,0,199,0,0.03,0.93,0.05,normal
tcp,OTH,0,15,0,0.63,0.3,0.69,normal
tcp,OTH,0,30,0,0.03,0.82,0.16,normal
tcp,OTH,0,283,0,0,0.98,0,normal
tcp,OTH,0,147,0,0.02,0.97,0,normal
tcp,OTH,0,488,0,0.01,0.98,0,normal
tcp,OTH,0,1,0,0,0.03,0.97,normal
tcp,OTH,0,99,0,0,0.96,0,normal
tcp,OTH,0,43,0,0.12,0.95,0.03,normal
tcp,OTH,0,311,0,0.01,0.97,0,normal
tcp,OTH,0,52,0,0.3,0.97,0,normal
tcp,OTH,0,0,0,1,0,1,normal
tcp,SF,1258,1,0,0.86,0,0.98,normal
tcp,OTH,0,286,0,0,0.97,0,normal
tcp,OTH,0,459,0,0.01,0.98,0,normal
tcp,OTH,0,324,0,0.01,0.97,0,normal
tcp,OTH,0,156,0,0.02,0.97,0,normal
tcp,OTH,0,184,0,0.01,0.98,0,normal
tcp,OTH,0,126,0,0.12,0.94,0.03,normal
tcp,OTH,0,70,0,0,0.96,0,normal
tcp,OTH,0,78,0,0.01,0.94,0.03,normal
tcp,OTH,0,44,0,0,0.97,0,normal
tcp,OTH,0,87,0,0.01,0.96,0.02,normal
tcp,OTH,0,258,0,0.02,0.98,0,normal
tcp,OTH,0,266,0,0,0.95,0,normal
tcp,OTH,0,297,0,0,0.97,0,normal
tcp,OTH,0,247,0,0.02,0.98,0,normal
tcp,OTH,0,185,0,0.01,0.98,0,normal
tcp,SF,5197,1,0,0,0,0.96,normal
tcp,SF,1389,0,0,0,0,1,normal
tcp,OTH,0,64,0,0.02,0.95,0.03,normal
tcp,OTH,0,16,0,0.45,0.43,0.56,normal
tcp,OTH,0,138,0,0.03,0.97,0,normal
tcp,OTH,0,98,0,0,0.96,0,normal
tcp,OTH,0,2,0,0.93,0.09,0.9,normal
tcp,OTH,0,46,0,0,0.97,0,normal
tcp,OTH,0,13,0,0.55,0.4,0.6,normal
tcp,SF,6694,0,0,1,0,1,normal
tcp,OTH,0,487,0,0.01,0.98,0,normal
tcp,OTH,0,158,0,0.04,0.91,0.06,normal
tcp,OTH,0,1,0,0.75,0.06,0.62,normal
tcp,SF,2723,2,0,0.33,0,0.9,normal
tcp,OTH,0,166,0,0.01,0.97,0,normal
tcp,OTH,0,41,0,0,0.97,0,normal
tcp,OTH,0,126,0,0.02,0.96,0,normal
tcp,SF,4085,0,0,1,0,1,normal
tcp,SF,6774,0,0,1,0,1,normal
tcp,OTH,0,68,0,0.07,0.97,0,normal
tcp,OTH,0,249,0,0.13,0.92,0.04,normal
tcp,OTH,0,71,0,0.03,0.95,0,normal
tcp,OTH,0,0,0,1,0,1,normal
tcp,OTH,0,308,0,0.01,0.96,0,normal
tcp,OTH,0,149,0,0.03,0.9,0.07,normal
tcp,OTH,0,235,0,0,0.97,0,normal
tcp,OTH,0,1,0,0.89,0.02,0.88,normal
tcp,OTH,0,59,0,0.03,0.97,0,normal
tcp,OTH,0,74,0,0,0.97,0,normal
tcp,OTH,0,12,0,0.94,0.27,0.72,normal
tcp,SF,1560,0,0,1,0,1,normal
tcp,OTH,0,322,0,0.02,0.98,0,normal
tcp,OTH,0,47,0,0.02,0.98,0,normal
tcp,OTH,0,187,0,0.01,0.97,0,normal
tcp,OTH,0,167,0,0.01,0.95,0,normal
tcp,OTH,0,1,0,0.67,0.22,0.77,normal
tcp,OTH,0,136,0,0.05,0.84,0.14,normal
tcp,OTH,0,285,0,0,0.97,0,normal
tcp,OTH,0,149,0,0.03,0.97,0,normal
tcp,RSTO,859,1,0,0.93,0,0.94,normal
tcp,OTH,0,128,0,0.02,0.97,0,normal
tcp,SF,3806,2,0,0.5,0,0.97,normal
tcp,OTH,0,8,0,0.8,0.36,0.63,normal
tcp,OTH,0,9,0,0.36,0.83,0.15,normal
tcp,S1,4956,0,0,1,0,1,normal
tcp,OTH,0,40,0,0,0.97,0,normal
tcp,OTH,0,291,0,0,0.97,0,normal
tcp,OTH,0,2,0,0.9,0.1,0.9,normal
tcp,SF,1582,0,0,1,0,1,normal
tcp,OTH,0,121,0,0.13,0.97,0,normal
tcp,OTH,0,48,0,0.11,0.97,0,normal
tcp,OTH,0,31,0,0.16,0.84,0.14,normal
tcp,OTH,0,1,0,0.75,0.34,0.65,normal
tcp,OTH,0,50,0,0.09,0.97,0,normal
tcp,OTH,0,427,0,0.01,0.98,0,normal
tcp,OTH,0,32,0,0.16,0.83,0.15,normal
tcp,OTH,0,309,0,0.01,0.97,0,normal
tcp,OTH,0,13,0,0,0.63,0.35,normal
tcp,OTH,0,104,0,0.16,0.97,0,normal
tcp,OTH,0,226,0,0.01,0.9,0.07,normal
tcp,SF,214,0,0,1,0,1,normal
tcp,RSTR,14459,0,0,0,0,0.97,normal
tcp,OTH,0,41,0,0,0.93,0.05,normal
tcp,OTH,0,36,0,0.03,0.86,0.12,normal
tcp,OTH,0,141,0,0.26,0.93,0,normal
tcp,OTH,0,74,0,0.01,0.97,0,normal
tcp,S1,6887,0,0,1,0,1,normal
tcp,OTH,0,133,0,0.03,0.89,0.08,normal
tcp,OTH,0,1,0,1,0.03,0.97,normal
tcp,OTH,0,94,0,0,0.96,0,normal
tcp,OTH,0,230,0,0.03,0.98,0,normal
tcp,OTH,0,483,0,0.01,0.98,0,normal
tcp,OTH,0,469,0,0.01,0.98,0,normal
tcp,OTH,0,73,0,0.2,0.97,0,normal
tcp,OTH,0,21,0,0.38,0.53,0.46,normal
tcp,OTH,0,139,0,0.02,0.97,0,normal
tcp,SF,976,0,0,0,0,1,normal
tcp,OTH,0,13,0,0.13,0.29,0.7,normal
tcp,OTH,0,249,0,0.12,0.84,0.15,normal
tcp,OTH,0,4,0,0.88,0.15,0.84,normal
tcp,OTH,0,485,0,0.01,0.98,0,normal
tcp,OTH,0,0,0,1,0,1,normal
tcp,RSTO,6441,0,0,1,0,1,normal
tcp,OTH,0,18,0,0.56,0.34,0.65,normal
tcp,SF,659,18,0,0,0.06,0.06,normal
tcp,SF,293,24,0,0.07,0,0,normal
tcp,REJ,0,1,0,1,0,0.02,normal
tcp,SF,13788,7,0,0,0.01,0.02,normal
tcp,SF,1183,17,0,0.14,0,0,normal
tcp,SF,1285,4,0,0,0.03,0.08,normal
tcp,SF,7104,9,0,0.1,0.11,0.05,normal
tcp,SF,1040,10,0,0.18,0.04,0.03,normal
tcp,S2,1381,1,1,0,0,0,normal
tcp,SF,13332,3,0,0.5,0,0,normal
tcp,SF,1405,28,0,0.06,0.02,0.04,normal
tcp,SF,1938,2,0,0.38,0.12,0.05,normal
tcp,SF,1124,11,0,0,0.05,0.03,normal
tcp,SF,330,17,0,0,0,0,normal
tcp,SF,247,1,0,0.5,0.04,0.01,normal
tcp,SF,10219,2,0,0,0.01,0.19,normal
tcp,SF,3900,40,0,0,0,0,normal
tcp,SF,2099,14,0,0.12,0,0,normal
tcp,REJ,0,1,0,0,0.25,0.19,normal
tcp,SF,6515,2,0,0.67,0,0,normal
tcp,SF,1984,3,0,0,0,0,normal
tcp,SF,480,9,0.11,0,0.01,0.01,normal
tcp,SF,11148,2,0,0,0.5,0.02,normal
tcp,SF,879,21,0,0.09,0.05,0.01,normal
tcp,SF,769,7,0,0.31,0.01,0.02,normal
tcp,SF,27280,2,0,0.67,0.5,0.02,normal
tcp,SF,362,27,0,0.09,0,0,normal
tcp,SF,21375,2,0,0.16,0.5,0.01,normal
tcp,REJ,0,1,0,0,1,0.06,normal
tcp,S1,21900,1,1,0,0.01,0.01,normal
tcp,SF,893,12,0,0.09,0,0,normal
tcp,SF,342,3,0,0.1,0.01,0.02,normal
tcp,SF,1778,3,0,0,0.33,0.03,normal
tcp,SF,261,42,0,0,0.01,0.03,normal
tcp,SF,1911,5,0,0.33,0.02,0.01,normal
tcp,SF,2102,8,0,0,0,0,normal
tcp,SF,754,8,0,0,0.01,0.04,normal
tcp,SF,398,6,0,0.15,0.01,0.03,normal
tcp,SF,367,5,0,0.43,0.08,0.08,normal
tcp,SF,1893,2,0,0,0.01,0.02,normal
tcp,SF,9737,1,0,0.21,0.03,0.02,normal
tcp,SF,4505,2,0,0,0.03,0.03,normal
tcp,REJ,0,1,0,0,0.5,0.05,normal
tcp,SF,5670,2,0,0,0.04,0.05,normal
tcp,SF,761,2,0,0.5,0.01,0.01,normal
tcp,SF,7333,5,0.2,0,0,0,normal
tcp,SF,2239,3,0,0,0,0,normal
tcp,SF,3724,4,0,0.3,0,0,normal
tcp,REJ,0,1,0,0,0.11,0.1,normal
tcp,SF,5480,4,0,0.22,0.01,0.02,normal
tcp,SF,4716,1,0,0,0.01,0.01,normal
tcp,SF,28549,1,0,1,0.02,0.06,normal
tcp,SF,2139,18,0,0,0.06,0.04,normal
tcp,SF,7509,11,0,0,0.09,0.01,normal
tcp,SF,2454,2,0,0.75,0.14,0.04,normal
tcp,SF,705,2,0,0.4,0.25,0.05,normal
tcp,SF,28382,1,0,0,0.02,0.03,normal
tcp,SF,1681,7,0,0,0.01,0.01,normal
