% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,17-18,21,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
295,5072,2,255,0.5,NORMAL
295,2247,5,255,0.2,NORMAL
237,1587,150,255,0.01,NORMAL
273,8313,199,255,0.01,NORMAL
210,274,255,255,0,NORMAL
249,1112,143,255,0.01,NORMAL
303,1233,255,255,0,NORMAL
205,13965,16,255,0.06,NORMAL
212,2345,3,215,0.33,NORMAL
296,1024,255,255,0,NORMAL
171,1094,185,238,0.01,NORMAL
352,2660,255,255,0,NORMAL
229,861,255,255,0,NORMAL
0,0,2,249,0.5,NORMAL
226,5953,5,255,0.2,NORMAL
261,255,214,255,0,NORMAL
290,575,255,255,0,NORMAL
216,1746,3,255,0.33,NORMAL
230,13542,24,255,0.04,NORMAL
214,1718,255,255,0,NORMAL
299,424,64,255,0.02,NORMAL
241,3198,25,255,0.04,NORMAL
235,3710,70,255,0.01,NORMAL
217,864,164,255,0.01,NORMAL
253,392,194,255,0.01,NORMAL
214,4115,47,255,0.02,NORMAL
251,1939,255,231,0,NORMAL
249,1744,16,255,0.06,NORMAL
221,35096,5,255,0.2,NORMAL
218,316,255,255,0,NORMAL
217,6763,255,255,0,NORMAL
224,285,255,255,0,NORMAL
191,10223,60,255,0.02,NORMAL
323,306,255,255,0,NORMAL
222,2822,44,255,0.02,NORMAL
209,7423,2,255,0.5,NORMAL
0,0,3,90,0.33,NORMAL
200,483,255,255,0,NORMAL
327,4146,28,255,0.04,NORMAL
311,677,17,255,0.06,NORMAL
244,3750,132,255,0.01,NORMAL
230,857,25,255,0.04,NORMAL
338,1483,177,255,0.01,NORMAL
297,1329,137,255,0.01,NORMAL
260,245,193,255,0.01,NORMAL
195,292,255,255,0,NORMAL
352,471,255,255,0,NORMAL
230,640,52,255,0.02,NORMAL
240,1481,32,255,0.03,NORMAL
334,667,255,255,0,NORMAL
297,17860,10,255,0.1,NORMAL
244,4417,5,255,0.2,NORMAL
0,0,1,255,1,NORMAL
212,1719,255,255,0,NORMAL
237,3355,255,255,0,NORMAL
207,1695,101,255,0.01,NORMAL
308,2698,255,216,0,NORMAL
271,10615,31,255,0.03,NORMAL
229,2196,182,255,0.01,NORMAL
176,1533,73,255,0.01,NORMAL
221,671,255,255,0,NORMAL
275,204,8,255,0.12,NORMAL
289,2400,36,255,0.03,NORMAL
451,4308,161,255,0.01,NORMAL
221,187,255,255,0,NORMAL
0,862,95,255,0.01,NORMAL
324,3198,141,255,0.01,NORMAL
252,11485,255,255,0,NORMAL
366,263,255,255,0,NORMAL
216,26280,2,255,0.5,NORMAL
300,4728,56,255,0.02,NORMAL
240,693,190,255,0.01,NORMAL
230,2087,27,36,0.04,NORMAL
357,933,255,255,0,NORMAL
228,1452,142,255,0.01,NORMAL
209,3556,81,255,0.01,NORMAL
218,802,12,255,0.08,NORMAL
279,3101,252,255,0,NORMAL
204,27946,49,255,0.02,NORMAL
325,12884,183,183,0.01,NORMAL
0,0,33,250,0.03,NORMAL
204,882,255,255,0,NORMAL
302,11440,23,255,0.04,NORMAL
288,912,117,231,0.01,NORMAL
313,55704,5,255,0.2,NORMAL
0,0,6,71,0.17,NORMAL
206,9714,14,255,0.07,NORMAL
241,501,69,255,0.01,NORMAL
226,4306,7,255,0.14,NORMAL
287,630,255,255,0,NORMAL
205,365,255,255,0,NORMAL
221,813,255,255,0.01,NORMAL
162,2532,34,255,0.03,NORMAL
216,8421,255,255,0,NORMAL
208,495,255,255,0,NORMAL
211,976,25,255,0.04,NORMAL
329,641,147,255,0.01,NORMAL
222,1295,22,22,0.05,NORMAL
326,788,255,255,0,NORMAL
299,308,255,255,0,NORMAL
304,5419,255,255,0,NORMAL
238,8718,255,255,0,NORMAL
245,1578,202,255,0,NORMAL
253,460,255,255,0,NORMAL
304,293,255,255,0,NORMAL
220,769,17,255,0.06,NORMAL
0,0,2,255,0.5,NORMAL
306,799,255,255,0,NORMAL
299,269,255,255,0,NORMAL
299,4046,74,255,0.01,NORMAL
235,434,2,255,0.5,NORMAL
307,3321,17,255,0.06,NORMAL
236,16120,38,255,0.03,NORMAL
210,746,167,255,0.01,NORMAL
288,294,255,255,0,NORMAL
144,9813,209,255,0,NORMAL
231,180,198,255,0.01,NORMAL
0,0,9,255,0.11,NORMAL
195,731,54,255,0.02,NORMAL
322,392,255,255,0,NORMAL
212,6529,10,255,0.1,NORMAL
289,2841,255,255,0,NORMAL
232,6509,34,195,0.03,NORMAL
143,50040,255,255,0.01,NORMAL
202,1792,255,255,0,NORMAL
366,4084,255,255,0,NORMAL
399,5251,255,255,0.01,NORMAL
225,903,5,255,0.2,NORMAL
302,2348,255,255,0,NORMAL
175,6850,64,255,0.02,NORMAL
237,5193,1,216,1,NORMAL
183,11087,27,255,0.04,NORMAL
147,5936,17,255,0.06,NORMAL
0,0,9,242,0.11,NORMAL
241,41234,32,255,0.03,NORMAL
295,313,47,255,0.02,NORMAL
204,253,80,255,0.01,NORMAL
205,2418,12,255,0.08,NORMAL
206,2607,255,255,0,NORMAL
307,632,28,255,0.04,NORMAL
374,2950,255,255,0,NORMAL
368,1747,255,255,0,NORMAL
226,2040,58,255,0.02,NORMAL
303,2698,255,222,0,NORMAL
292,1231,169,255,0.01,NORMAL
303,4705,37,255,0.03,NORMAL
234,1191,56,195,0.02,NORMAL
241,1071,32,255,0.03,NORMAL
219,1565,255,255,0,NORMAL
304,3222,255,229,0,NORMAL
296,275,27,255,0.04,NORMAL
193,1845,255,255,0,NORMAL
349,263,49,250,0.02,NORMAL
234,5973,138,255,0.01,NORMAL
260,7334,58,255,0.02,NORMAL
318,1099,45,255,0.02,NORMAL
239,392,255,255,0,NORMAL
333,741,39,255,0.03,NORMAL
356,883,11,255,0.09,NORMAL
228,1380,255,239,0,NORMAL
216,9957,32,255,0.03,NORMAL
293,4603,56,255,0.02,NORMAL
314,1256,123,255,0.01,NORMAL
317,1484,225,255,0,NORMAL
282,170,34,255,0.03,NORMAL
199,580,34,255,0.03,NORMAL
208,185,255,255,0,NORMAL
223,11052,255,255,0,NORMAL
280,228,3,255,0.33,NORMAL
173,11889,136,136,0.01,NORMAL
289,10736,160,255,0.01,NORMAL
234,4785,94,255,0.01,NORMAL
239,265,15,255,0.07,NORMAL
274,1767,12,255,0.08,NORMAL
0,0,13,255,0.15,NORMAL
335,458,255,255,0,NORMAL
309,398,255,255,0,NORMAL
254,535,133,255,0.01,NORMAL
237,3211,255,255,0,NORMAL
204,746,117,255,0.02,NORMAL
149,4767,1,255,1,NORMAL
346,2281,255,255,0,NORMAL
250,470,255,255,0,NORMAL
292,1569,70,255,0.01,NORMAL
219,331,255,255,0,NORMAL
211,1183,21,255,0.05,NORMAL
241,1486,166,254,0.01,NORMAL
286,310,112,255,0.01,NORMAL
195,605,3,255,0.33,NORMAL
298,13038,118,255,0.01,NORMAL
236,486,41,126,0.02,NORMAL
219,12044,7,255,0.14,NORMAL
