@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,17,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,95,42,highrate
OTH,60,112,33,highrate
OTH,60,141,26,highrate
OTH,60,99,41,highrate
OTH,60,110,34,highrate
OTH,60,143,33,highrate
OTH,60,160,33,highrate
OTH,60,85,40,highrate
OTH,60,141,34,highrate
OTH,60,109,34,highrate
OTH,60,137,33,highrate
OTH,60,12,12,highrate
OTH,60,136,10,highrate
OTH,60,138,21,highrate
OTH,60,149,33,highrate
OTH,60,114,34,highrate
OTH,60,153,33,highrate
OTH,60,114,34,highrate
OTH,60,145,33,highrate
OTH,60,121,33,highrate
OTH,60,150,33,highrate
OTH,60,106,34,highrate
OTH,60,120,33,highrate
OTH,60,29,26,highrate
OTH,60,116,33,highrate
OTH,60,84,41,highrate
OTH,60,86,42,highrate
OTH,60,102,33,highrate
OTH,60,78,34,highrate
OTH,60,69,27,highrate
OTH,60,3,3,highrate
OTH,60,14,14,highrate
OTH,60,107,33,highrate
OTH,60,165,33,highrate
OTH,60,112,34,highrate
OTH,60,106,34,highrate
OTH,60,110,34,highrate
OTH,60,23,23,highrate
OTH,60,102,33,highrate
OTH,60,131,33,highrate
OTH,60,125,33,highrate
OTH,60,26,26,highrate
OTH,60,77,33,highrate
OTH,60,109,33,highrate
OTH,60,118,33,highrate
OTH,60,100,34,highrate
OTH,60,117,33,highrate
OTH,60,138,12,highrate
OTH,60,160,33,highrate
OTH,60,121,33,highrate
OTH,60,55,24,highrate
OTH,60,125,33,highrate
OTH,60,46,21,highrate
OTH,60,107,38,highrate
OTH,60,108,34,highrate
OTH,60,21,21,highrate
OTH,60,114,33,highrate
OTH,60,143,33,highrate
OTH,60,112,34,highrate
OTH,60,159,33,highrate
OTH,60,145,33,highrate
OTH,60,85,40,highrate
OTH,60,5,5,highrate
OTH,60,121,33,highrate
OTH,60,141,33,highrate
OTH,60,109,33,highrate
OTH,60,156,33,highrate
OTH,60,159,33,highrate
OTH,60,114,33,highrate
OTH,60,84,40,highrate
OTH,60,121,33,highrate
OTH,60,153,33,highrate
OTH,60,85,42,highrate
OTH,60,153,33,highrate
OTH,60,103,34,highrate
OTH,60,164,33,highrate
OTH,60,139,20,highrate
OTH,60,1,1,highrate
OTH,60,104,34,highrate
OTH,60,141,34,highrate
OTH,60,138,16,highrate
OTH,60,141,21,highrate
OTH,60,141,33,highrate
OTH,60,144,33,highrate
OTH,60,112,33,highrate
OTH,60,138,12,highrate
OTH,60,111,34,highrate
OTH,60,114,33,highrate
OTH,60,123,33,highrate
OTH,60,130,33,highrate
OTH,60,114,33,highrate
OTH,60,90,42,highrate
OTH,60,137,20,highrate
OTH,60,105,33,highrate
OTH,60,92,42,highrate
OTH,60,107,33,highrate
OTH,60,113,34,highrate
OTH,60,117,33,highrate
OTH,60,112,34,highrate
OTH,60,111,34,highrate
OTH,60,145,33,highrate
OTH,60,91,42,highrate
OTH,60,141,23,highrate
OTH,60,99,42,highrate
OTH,60,109,33,highrate
OTH,60,108,33,highrate
OTH,60,100,42,highrate
OTH,60,78,43,highrate
OTH,60,103,33,highrate
OTH,60,108,40,highrate
OTH,60,135,18,highrate
OTH,60,125,33,highrate
OTH,60,82,40,highrate
OTH,60,108,33,highrate
OTH,60,52,24,highrate
OTH,60,142,33,highrate
OTH,60,33,30,highrate
OTH,60,27,27,highrate
OTH,60,161,33,highrate
OTH,60,162,33,highrate
OTH,60,110,33,highrate
OTH,60,108,34,highrate
OTH,60,139,17,highrate
OTH,60,119,35,highrate
OTH,60,108,34,highrate
OTH,60,151,33,highrate
OTH,60,102,33,highrate
OTH,60,106,34,highrate
OTH,60,82,42,highrate
OTH,60,153,33,highrate
OTH,60,142,33,highrate
OTH,60,108,33,highrate
OTH,60,101,34,highrate
OTH,60,118,34,highrate
OTH,60,103,33,highrate
OTH,60,105,33,highrate
OTH,60,18,18,highrate
OTH,60,109,40,highrate
OTH,60,151,33,highrate
OTH,60,114,33,highrate
OTH,60,113,33,highrate
OTH,60,106,39,highrate
OTH,60,121,33,highrate
OTH,60,117,33,highrate
OTH,60,105,33,highrate
OTH,60,111,34,highrate
OTH,60,41,36,highrate
OTH,60,86,40,highrate
OTH,60,66,26,highrate
OTH,60,116,33,highrate
OTH,60,6,6,highrate
OTH,60,138,15,highrate
OTH,60,112,33,highrate
OTH,60,96,43,highrate
OTH,60,128,33,highrate
OTH,60,116,34,highrate
OTH,60,136,33,highrate
OTH,60,160,33,highrate
OTH,60,141,34,highrate
OTH,60,131,33,highrate
OTH,60,130,33,highrate
OTH,60,115,34,highrate
OTH,60,105,33,highrate
OTH,60,130,33,highrate
OTH,60,97,43,highrate
OTH,60,142,33,highrate
OTH,60,2,2,highrate
OTH,60,125,33,highrate
OTH,60,153,33,highrate
OTH,60,137,11,highrate
OTH,60,120,33,highrate
OTH,60,141,25,highrate
OTH,60,37,34,highrate
OTH,60,72,28,highrate
OTH,60,61,25,highrate
OTH,60,104,34,highrate
OTH,60,108,33,highrate
OTH,60,101,40,highrate
OTH,60,110,33,highrate
OTH,60,34,31,highrate
OTH,60,135,33,highrate
OTH,60,105,40,highrate
OTH,60,142,33,highrate
OTH,60,159,33,highrate
OTH,60,153,33,highrate
OTH,60,115,33,highrate
OTH,60,141,27,highrate
OTH,60,38,35,highrate
OTH,60,15,15,highrate
OTH,60,35,32,highrate
OTH,60,113,33,highrate
OTH,60,112,33,highrate
OTH,60,142,33,highrate
OTH,60,114,33,highrate
OTH,60,162,33,highrate
OTH,60,0,0,highrate
OTH,60,115,37,highrate
OTH,60,153,33,highrate
OTH,60,146,33,highrate
OTH,60,43,32,highrate
OTH,60,108,33,highrate
OTH,60,112,33,highrate
OTH,60,108,33,highrate
OTH,60,82,38,highrate
OTH,60,105,34,highrate
OTH,60,158,33,highrate
OTH,60,125,33,highrate
OTH,60,110,33,highrate
OTH,60,84,40,highrate
OTH,60,108,33,highrate
OTH,60,140,33,highrate
OTH,60,119,33,highrate
OTH,60,45,22,highrate
OTH,60,93,42,highrate
OTH,60,47,22,highrate
OTH,60,113,34,highrate
OTH,60,118,33,highrate
OTH,60,142,33,highrate
OTH,60,146,33,highrate
OTH,60,143,33,highrate
OTH,60,113,33,highrate
OTH,60,131,33,highrate
OTH,60,145,33,highrate
OTH,60,152,33,highrate
OTH,60,7,7,highrate
OTH,60,117,34,highrate
OTH,60,80,41,highrate
OTH,60,125,33,highrate
OTH,60,20,20,highrate
OTH,60,138,19,highrate
OTH,60,141,25,highrate
OTH,60,103,34,highrate
OTH,60,138,33,highrate
OTH,60,109,33,highrate
OTH,60,16,16,highrate
OTH,60,102,34,highrate
OTH,60,81,41,highrate
OTH,60,153,33,highrate
OTH,60,40,37,highrate
OTH,60,140,21,highrate
OTH,60,87,41,highrate
OTH,60,145,33,highrate
OTH,60,80,42,highrate
OTH,60,70,28,highrate
OTH,60,134,33,highrate
OTH,60,129,33,highrate
OTH,60,126,33,highrate
OTH,60,103,40,highrate
OTH,60,142,33,highrate
OTH,60,141,33,highrate
OTH,60,141,30,highrate
OTH,60,65,26,highrate
OTH,60,131,33,highrate
OTH,60,112,33,highrate
OTH,60,153,33,highrate
OTH,60,137,11,highrate
OTH,60,64,26,highrate
OTH,60,42,34,highrate
OTH,60,141,31,highrate
OTH,60,32,29,highrate
OTH,60,24,24,highrate
OTH,60,143,33,highrate
OTH,60,114,33,highrate
OTH,60,151,33,highrate
OTH,60,54,23,highrate
OTH,60,49,21,highrate
OTH,60,146,33,highrate
OTH,60,117,34,highrate
OTH,60,110,34,highrate
OTH,60,108,33,highrate
OTH,60,142,33,highrate
OTH,60,142,33,highrate
OTH,60,133,33,highrate
OTH,60,110,33,highrate
OTH,60,8,8,highrate
OTH,60,142,33,highrate
OTH,60,79,41,highrate
OTH,60,125,33,highrate
OTH,60,125,33,highrate
OTH,60,154,33,highrate
OTH,60,107,34,highrate
OTH,60,106,33,highrate
OTH,60,98,41,highrate
OTH,60,114,33,highrate
OTH,60,109,34,highrate
OTH,60,93,42,highrate
OTH,60,138,11,highrate
OTH,60,131,33,highrate
OTH,60,148,33,highrate
OTH,60,108,33,highrate
OTH,60,142,33,highrate
OTH,60,13,13,highrate
OTH,60,113,33,highrate
OTH,60,109,33,highrate
OTH,60,141,22,highrate
OTH,60,102,40,highrate
OTH,60,138,33,highrate
OTH,60,166,33,highrate
OTH,60,10,10,highrate
OTH,60,138,13,highrate
OTH,60,87,42,highrate
OTH,60,87,42,highrate
OTH,60,104,40,highrate
OTH,60,117,33,highrate
OTH,60,86,43,highrate
OTH,60,86,41,highrate
OTH,60,91,42,highrate
OTH,60,137,33,highrate
OTH,60,82,42,highrate
OTH,60,108,38,highrate
OTH,60,109,33,highrate
OTH,60,136,33,highrate
OTH,60,121,33,highrate
OTH,60,44,33,highrate
OTH,60,153,33,highrate
OTH,60,71,29,highrate
OTH,60,145,33,highrate
OTH,60,76,32,highrate
OTH,60,114,33,highrate
OTH,60,114,33,highrate
OTH,60,110,37,highrate
OTH,60,81,37,highrate
OTH,60,143,30,highrate
OTH,60,141,28,highrate
OTH,60,117,33,highrate
OTH,60,145,33,highrate
OTH,60,142,33,highrate
OTH,60,141,32,highrate
OTH,60,70,28,highrate
OTH,60,86,42,highrate
OTH,60,117,36,highrate
OTH,60,110,33,highrate
OTH,60,107,34,highrate
OTH,60,128,33,highrate
OTH,60,145,33,highrate
OTH,60,131,33,highrate
OTH,60,110,33,highrate
OTH,60,137,33,highrate
OTH,60,112,33,highrate
OTH,60,145,33,highrate
OTH,60,160,33,highrate
OTH,60,138,33,highrate
OTH,60,153,33,highrate
OTH,60,104,34,highrate
OTH,60,113,34,highrate
OTH,60,124,33,highrate
OTH,60,85,41,highrate
OTH,60,131,33,highrate
OTH,60,142,33,highrate
OTH,60,117,33,highrate
OTH,60,87,40,highrate
OTH,60,155,33,highrate
OTH,60,17,17,highrate
OTH,60,141,24,highrate
OTH,60,112,33,highrate
OTH,60,141,33,highrate
OTH,60,109,38,highrate
OTH,60,83,42,highrate
OTH,60,138,14,highrate
OTH,60,88,40,highrate
OTH,60,114,37,highrate
OTH,60,75,31,highrate
OTH,60,109,33,highrate
OTH,60,112,33,highrate
OTH,60,57,24,highrate
OTH,60,138,21,highrate
OTH,60,128,33,highrate
OTH,60,101,34,highrate
OTH,60,138,33,highrate
OTH,60,137,33,highrate
OTH,60,53,23,highrate
OTH,60,107,33,highrate
OTH,60,153,33,highrate
OTH,60,62,25,highrate
OTH,60,85,42,highrate
OTH,60,127,33,highrate
OTH,60,132,33,highrate
OTH,60,160,33,highrate
OTH,60,160,33,highrate
OTH,60,89,41,highrate
OTH,60,163,33,highrate
OTH,60,107,33,highrate
OTH,60,108,33,highrate
OTH,60,80,36,highrate
OTH,60,131,33,highrate
OTH,60,108,34,highrate
OTH,60,101,34,highrate
OTH,60,117,33,highrate
OTH,60,11,11,highrate
OTH,60,135,33,highrate
OTH,60,25,25,highrate
OTH,60,114,33,highrate
OTH,60,109,33,highrate
OTH,60,102,34,highrate
OTH,60,87,42,highrate
OTH,60,121,33,highrate
OTH,60,95,42,highrate
OTH,60,141,24,highrate
OTH,60,147,33,highrate
OTH,60,74,30,highrate
OTH,60,142,33,highrate
OTH,60,50,22,highrate
OTH,60,141,24,highrate
OTH,60,130,33,highrate
OTH,60,56,24,highrate
OTH,60,160,33,highrate
OTH,60,105,33,highrate
OTH,60,117,33,highrate
OTH,60,98,42,highrate
OTH,60,109,33,highrate
OTH,60,117,33,highrate
OTH,60,113,38,highrate
OTH,60,110,34,highrate
OTH,60,153,33,highrate
OTH,60,104,34,highrate
OTH,60,100,40,highrate
OTH,60,112,38,highrate
OTH,60,89,41,highrate
OTH,60,107,33,highrate
OTH,60,111,33,highrate
OTH,60,111,38,highrate
OTH,60,51,23,highrate
OTH,60,122,33,highrate
OTH,60,125,33,highrate
OTH,60,104,33,highrate
OTH,60,160,33,highrate
OTH,60,19,19,highrate
OTH,60,122,33,highrate
OTH,60,110,33,highrate
OTH,60,110,40,highrate
OTH,60,94,42,highrate
OTH,60,161,33,highrate
OTH,60,138,33,highrate
OTH,60,111,33,highrate
OTH,60,105,39,highrate
OTH,60,88,41,highrate
OTH,60,142,33,highrate
OTH,60,110,33,highrate
S3,374,114,100,highrate
OTH,60,143,31,highrate
OTH,66,133,49,highrate
OTH,60,67,27,highrate
S3,380,959,100,highrate
RSTO,446,448,100,highrate
S3,377,597,100,highrate
S3,374,13,13,highrate
S1,248,177,100,highrate
S3,386,136,100,highrate
OTH,60,133,33,highrate
S1,242,174,100,highrate
S3,374,123,100,highrate
S3,377,728,100,highrate
S3,377,563,100,highrate
S3,386,143,100,highrate
S3,374,149,100,highrate
S3,374,132,100,highrate
S3,374,228,100,highrate
S3,374,152,100,highrate
RSTO,446,652,100,highrate
S3,377,933,100,highrate
OTH,66,5,5,highrate
S3,374,83,83,highrate
OTH,60,180,33,highrate
OTH,66,319,100,highrate
OTH,60,141,23,highrate
S3,374,145,100,highrate
S3,374,100,100,highrate
RSTO,446,627,100,highrate
S3,377,646,100,highrate
OTH,60,174,33,highrate
S3,374,146,100,highrate
S3,374,157,100,highrate
S3,377,388,94,highrate
S3,374,79,79,highrate
S3,374,134,100,highrate
S3,380,895,100,highrate
S3,374,147,100,highrate
S3,374,158,100,highrate
S3,374,181,100,highrate
S3,386,335,100,highrate
S3,377,476,100,highrate
S3,374,134,100,highrate
S3,374,156,100,highrate
S3,377,901,100,highrate
S3,374,94,94,highrate
S3,374,171,100,highrate
S3,374,55,98,highrate
OTH,60,177,33,highrate
S3,380,773,100,highrate
OTH,66,29,29,highrate
S3,374,154,100,highrate
OTH,60,116,33,highrate
OTH,60,59,25,highrate
S3,374,145,100,highrate
OTH,66,203,98,highrate
OTH,60,163,33,highrate
S3,374,176,100,highrate
S3,377,903,100,highrate
OTH,60,177,33,highrate
OTH,60,105,34,highrate
S3,374,164,100,highrate
OTH,60,170,33,highrate
OTH,60,81,42,highrate
OTH,60,136,33,highrate
S3,374,137,100,highrate
S3,377,918,100,highrate
OTH,60,142,33,highrate
S3,380,146,100,highrate
S3,374,151,100,highrate
OTH,66,36,88,highrate
S3,374,162,100,highrate
S3,374,152,100,highrate
RSTO,446,340,100,highrate
S1,242,454,100,highrate
S3,374,306,100,highrate
S3,380,992,100,highrate
S3,374,15,98,highrate
S3,374,154,100,highrate
S3,377,406,100,highrate
S1,242,447,100,highrate
OTH,60,177,33,highrate
S3,380,141,100,highrate
OTH,66,31,31,highrate
OTH,60,47,33,highrate
S3,374,20,20,highrate
S3,374,43,98,highrate
