@relation 'slowHeaders-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,LOW_RATE,slowHeaders,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
8,852,7,855,40,106,393,117,52,122,535,182,1079,4168,9963,5022,249,1410,2572,1642,31430610,11,2518,9963,4309,1002574,7854504,10351922,4570446,1,170,1,171,4,1,0,0,412,372,LOW_RATE
8,694,7,855,40,86,244,65,52,122,535,182,1104,6773,20586,9244,10,8473,21953,11800,30117407,11,6795,23666,11364,9146827,10030074,10918117,885654,2,173,1,213,4,1,0,0,412,372,LOW_RATE
8,774,7,855,40,96,304,86,52,122,535,182,1247,10145,27214,14786,208,1712,3217,2127,30942351,10,6100,27214,11886,1003528,7727962,10851755,4544692,1,154,1,171,4,1,0,0,412,372,LOW_RATE
8,904,7,858,40,113,405,120,52,122,538,183,1221,12293,33527,18394,207,1765,3323,2203,31665268,12,7393,33527,14682,1005867,7907075,10410202,4603230,1,180,1,171,4,1,0,0,412,372,LOW_RATE
8,961,7,858,40,120,466,141,52,122,538,183,1378,8398,21818,11626,217,1807,3397,2248,31503230,11,5054,21818,9486,1013530,7869489,10205241,4571190,1,192,1,171,4,1,0,0,412,372,LOW_RATE
8,812,7,855,40,101,304,86,52,122,535,182,1160,2517,4007,1428,245,1900,3556,2341,31712652,10,1524,4007,2077,1009564,7926257,10966401,4642607,1,162,1,171,4,1,0,0,412,372,LOW_RATE
8,902,8,910,40,112,466,143,52,113,538,171,1188,41726,121821,69366,76,26972,77485,43776,30316580,11,25048,121821,54117,1012085,7547835,10044389,4379029,1,180,1,182,4,1,0,0,412,424,LOW_RATE
8,762,8,907,40,95,304,86,52,113,535,170,748,16253,45941,25718,90,1634,2822,1400,29352530,7,9760,45941,20262,1000248,7325932,10031576,4239168,1,152,1,181,4,1,0,0,412,424,LOW_RATE
8,793,7,855,40,99,305,86,52,122,535,182,1014,15102,42242,23509,9,1538,3067,2162,31207888,12,9071,42242,18590,1007601,7790632,10093669,4522120,1,158,1,171,4,1,0,0,412,372,LOW_RATE
8,874,7,858,40,109,405,121,52,122,538,183,983,9085,24265,13155,37,1510,2983,2083,31748284,4,5467,24265,10590,1008597,7930236,10502804,4618654,1,174,1,171,4,1,0,0,412,372,LOW_RATE
8,733,7,855,40,91,244,66,52,122,535,182,1015,12860,35470,19588,8,1560,3113,2195,31028889,11,7727,35470,15567,1006339,7747563,10042403,4494562,1,146,1,171,4,1,0,0,412,372,LOW_RATE
7,658,5,11844,40,94,350,113,52,2368,4396,2193,4,144583,863328,352112,272,216380,861026,429766,867500,867500,867500,867500,0,0,0,0,0,7,658,5,11844,1,1,0,0,360,268,LOW_RATE
9,890,7,855,40,98,393,111,52,122,535,182,279,13209,38213,21658,237,836,1435,847,31431474,7,6618,38213,15489,1001806,6278353,10223747,4832596,1,148,1,142,4,1,0,0,472,372,LOW_RATE
9,929,8,907,40,103,393,110,52,113,535,170,145,87431,260196,149621,89,73214,217450,124915,31215395,11,43725,260196,106051,1002807,6190608,10028438,4754813,1,154,1,151,4,1,0,0,472,424,LOW_RATE
8,760,7,855,40,95,305,87,52,122,535,182,1102,1369,1871,435,5,1473,2942,2076,31287251,4,827,2983,1299,1014681,7820778,10162782,4537695,1,152,1,171,4,1,0,0,412,372,LOW_RATE
