@relation 'slowRead-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {NORMAL,LOW_RATE,slowHeaders,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
13,1026,6,11896,52,78,394,94,52,1982,4396,2177,3,782,3486,1059,257,1653,3274,1436,9390,9390,9390,9390,0,0,0,0,0,13,1026,6,11896,1,1,0,0,684,320,LOW_RATE
5,598,8,12000,40,119,394,153,52,1500,2948,1545,2096,205201,610909,351353,210,95034,564338,229917,6571639,4732,307820,610909,428631,5955998,5955998,5955998,0,2,299,4,6000,1,1,0,0,256,424,LOW_RATE
5,450,7,11948,40,90,246,87,52,1706,4396,2117,1463,1904,2345,623,276,1200,3807,1738,6614762,2034,15918,41896,22515,1340993,3283504,5226015,2747125,1,150,2,3982,1,1,0,0,256,372,LOW_RATE
14,1086,6,11896,52,77,394,91,52,1982,4396,2177,3,74514,867128,249649,241,178535,865523,384160,1914812,894171,447085,894171,632274,1020641,1020641,1020641,0,7,543,3,5948,1,1,0,0,744,320,LOW_RATE
9,2528,2,100,52,280,394,169,40,50,60,14,168,279591,835099,315239,0,0,0,0,5622165,23,559189,1677546,968524,1661373,1972298,2283223,439714,3,842,0,33,6,0,0,0,476,100,LOW_RATE
9,2528,2,100,52,280,394,169,40,50,60,14,752,286638,864577,325524,0,0,0,0,5721669,56,573295,1719831,992928,1695445,2000891,2306337,431965,3,842,0,33,6,0,0,0,476,100,LOW_RATE
9,2194,2,100,52,243,394,178,40,50,60,14,566,277180,830001,313511,0,0,0,0,4220883,36,554372,1663082,960170,1021181,1278882,1536584,364444,3,731,0,33,5,0,0,0,484,100,LOW_RATE
10,1700,2,100,52,170,246,98,40,50,60,14,4,301873,894931,307660,0,0,0,0,4892594,306283,704386,1806877,966988,1018124,1389717,1761310,525511,3,566,0,33,6,0,0,0,536,100,LOW_RATE
10,1680,8,12000,40,168,246,100,52,1500,2948,1545,751,289210,866235,325836,209,290,360,79,10363470,24,445125,1735262,860332,1726035,2860989,4946027,1808059,2,420,2,3000,6,1,0,0,516,424,LOW_RATE
11,2628,7,11948,40,238,394,178,52,1706,2948,1545,549,299779,832075,291735,207,118888,474736,237231,10963274,2028,535284,1664281,785107,1010017,2940712,6147932,2796726,2,657,1,2987,6,1,0,0,576,372,LOW_RATE
6,992,7,11948,40,165,394,177,52,1706,2948,1545,557,69658,206907,118861,209,52443,208965,104347,6193683,1719,84121,209029,109997,1051626,2970660,4889694,2713923,2,330,2,3982,2,1,0,0,308,372,LOW_RATE
11,2962,8,12012,40,269,394,173,52,1501,2948,1544,107,255326,895776,324682,104,1589,7382,3238,6266843,1183,447119,1779860,888499,1341059,1492788,1762217,233951,2,740,2,3003,7,1,0,0,568,436,LOW_RATE
15,1814,7,11948,52,120,394,141,52,1706,2948,1545,2,31464,203913,75885,107,81940,407026,181730,1765169,3473,205267,407062,285380,1354634,1354634,1354634,0,7,907,3,5974,3,1,0,0,788,372,LOW_RATE
