@relation 'udpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {NORMAL,LOW_RATE,slowHeaders,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
7347,293880,0,0,40,40,40,0,-1,-1,-1,0,12,4048,698858,11275,0,0,0,0,29739002,29739002,29739002,29739002,0,0,0,0,0,7347,293880,0,0,0,0,0,0,146948,0,HIGH_RATE
9466,378640,0,0,40,40,40,0,-1,-1,-1,0,1,3142,341237,6544,0,0,0,0,29741212,29741212,29741212,29741212,0,0,0,0,0,9466,378640,0,0,0,0,0,0,189328,0,HIGH_RATE
9408,376320,0,0,40,40,40,0,-1,-1,-1,0,126,3160,344826,6547,0,0,0,0,29727966,29727966,29727966,29727966,0,0,0,0,0,9408,376320,0,0,0,0,0,0,188168,0,HIGH_RATE
2160,86400,0,0,40,40,40,0,-1,-1,-1,0,333,3120,142843,4516,0,0,0,0,6737570,6737570,6737570,6737570,0,0,0,0,0,2160,86400,0,0,0,0,0,0,43208,0,HIGH_RATE
7836,313440,0,0,40,40,40,0,-1,-1,-1,0,3,3795,350125,7378,0,0,0,0,29738324,29738324,29738324,29738324,0,0,0,0,0,7836,313440,0,0,0,0,0,0,156728,0,HIGH_RATE
6073,242920,0,0,40,40,40,0,-1,-1,-1,0,85,3013,344858,7759,0,0,0,0,18296770,18296770,18296770,18296770,0,0,0,0,0,6073,242920,0,0,0,0,0,0,121468,0,HIGH_RATE
10117,404680,0,0,40,40,40,0,-1,-1,-1,0,8,2701,343471,6063,0,0,0,0,27326263,27326263,27326263,27326263,0,0,0,0,0,10117,404680,0,0,0,0,0,0,202348,0,HIGH_RATE
10428,417120,0,0,40,40,40,0,-1,-1,-1,0,9,2853,354119,6152,0,0,0,0,29749452,29749452,29749452,29749452,0,0,0,0,0,10428,417120,0,0,0,0,0,0,208568,0,HIGH_RATE
1637,65480,0,0,40,40,40,0,-1,-1,-1,0,275,3195,170282,5473,0,0,0,0,5227491,5227491,5227491,5227491,0,0,0,0,0,1637,65480,0,0,0,0,0,0,32748,0,HIGH_RATE
2309,92360,0,0,40,40,40,0,-1,-1,-1,0,168,3137,170115,4831,0,0,0,0,7241591,7241591,7241591,7241591,0,0,0,0,0,2309,92360,0,0,0,0,0,0,46188,0,HIGH_RATE
