@relation 'slowBody-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
8,859,7,858,40,107,405,121,52,122,538,183,1090,243369,934219,460845,30,324224,969096,558477,31617360,9,243383,969943,484376,10038459,10214609,10565001,303449,2,214,1,214,4,1,0,0,412,372,slowBody
8,823,6,806,40,102,384,115,52,134,538,197,1378,5893,14558,7505,3103,3103,3103,0,31338798,11,3549,14558,6302,1008374,7830262,10247085,4549048,1,164,1,161,4,1,0,0,412,320,slowBody
8,851,7,858,40,106,385,114,52,122,538,183,1394,4034,8829,4159,330,1798,3266,2076,31356150,8,2438,8829,3851,1007824,7835989,10276104,4553588,1,170,1,171,4,1,0,0,412,372,slowBody
8,850,7,858,40,106,385,114,52,122,538,183,1453,3758,8023,3697,280,1762,3244,2095,31358324,10,2273,8023,3517,1007974,7836739,10279001,4554023,1,170,1,171,4,1,0,0,412,372,slowBody
17,4175,5,766,40,245,406,176,52,153,538,215,636,220772,863801,302834,23,12431,35693,20159,30630768,38258,196242,1727923,574519,1031188,3608073,8190540,2689615,1,463,0,85,10,1,0,0,912,280,slowBody
15,5022,6,826,40,334,465,192,52,137,538,196,747,192862,832210,280112,13,16917,66084,32779,31549252,68635,289458,1668117,675959,1631037,5962500,13055381,4379892,2,837,1,137,11,1,0,0,776,340,slowBody
8,1003,7,858,40,125,554,174,52,122,538,183,1155,3961,8662,4096,111,1671,3232,2206,31230538,11,2387,8662,3775,1003001,7804650,10157895,4534841,1,200,1,171,4,1,0,0,412,372,slowBody
9,990,7,858,40,110,467,135,52,122,538,183,325,9486,26908,15094,60,810,1561,1061,30842690,4,4750,26908,10872,1014656,6162837,10193826,4744685,1,165,1,143,4,1,0,0,472,372,slowBody
8,886,7,858,40,110,405,121,52,122,538,183,898,14485,39989,22102,111,1791,3472,2376,30164000,4,8699,39989,17556,1015909,7530126,10674584,4447994,1,177,1,171,4,1,0,0,412,372,slowBody
9,1954,6,11896,40,217,350,157,52,1982,2948,1492,2300,209538,662610,231127,262,335186,1674586,748747,1676304,1676304,1676304,1676304,0,0,0,0,0,9,1954,6,11896,5,1,0,0,464,320,slowBody
9,925,7,858,40,102,405,115,52,122,538,183,752,225393,880318,436702,15,299713,897149,517395,31055033,12,180325,899617,402096,1026590,7538351,10049172,4367113,1,185,1,171,4,1,0,0,472,372,slowBody
8,871,7,858,40,108,406,121,52,122,538,183,1243,13540,37401,20667,120,1665,3210,2184,31517825,8,8137,37401,16418,1002538,7869284,10221260,4578639,1,174,1,171,4,1,0,0,412,372,slowBody
14,4597,1,60,52,328,466,193,60,60,60,0,284,330755,831967,319608,0,0,0,0,30131381,651254,330755,1664034,636048,1032293,4636015,13055303,4589309,2,656,0,8,10,0,0,0,752,60,slowBody
8,825,8,910,40,103,384,114,52,113,538,171,1135,30705,88630,50167,114,15677,43452,24111,30632261,12,18438,88630,39267,1003743,7635016,10023170,4427829,1,165,1,182,4,1,0,0,412,424,slowBody
8,872,6,806,40,109,405,121,52,134,538,197,787,15064,42044,23378,3150,3150,3150,0,31449009,10,9048,42044,18495,1009694,7850942,10674112,4579248,1,174,1,161,4,1,0,0,412,320,slowBody
8,810,6,806,40,101,384,114,52,134,538,197,1336,6683,16900,8850,3144,3144,3144,0,31320587,10,4023,16900,7328,1007920,7825117,10226965,4545721,1,162,1,161,4,1,0,0,412,320,slowBody
8,1006,7,858,40,125,554,173,52,122,538,183,802,11916,32540,17878,103,1655,3207,2194,31204461,12,7163,32540,14253,1008951,7792160,10099801,4522260,1,201,1,171,4,1,0,0,412,372,slowBody
8,832,7,858,40,104,405,122,52,122,538,183,1092,4726,11013,5466,90,1635,3180,2184,31255733,2,2845,11013,4770,1009835,7810376,10171115,4534180,1,166,1,171,4,1,0,0,412,372,slowBody
8,862,8,910,40,107,406,121,52,113,538,171,1107,263161,995753,489026,64,262975,1036635,515800,31181664,3,263167,1049875,524473,9951918,10042998,10147513,98487,2,215,2,227,4,1,0,0,412,424,slowBody
8,862,7,858,40,107,405,121,52,122,538,183,1046,6020,15113,7886,109,1532,2955,2012,31265324,3,3622,15113,6551,1009697,7811803,10176963,4535264,1,172,1,171,4,1,0,0,412,372,slowBody
10,956,7,858,40,95,385,102,52,122,538,183,284,5522,13279,6853,28,1662,3296,2310,31138366,10,2375,13279,4963,1002240,5186956,10030674,4361801,1,136,1,122,4,1,0,0,532,372,slowBody
8,923,7,858,40,115,466,143,52,122,538,183,1263,13363,36758,20264,197,1766,3336,2219,31210678,11,8033,36758,16123,1002359,7792628,10106986,4526992,1,184,1,171,4,1,0,0,412,372,slowBody
8,885,7,858,40,110,405,120,52,122,538,183,1217,8161,20959,11096,108,1818,3528,2418,31313822,9,4909,20959,9102,1010858,7822318,10217975,4541836,1,177,1,171,4,1,0,0,412,372,slowBody
5,429,7,11948,40,85,225,78,52,1706,4396,2117,1236,1893,2550,929,5,1046,3814,1847,31110137,2500,16939,44475,23856,5086814,15529659,25972505,14768413,1,143,2,3982,1,1,0,0,256,372,slowBody
17,4693,5,766,40,276,467,209,52,153,538,215,246,210732,832170,291919,147,6891,19112,10602,31403516,21666,187318,1664196,553875,1008244,3714706,8191878,2511525,1,521,0,85,10,1,0,0,912,280,slowBody
8,979,7,858,40,122,509,157,52,122,538,183,1562,3019,5839,2442,295,1751,3208,2059,31528072,11,1830,5839,2649,1010245,7879730,10433137,4583450,1,195,1,171,4,1,0,0,412,372,slowBody
8,863,7,858,40,107,406,121,52,122,538,183,1012,9377,24789,13362,215,1797,3380,2237,31630291,10,5644,24789,10802,1008540,7900517,10353623,4596397,1,172,1,171,4,1,0,0,412,372,slowBody
14,4964,5,766,40,354,467,185,52,153,538,215,941,210682,831873,291863,27,6242,17320,9617,30844624,19957,280909,1665499,678354,1667084,5831833,13311421,4548869,2,827,0,127,11,1,0,0,724,280,slowBody
