% isAttack HIGH_RATE:	888
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4,9,12,18,21,23,27'

@attribute src_bytes numeric
@attribute srv_count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
295,27,0,255,0.5,0,NORMAL
295,5,0,255,0.2,0,NORMAL
237,14,0,255,0.01,0,NORMAL
273,1,0,255,0.01,0,NORMAL
210,42,0,255,0,0,NORMAL
249,8,0,255,0.01,0,NORMAL
303,17,0,255,0,0,NORMAL
205,7,0,255,0.06,0,NORMAL
212,9,0,215,0.33,0,NORMAL
296,24,0,255,0,0,NORMAL
171,13,0,238,0.01,0,NORMAL
352,3,0,255,0,0,NORMAL
229,34,0,255,0,0,NORMAL
0,1,1,249,0.5,0,NORMAL
226,5,0,255,0.2,0,NORMAL
261,16,0,255,0,0,NORMAL
290,4,0,255,0,0,NORMAL
216,3,0,255,0.33,0,NORMAL
230,12,0,255,0.04,0,NORMAL
214,12,0,255,0,0,NORMAL
299,4,0,255,0.02,0,NORMAL
241,37,0,255,0.04,0,NORMAL
235,12,0,255,0.01,0,NORMAL
217,31,0,255,0.01,0,NORMAL
253,11,0,255,0.01,0.01,NORMAL
214,2,0,255,0.02,0,NORMAL
251,1,0,231,0,0,NORMAL
249,1,0,255,0.06,0,NORMAL
221,7,0,255,0.2,0,NORMAL
218,12,0,255,0,0,NORMAL
217,3,0,255,0,0,NORMAL
224,16,0,255,0,0,NORMAL
191,1,0,255,0.02,0,NORMAL
323,24,0,255,0,0,NORMAL
222,9,0,255,0.02,0,NORMAL
209,2,0,255,0.5,0,NORMAL
0,1,1,90,0.33,0,NORMAL
200,12,0,255,0,0,NORMAL
327,21,0,255,0.04,0,NORMAL
311,6,0,255,0.06,0,NORMAL
244,4,0,255,0.01,0,NORMAL
230,5,0,255,0.04,0,NORMAL
338,8,0,255,0.01,0,NORMAL
297,15,0,255,0.01,0,NORMAL
260,22,0,255,0.01,0,NORMAL
195,9,0,255,0,0,NORMAL
352,16,0,255,0,0,NORMAL
230,11,0,255,0.02,0,NORMAL
240,9,0,255,0.03,0,NORMAL
334,3,0,255,0,0,NORMAL
297,17,0,255,0.1,0,NORMAL
244,12,0,255,0.2,0,NORMAL
0,2,1,255,1,0,NORMAL
212,7,0,255,0,0,NORMAL
237,32,0,255,0,0,NORMAL
207,27,0,255,0.01,0,NORMAL
308,6,0,216,0,0,NORMAL
271,1,0,255,0.03,0,NORMAL
229,10,0,255,0.01,0.01,NORMAL
176,6,0,255,0.01,0,NORMAL
221,34,0,255,0,0,NORMAL
275,14,0,255,0.12,0,NORMAL
289,26,0,255,0.03,0,NORMAL
451,12,0,255,0.01,0,NORMAL
221,67,0,255,0,0,NORMAL
0,44,0,255,0.01,0.01,NORMAL
324,32,0,255,0.01,0,NORMAL
252,45,0,255,0,0,NORMAL
366,34,0,255,0,0,NORMAL
216,2,0,255,0.5,0.5,NORMAL
300,21,0,255,0.02,0,NORMAL
240,13,0,255,0.01,0,NORMAL
230,7,0,36,0.04,0,NORMAL
357,11,0,255,0,0,NORMAL
228,26,0,255,0.01,0,NORMAL
209,11,0,255,0.01,0,NORMAL
218,19,0,255,0.08,0,NORMAL
279,27,0,255,0,0,NORMAL
204,16,0,255,0.02,0.04,NORMAL
325,6,0,183,0.01,0,NORMAL
0,1,1,250,0.03,0,NORMAL
204,14,0,255,0,0,NORMAL
302,23,0.08,255,0.04,0,NORMAL
288,1,0,231,0.01,0,NORMAL
313,1,0,255,0.2,0,NORMAL
0,1,1,71,0.17,0,NORMAL
206,14,0,255,0.07,0,NORMAL
241,11,0,255,0.01,0,NORMAL
226,7,0,255,0.14,0,NORMAL
287,22,0,255,0,0,NORMAL
205,17,0,255,0,0,NORMAL
221,39,0,255,0.01,0,NORMAL
162,2,0,255,0.03,0,NORMAL
216,35,0,255,0,0,NORMAL
208,20,0,255,0,0,NORMAL
211,29,0,255,0.04,0,NORMAL
329,9,0,255,0.01,0,NORMAL
222,1,0,22,0.05,0,NORMAL
326,3,0,255,0,0,NORMAL
299,5,0,255,0,0,NORMAL
304,7,0,255,0,0,NORMAL
238,1,0,255,0,0,NORMAL
245,7,0,255,0,0,NORMAL
253,10,0,255,0,0,NORMAL
304,17,0,255,0,0,NORMAL
220,17,0,255,0.06,0,NORMAL
0,1,1,255,0.5,0,NORMAL
306,22,0,255,0,0,NORMAL
299,46,0,255,0,0,NORMAL
299,1,0,255,0.01,0.05,NORMAL
235,1,0,255,0.5,0,NORMAL
307,66,0,255,0.06,0,NORMAL
236,6,0,255,0.03,0,NORMAL
210,3,0,255,0.01,0,NORMAL
288,28,0,255,0,0,NORMAL
144,9,0,255,0,0,NORMAL
231,37,0,255,0.01,0,NORMAL
0,2,1,255,0.11,0,NORMAL
195,1,0,255,0.02,0,NORMAL
322,24,0,255,0,0,NORMAL
212,36,0,255,0.1,0,NORMAL
289,11,0,255,0,0,NORMAL
232,8,0,195,0.03,0,NORMAL
143,3,0,255,0.01,0,NORMAL
202,17,0,255,0,0,NORMAL
366,7,0,255,0,0,NORMAL
399,12,0,255,0.01,0,NORMAL
225,5,0,255,0.2,0,NORMAL
302,4,0,255,0,0,NORMAL
175,7,0,255,0.02,0,NORMAL
237,48,0,216,1,0,NORMAL
183,7,0,255,0.04,0,NORMAL
147,1,0,255,0.06,0,NORMAL
0,1,1,242,0.11,0,NORMAL
241,8,0,255,0.03,0.03,NORMAL
295,11,0,255,0.02,0,NORMAL
204,28,0,255,0.01,0,NORMAL
205,13,0,255,0.08,0,NORMAL
206,26,0,255,0,0,NORMAL
307,2,0,255,0.04,0,NORMAL
374,26,0,255,0,0,NORMAL
368,48,0,255,0,0,NORMAL
226,8,0,255,0.02,0.02,NORMAL
303,2,0,222,0,0,NORMAL
292,18,0,255,0.01,0,NORMAL
303,14,0,255,0.03,0,NORMAL
234,1,0,195,0.02,0,NORMAL
241,7,0,255,0.03,0,NORMAL
219,35,0,255,0,0,NORMAL
304,7,0,229,0,0,NORMAL
296,8,0,255,0.04,0,NORMAL
193,12,0,255,0,0,NORMAL
349,30,0,250,0.02,0,NORMAL
234,9,0,255,0.01,0,NORMAL
260,6,0,255,0.02,0,NORMAL
318,4,0,255,0.02,0,NORMAL
239,5,0,255,0,0,NORMAL
333,31,0,255,0.03,0,NORMAL
356,51,0,255,0.09,0.09,NORMAL
228,8,0,239,0,0,NORMAL
216,37,0,255,0.03,0,NORMAL
293,19,0,255,0.02,0,NORMAL
314,7,0,255,0.01,0,NORMAL
317,21,0,255,0,0,NORMAL
282,3,0,255,0.03,0,NORMAL
199,10,0,255,0.03,0,NORMAL
208,20,0,255,0,0,NORMAL
223,2,0,255,0,0,NORMAL
280,3,0,255,0.33,0,NORMAL
173,6,0,136,0.01,0,NORMAL
289,24,0,255,0.01,0.01,NORMAL
234,1,0,255,0.01,0,NORMAL
239,3,0,255,0.07,0,NORMAL
274,12,0,255,0.08,0,NORMAL
0,3,0,255,0.15,0.08,NORMAL
335,29,0,255,0,0,NORMAL
309,7,0,255,0,0,NORMAL
254,18,0,255,0.01,0,NORMAL
237,7,0,255,0,0,NORMAL
204,11,0,255,0.02,0,NORMAL
149,1,0,255,1,0,NORMAL
346,23,0,255,0,0,NORMAL
250,31,0,255,0,0,NORMAL
292,13,0,255,0.01,0.01,NORMAL
219,9,0,255,0,0,NORMAL
211,9,0,255,0.05,0.05,NORMAL
241,5,0,254,0.01,0.01,NORMAL
286,4,0,255,0.01,0,NORMAL
195,4,0,255,0.33,0,NORMAL
298,2,0,255,0.01,0,NORMAL
236,24,0,126,0.02,0,NORMAL
219,6,0,255,0.14,0,NORMAL
349,12,0,255,0,0,NORMAL
143,4,0,255,0.01,0,NORMAL
330,12,0,255,0,0,NORMAL
244,1,0,250,0.01,0,NORMAL
227,3,0,255,0.1,0,NORMAL
204,2,0,255,0.5,0,NORMAL
379,5,0,255,0,0,NORMAL
327,3,0,255,0,0,NORMAL
214,17,0,255,0.01,0,NORMAL
227,9,0,255,0,0,NORMAL
272,1,0,255,0,0,NORMAL
241,3,0,255,0.04,0,NORMAL
0,2,0,255,0.01,0.01,NORMAL
293,5,0,255,0.04,0,NORMAL
257,71,0,255,0.01,0.01,NORMAL
255,7,0,255,0.06,0,NORMAL
225,17,0,255,0.02,0,NORMAL
265,4,0,255,0.01,0,NORMAL
0,1,1,198,0.12,0,NORMAL
242,9,0,255,0,0,NORMAL
213,17,0,255,0,0,NORMAL
307,42,0,255,0,0,NORMAL
322,14,0,255,0.02,0,NORMAL
201,3,0,255,0,0,NORMAL
207,37,0,255,0,0,NORMAL
0,1,1,118,0.01,0,NORMAL
154,1,0,255,0,0,NORMAL
301,7,0,249,0,0,NORMAL
307,4,0,255,0,0.01,NORMAL
474,29,0,255,0,0,NORMAL
190,6,0,172,0.01,0,NORMAL
234,9,0,255,0,0,NORMAL
302,12,0,255,0,0,NORMAL
183,1,0,255,0.08,0,NORMAL
373,40,0,255,0,0,NORMAL
206,16,0,255,0,0,NORMAL
223,21,0,255,0,0,NORMAL
190,16,0,255,0,0,NORMAL
203,15,0,255,0.07,0,NORMAL
251,17,0,255,0,0,NORMAL
162,20,0,255,0.5,0,NORMAL
209,19,0,255,0,0,NORMAL
286,39,0,255,0.01,0.01,NORMAL
210,13,0,255,0.08,0,NORMAL
301,5,0,255,0.06,0,NORMAL
266,4,0,255,0.17,0,NORMAL
216,11,0,255,0.01,0,NORMAL
0,3,1,255,0.05,0,NORMAL
206,1,0,255,1,0,NORMAL
207,6,0,24,0.05,0,NORMAL
229,9,0,255,0.01,0,NORMAL
284,11,0,255,0.02,0,NORMAL
144,1,0,255,0,0,NORMAL
205,31,0,255,0,0,NORMAL
295,37,0,255,0.01,0,NORMAL
188,3,0,255,0.02,0,NORMAL
326,6,0,255,0.02,0,NORMAL
223,3,0,255,0.02,0,NORMAL
206,6,0,255,0.03,0,NORMAL
320,2,0,255,0,0,NORMAL
233,10,0,255,0.11,0,NORMAL
187,12,0,255,0.02,0,NORMAL
289,4,0,255,0,0,NORMAL
448,9,0,255,0.05,0,NORMAL
296,34,0,219,0.01,0,NORMAL
222,5,0,255,0.03,0,NORMAL
255,7,0,253,0,0,NORMAL
297,23,0,255,0,0,NORMAL
284,3,0,255,0.17,0,NORMAL
319,10,0,255,0.01,0,NORMAL
212,89,0,255,0,0,NORMAL
168,1,0,79,1,0,NORMAL
466,1,0,249,0.08,0,NORMAL
227,1,0,255,0.01,0,NORMAL
343,4,0,70,0.05,0,NORMAL
