% isAttack normal:	2000
% isAttack attack:	1667
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3,13,17,22,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute srv_rerror_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
SF,0,46,0.02,normal
SF,0,15,0.04,normal
SF,0,8,0.02,normal
SF,0,151,0.01,normal
SF,0,255,0,normal
SF,0,255,0,normal
SF,0,255,0,normal
SF,0,56,0.02,normal
SF,0,255,0,normal
SF,0,255,0,normal
SF,0,6,0.04,normal
SF,0,255,0,normal
SF,0,60,0.04,normal
SF,0,23,0.07,normal
SF,0,128,0.04,normal
REJ,1,17,0.06,normal
SF,0,255,0,normal
REJ,1,1,0.5,normal
SF,0,101,0.02,normal
SF,0,6,0.06,normal
SF,0,255,0,normal
SF,0,223,0.01,normal
SF,0,255,0,normal
SF,0,2,0.03,normal
SF,0,255,0,normal
SF,0,255,0,normal
SF,0,255,0,normal
SF,0,30,0.01,normal
SF,0,67,0.02,normal
SF,0,255,0,normal
SF,0,138,0.03,normal
SF,0,255,0,normal
REJ,1,1,0.14,normal
SF,0,92,0.03,normal
SF,0,8,0.04,normal
SF,0,255,0,normal
SF,0,123,0.02,normal
SF,0,230,0.01,normal
SF,0,30,0.05,normal
SF,0,1,0.03,normal
SF,0,19,0.08,normal
SF,0,53,0.01,normal
SF,0,255,0,normal
SF,0,1,0.04,normal
SF,0,255,0,normal
SF,0,82,0.05,normal
SF,0,13,0.04,normal
SF,0,255,0,normal
SF,0,255,0,normal
SF,0,255,0,normal
SF,0,23,0.23,normal
SF,0,255,0,normal
SF,0,26,0.03,normal
SF,0,25,0.04,normal
SF,0,255,0,normal
SF,0,255,0,normal
SF,0,255,0,normal
SF,0,37,0.02,normal
SF,0,28,0.03,normal
SF,0,59,0.02,normal
SF,0,15,0.07,normal
SF,0,255,0,normal
SF,0,51,0.04,normal
SF,0,39,0.04,normal
SF,0,65,0.02,normal
SF,0,108,0.02,normal
SF,0,255,0,normal
