@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {normal,neptune,smurf,pod,back,land,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
28,tcp,RSTR,3358,128,0,0,2194,2194,0.21,0.21,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,slowRead
30,tcp,RSTO,1150,1820,0,0,1082,1082,0.33,0.33,0,0,1,0,0,100,100,1,0,0,0,0.88,0.88,0,0,slowRead
15,tcp,S1,370,0,0,0,359,359,0.1,0.1,0,0,1,0,0,100,100,1,0,0,0,0.26,0.26,0,0,slowRead
30,tcp,RSTO,1142,1886,0,0,91,91,0,0,0,0,1,0,0,94,94,1,0,0,0,0,0,0,0,slowRead
1,tcp,RSTO,784,11980,0,0,1,1,0,0,0,0,1,0,0,4,4,1,0,0,0,0,0,0,0,slowRead
15,tcp,S1,370,0,0,0,577,577,0.09,0.09,0,0,1,0,0,100,100,1,0,0,0,0.32,0.32,0,0,slowRead
15,tcp,S1,370,0,0,0,745,745,0.33,0.33,0,0,1,0,0,100,100,1,0,0,0,0.93,0.93,0,0,slowRead
15,tcp,S1,370,0,0,0,1408,1408,0.43,0.43,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,slowRead
30,tcp,RSTO,1076,1820,0,0,1102,1102,0.33,0.33,0,0,1,0,0,100,100,1,0,0,0,0.7,0.7,0,0,slowRead
15,tcp,S1,370,0,0,0,2965,2965,0.78,0.78,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,slowRead
30,tcp,RSTO,1142,1886,0,0,58,58,0,0,0,0,1,0,0,64,64,1,0,0,0,0,0,0,0,slowRead
15,tcp,S1,370,0,0,0,617,617,0.69,0.69,0,0,1,0,0,100,100,1,0,0,0,0.29,0.29,0,0,slowRead
15,tcp,S1,370,0,0,0,408,408,0.08,0.08,0,0,1,0,0,100,100,1,0,0,0,0.24,0.24,0,0,slowRead
30,tcp,RSTO,1142,1886,0,0,45,45,0,0,0,0,1,0,0,51,51,1,0,0,0,0,0,0,0,slowRead
30,tcp,RSTO,1098,1886,0,0,35,35,0,0,0,0,1,0,0,36,36,1,0,0,0,0,0,0,0,slowRead
30,tcp,RSTO,2233,1424,0,0,1115,1115,0.53,0.53,0,0,1,0,0,100,100,1,0,0,0,0.75,0.75,0,0,slowRead
30,tcp,RSTO,1240,1622,0,0,410,410,0.01,0.01,0,0,1,0,0,100,100,1,0,0,0,0.04,0.04,0,0,slowRead
15,tcp,S1,370,0,0,0,3113,3113,0.79,0.79,0,0,1,0,0,100,100,1,0,0,0,0.98,0.98,0,0,slowRead
15,tcp,S1,370,0,0,0,366,366,0.11,0.11,0,0,1,0,0,100,100,1,0,0,0,0.28,0.28,0,0,slowRead
15,tcp,S1,370,0,0,0,3434,3434,0.81,0.81,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,slowRead
30,tcp,RSTO,2714,1424,0,0,456,456,0.04,0.04,0,0,1,0,0,100,100,1,0,0,0,0.16,0.16,0,0,slowRead
15,tcp,S1,370,0,0,0,2191,2191,0.71,0.71,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,slowRead
15,tcp,S1,370,0,0,0,3839,3839,0.83,0.83,0,0,1,0,0,100,100,1,0,0,0,0.93,0.93,0,0,slowRead
15,tcp,S1,370,0,0,0,1971,1971,0.68,0.68,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,slowRead
15,tcp,S1,370,0,0,0,740,740,0.16,0.16,0,0,1,0,0,100,100,1,0,0,0,0.25,0.25,0,0,slowRead
15,tcp,S1,370,0,0,0,1114,1114,0.53,0.53,0,0,1,0,0,100,100,1,0,0,0,0.75,0.75,0,0,slowRead
15,tcp,S1,370,0,0,0,1264,1264,0.55,0.55,0,0,1,0,0,100,100,1,0,0,0,0.75,0.75,0,0,slowRead
15,tcp,S1,370,0,0,0,1229,1229,0.52,0.52,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,slowRead
30,tcp,RSTO,1158,1754,0,0,523,523,0.12,0.12,0,0,1,0,0,100,100,1,0,0,0,0.25,0.25,0,0,slowRead
30,tcp,RSTO,3490,1424,0,0,534,534,0.12,0.12,0,0,1,0,0,100,100,1,0,0,0,0.25,0.25,0,0,slowRead
15,tcp,S1,370,0,0,0,915,915,0.45,0.45,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,slowRead
30,tcp,RSTO,907,1820,0,0,163,163,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,slowRead
15,tcp,S1,370,0,0,0,1859,1859,0.66,0.66,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,slowRead
30,tcp,RSTO,3108,1424,0,0,645,645,0.3,0.3,0,0,1,0,0,100,100,1,0,0,0,0.61,0.61,0,0,slowRead
29,tcp,RSTR,2322,128,0,0,1125,1125,0.4,0.4,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,slowRead
15,tcp,S1,370,0,0,0,1334,1334,0.56,0.56,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,slowRead
30,tcp,RSTO,3108,1424,0,0,672,672,0.32,0.32,0,0,1,0,0,100,100,1,0,0,0,0.63,0.63,0,0,slowRead
30,tcp,RSTO,1137,1754,0,0,365,365,0,0,0,0,1,0,0,100,100,1,0,0,0,0.01,0.01,0,0,slowRead
30,tcp,RSTO,1254,1820,0,0,339,339,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,slowRead
