% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack slowBody:	571
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8,10,18,23,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute serror_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,slowBody}

@data
346,465,7,0,255,0,normal
210,806,7,0,255,0,normal
306,1075,1,0,243,0,normal
240,4359,3,0,255,0,normal
216,1302,12,0,255,0,normal
216,924,13,0,255,0,normal
293,1600,10,0,255,0,normal
296,373,20,0,255,0,normal
309,1528,13,0,255,0,normal
308,2507,6,0,67,0,normal
330,330,9,0,255,0,normal
305,4803,6,0,255,0,normal
303,1075,4,0,247,0,normal
294,503,9,0,255,0,normal
226,2804,3,0,255,0.02,normal
229,795,10,0,255,0,normal
300,311,4,0,255,0,normal
222,310,5,0,255,0,normal
0,0,1,0,250,0,normal
243,608,14,0,255,0,normal
315,308,22,0,255,0,normal
0,0,1,0,255,0,normal
0,0,1,0,255,0,normal
240,1002,16,0,255,0,normal
220,8422,25,0,255,0,normal
361,6792,18,0,255,0,normal
0,0,1,0,11,0,normal
211,261,10,0,255,0,normal
351,886,7,0,255,0,normal
301,2431,4,0,255,0.01,normal
331,362,4,0,255,0,normal
206,382,8,0,255,0,normal
233,2395,17,0,255,0,normal
184,33119,1,0,249,0,normal
310,924,2,0,255,0,normal
303,3792,5,0,255,0,normal
326,641,4,0,255,0,normal
208,5940,1,0,255,0,normal
287,8420,9,0,255,0,normal
216,7384,2,0,255,0,normal
327,2648,22,0,255,0,normal
230,4937,37,0,255,0,normal
248,1667,3,0,255,0,normal
0,0,1,0,250,0,normal
309,758,3,0,255,0,normal
214,2124,4,0.25,255,0.02,normal
