% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,8-9,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,slowBody}

@data
OTH,78,0,3341,3341,tcpFlood
OTH,78,0,624,624,tcpFlood
OTH,78,0,6169,6169,tcpFlood
OTH,78,0,1977,1977,tcpFlood
OTH,78,0,1266,1266,tcpFlood
OTH,78,0,3811,3811,tcpFlood
OTH,78,0,4759,4759,tcpFlood
OTH,78,0,3813,3813,tcpFlood
OTH,78,0,409,409,tcpFlood
OTH,78,0,788,788,tcpFlood
OTH,78,0,5501,5501,tcpFlood
OTH,78,0,5540,5540,tcpFlood
OTH,78,0,1124,1124,tcpFlood
OTH,78,0,1887,1887,tcpFlood
OTH,78,0,3911,3911,tcpFlood
OTH,78,0,4658,4658,tcpFlood
OTH,78,0,2903,2903,tcpFlood
OTH,78,0,48,48,tcpFlood
OTH,78,0,3787,3787,tcpFlood
OTH,78,0,3927,3927,tcpFlood
OTH,78,0,4033,4033,tcpFlood
OTH,78,0,5624,5624,tcpFlood
OTH,78,0,4208,4208,tcpFlood
OTH,78,0,1446,1446,tcpFlood
OTH,78,0,4810,4810,tcpFlood
OTH,78,0,3657,3657,tcpFlood
OTH,78,0,6120,6120,tcpFlood
OTH,78,0,2286,2286,tcpFlood
OTH,78,0,5891,5891,tcpFlood
OTH,78,0,5716,5716,tcpFlood
OTH,78,0,4756,4756,tcpFlood
OTH,78,0,1342,1342,tcpFlood
OTH,78,0,3882,3882,tcpFlood
OTH,78,0,1620,1620,tcpFlood
OTH,78,0,344,344,tcpFlood
OTH,78,0,4039,4039,tcpFlood
OTH,78,0,2853,2853,tcpFlood
OTH,78,0,2608,2608,tcpFlood
OTH,78,0,2709,2709,tcpFlood
OTH,78,0,973,973,tcpFlood
OTH,78,0,1951,1951,tcpFlood
OTH,78,0,3651,3651,tcpFlood
OTH,78,0,4804,4804,tcpFlood
OTH,78,0,1984,1984,tcpFlood
OTH,78,0,415,415,tcpFlood
OTH,78,0,2428,2428,tcpFlood
OTH,78,0,1666,1666,tcpFlood
OTH,78,0,320,320,tcpFlood
OTH,78,0,1834,1834,tcpFlood
OTH,78,0,5999,5999,tcpFlood
OTH,78,0,3272,3272,tcpFlood
OTH,78,0,1583,1583,tcpFlood
OTH,78,0,4458,4458,tcpFlood
OTH,78,0,1695,1695,tcpFlood
OTH,78,0,6140,6140,tcpFlood
OTH,78,0,4765,4765,tcpFlood
OTH,78,0,2886,2886,tcpFlood
OTH,78,0,2625,2625,tcpFlood
OTH,78,0,6150,6150,tcpFlood
OTH,78,0,644,644,tcpFlood
OTH,78,0,3006,3006,tcpFlood
OTH,78,0,1724,1724,tcpFlood
OTH,78,0,1331,1331,tcpFlood
OTH,78,0,5872,5872,tcpFlood
OTH,78,0,619,619,tcpFlood
OTH,78,0,3892,3892,tcpFlood
OTH,78,0,4245,4245,tcpFlood
OTH,78,0,3036,3036,tcpFlood
OTH,78,0,2095,2095,tcpFlood
OTH,78,0,2880,2880,tcpFlood
OTH,78,0,1781,1781,tcpFlood
OTH,78,0,49,49,tcpFlood
OTH,78,0,3222,3222,tcpFlood
OTH,78,0,416,416,tcpFlood
OTH,78,0,1634,1634,tcpFlood
OTH,78,0,5943,5943,tcpFlood
OTH,78,0,1101,1101,tcpFlood
OTH,78,0,2333,2333,tcpFlood
OTH,78,0,2290,2290,tcpFlood
OTH,78,0,1565,1565,tcpFlood
OTH,78,0,6331,6331,tcpFlood
OTH,78,0,1722,1722,tcpFlood
OTH,78,0,3202,3202,tcpFlood
OTH,78,0,4974,4974,tcpFlood
OTH,78,0,1938,1938,tcpFlood
OTH,78,0,4734,4734,tcpFlood
OTH,78,0,1296,1296,tcpFlood
OTH,78,0,2652,2652,tcpFlood
OTH,78,0,5839,5839,tcpFlood
OTH,78,0,4686,4686,tcpFlood
OTH,78,0,4262,4262,tcpFlood
OTH,78,0,4264,4264,tcpFlood
OTH,78,0,4469,4469,tcpFlood
OTH,78,0,6343,6343,tcpFlood
OTH,78,0,5255,5255,tcpFlood
OTH,78,0,4611,4611,tcpFlood
OTH,78,0,3750,3750,tcpFlood
OTH,78,0,562,562,tcpFlood
OTH,78,0,3137,3137,tcpFlood
OTH,78,0,3788,3788,tcpFlood
OTH,78,0,5870,5870,tcpFlood
OTH,78,0,561,561,tcpFlood
OTH,78,0,3514,3514,tcpFlood
OTH,78,0,1276,1276,tcpFlood
OTH,78,0,2731,2731,tcpFlood
OTH,78,0,5532,5532,tcpFlood
OTH,78,0,1756,1756,tcpFlood
OTH,78,0,2691,2691,tcpFlood
OTH,78,0,4457,4457,tcpFlood
OTH,78,0,3089,3089,tcpFlood
OTH,78,0,480,480,tcpFlood
OTH,78,0,720,720,tcpFlood
OTH,78,0,1957,1957,tcpFlood
OTH,78,0,5408,5408,tcpFlood
OTH,78,0,5880,5880,tcpFlood
OTH,78,0,1780,1780,tcpFlood
OTH,78,0,1736,1736,tcpFlood
OTH,78,0,2632,2632,tcpFlood
OTH,78,0,5014,5014,tcpFlood
OTH,78,0,2099,2099,tcpFlood
OTH,78,0,5003,5003,tcpFlood
OTH,78,0,330,330,tcpFlood
OTH,78,0,5190,5190,tcpFlood
OTH,78,0,6103,6103,tcpFlood
OTH,78,0,5500,5500,tcpFlood
OTH,78,0,5942,5942,tcpFlood
OTH,78,0,1405,1405,tcpFlood
OTH,78,0,5240,5240,tcpFlood
OTH,78,0,6335,6335,tcpFlood
OTH,78,0,2267,2267,tcpFlood
OTH,78,0,4562,4562,tcpFlood
OTH,78,0,292,292,tcpFlood
OTH,78,0,3638,3638,tcpFlood
OTH,78,0,2687,2687,tcpFlood
OTH,78,0,5391,5391,tcpFlood
OTH,78,0,3378,3378,tcpFlood
OTH,78,0,4831,4831,tcpFlood
OTH,78,0,2324,2324,tcpFlood
OTH,78,0,4187,4187,tcpFlood
OTH,78,0,4263,4263,tcpFlood
OTH,78,0,3213,3213,tcpFlood
OTH,78,0,3713,3713,tcpFlood
OTH,78,0,2403,2403,tcpFlood
OTH,78,0,5786,5786,tcpFlood
OTH,78,0,6073,6073,tcpFlood
OTH,78,0,1303,1303,tcpFlood
OTH,78,0,1614,1614,tcpFlood
OTH,78,0,3526,3526,tcpFlood
OTH,78,0,5086,5086,tcpFlood
OTH,78,0,4956,4956,tcpFlood
OTH,78,0,2571,2571,tcpFlood
OTH,78,0,4504,4504,tcpFlood
OTH,78,0,314,314,tcpFlood
OTH,78,0,1490,1490,tcpFlood
OTH,78,0,3073,3073,tcpFlood
OTH,78,0,519,519,tcpFlood
OTH,78,0,3785,3785,tcpFlood
OTH,78,0,2815,2815,tcpFlood
OTH,78,0,1715,1715,tcpFlood
OTH,78,0,625,625,tcpFlood
OTH,78,0,778,778,tcpFlood
OTH,78,0,1107,1107,tcpFlood
OTH,78,0,4975,4975,tcpFlood
OTH,78,0,1948,1948,tcpFlood
OTH,78,0,1609,1609,tcpFlood
OTH,78,0,3209,3209,tcpFlood
OTH,78,0,215,215,tcpFlood
OTH,78,0,3289,3289,tcpFlood
OTH,78,0,3985,3985,tcpFlood
OTH,78,0,34,34,tcpFlood
OTH,78,0,488,488,tcpFlood
OTH,78,0,776,776,tcpFlood
OTH,78,0,1865,1865,tcpFlood
OTH,78,0,5782,5782,tcpFlood
OTH,78,0,4411,4411,tcpFlood
OTH,78,0,6217,6217,tcpFlood
OTH,78,0,4237,4237,tcpFlood
OTH,78,0,3579,3579,tcpFlood
OTH,78,0,452,452,tcpFlood
OTH,78,0,1269,1269,tcpFlood
OTH,78,0,3039,3039,tcpFlood
OTH,78,0,1295,1295,tcpFlood
OTH,78,0,3734,3734,tcpFlood
OTH,78,0,263,263,tcpFlood
OTH,78,0,4671,4671,tcpFlood
OTH,78,0,3842,3842,tcpFlood
OTH,78,0,3145,3145,tcpFlood
OTH,78,0,2926,2926,tcpFlood
OTH,78,0,738,738,tcpFlood
OTH,78,0,2204,2204,tcpFlood
OTH,78,0,690,690,tcpFlood
OTH,78,0,6349,6349,tcpFlood
OTH,78,0,695,695,tcpFlood
OTH,78,0,1310,1310,tcpFlood
OTH,78,0,5874,5874,tcpFlood
OTH,78,0,3697,3697,tcpFlood
OTH,78,0,1432,1432,tcpFlood
OTH,78,0,6115,6115,tcpFlood
OTH,78,0,1319,1319,tcpFlood
OTH,78,0,1184,1184,tcpFlood
OTH,78,0,4205,4205,tcpFlood
OTH,78,0,4111,4111,tcpFlood
OTH,78,0,1606,1606,tcpFlood
OTH,78,0,5246,5246,tcpFlood
OTH,78,0,197,197,tcpFlood
OTH,78,0,4922,4922,tcpFlood
OTH,78,0,112,112,tcpFlood
OTH,78,0,4878,4878,tcpFlood
OTH,78,0,1173,1173,tcpFlood
OTH,78,0,3984,3984,tcpFlood
OTH,78,0,4155,4155,tcpFlood
OTH,78,0,4664,4664,tcpFlood
OTH,78,0,2532,2532,tcpFlood
OTH,78,0,1644,1644,tcpFlood
OTH,78,0,3859,3859,tcpFlood
OTH,78,0,3001,3001,tcpFlood
OTH,78,0,4661,4661,tcpFlood
OTH,78,0,1526,1526,tcpFlood
OTH,78,0,2757,2757,tcpFlood
OTH,78,0,5523,5523,tcpFlood
OTH,78,0,3643,3643,tcpFlood
OTH,78,0,587,587,tcpFlood
OTH,78,0,3412,3412,tcpFlood
OTH,78,0,678,678,tcpFlood
OTH,78,0,1541,1541,tcpFlood
OTH,78,0,6261,6261,tcpFlood
OTH,78,0,5553,5553,tcpFlood
OTH,78,0,4140,4140,tcpFlood
OTH,78,0,2276,2276,tcpFlood
OTH,78,0,5987,5987,tcpFlood
OTH,78,0,5962,5962,tcpFlood
OTH,78,0,4479,4479,tcpFlood
OTH,78,0,2871,2871,tcpFlood
OTH,78,0,517,517,tcpFlood
OTH,78,0,6347,6347,tcpFlood
OTH,78,0,11,11,tcpFlood
OTH,78,0,4363,4363,tcpFlood
OTH,78,0,5781,5781,tcpFlood
OTH,78,0,5703,5703,tcpFlood
OTH,78,0,2249,2249,tcpFlood
OTH,78,0,1044,1044,tcpFlood
OTH,78,0,730,730,tcpFlood
OTH,78,0,4210,4210,tcpFlood
OTH,78,0,4119,4119,tcpFlood
OTH,78,0,673,673,tcpFlood
OTH,78,0,5204,5204,tcpFlood
