% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack slowBody:	571
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,8-9,16,22,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,slowBody}

@data
SF,346,465,7,8,0.25,0.06,normal
SF,210,806,7,7,0,0.02,normal
SF,306,1075,1,7,0.29,0,normal
SF,240,4359,3,3,0,0,normal
SF,216,1302,12,12,0,0.05,normal
SF,216,924,13,13,0,0.02,normal
SF,293,1600,10,10,0,0.03,normal
SF,296,373,20,20,0,0,normal
SF,309,1528,13,13,0,0,normal
SF,308,2507,6,10,0.2,0,normal
SF,330,330,9,10,0.2,0.04,normal
SF,305,4803,6,11,0.27,0.03,normal
SF,303,1075,4,4,0,0,normal
SF,294,503,9,9,0,0.02,normal
SF,226,2804,3,3,0,0.04,normal
SF,229,795,10,12,0.17,0,normal
SF,300,311,4,4,0,0.02,normal
SF,222,310,5,5,0,0.02,normal
REJ,0,0,1,1,0,0.27,normal
SF,243,608,14,14,0,0,normal
SF,315,308,22,23,0.09,0,normal
REJ,0,0,1,1,0,0.06,normal
REJ,0,0,1,2,1,0.15,normal
SF,240,1002,16,17,0.12,0,normal
SF,220,8422,25,26,0.08,0,normal
SF,361,6792,18,18,0,0.01,normal
REJ,0,0,1,1,0,0.73,normal
SF,211,261,10,17,0.24,0.04,normal
SF,351,886,7,7,0,0.05,normal
SF,301,2431,4,12,0.25,0.02,normal
SF,331,362,4,6,0.5,0,normal
SF,206,382,8,8,0,0.04,normal
SF,233,2395,17,18,0.11,0.02,normal
SF,184,33119,1,1,0,0,normal
SF,310,924,2,11,0.18,0,normal
SF,303,3792,5,5,0,0.01,normal
SF,326,641,4,4,0,0,normal
SF,208,5940,1,2,1,0.07,normal
SF,287,8420,9,15,0.13,0.02,normal
SF,216,7384,2,2,0,0,normal
SF,327,2648,22,22,0,0,normal
SF,230,4937,37,37,0,0.01,normal
SF,248,1667,3,12,0.17,0,normal
REJ,0,0,1,1,0,0.14,normal
SF,309,758,3,9,0.22,0.01,normal
SF,214,2124,4,5,0.4,0.02,normal
SF,218,509,4,4,0,0.04,normal
