% isAttack HIGH_RATE:	2000
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R8,17,34,40'

@attribute std_fpktl numeric
@attribute min_biat numeric
@attribute fpsh_cnt numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
104,2,5979,HIGH_RATE
77,2,11685,HIGH_RATE
235,2,1179,HIGH_RATE
182,2,2255,HIGH_RATE
47,4,3007,HIGH_RATE
199,2,1391,HIGH_RATE
171,31,1223,HIGH_RATE
0,6,7901,HIGH_RATE
201,4,1043,HIGH_RATE
66,2,5451,HIGH_RATE
45,3,8034,HIGH_RATE
145,1,4746,HIGH_RATE
229,30,1450,HIGH_RATE
164,2,2255,HIGH_RATE
102,0,17,HIGH_RATE
40,2,8224,HIGH_RATE
183,2,1214,HIGH_RATE
77,2,10729,HIGH_RATE
55,2,7493,HIGH_RATE
60,2,2972,HIGH_RATE
92,2,9985,HIGH_RATE
135,2,1187,HIGH_RATE
0,53,9032,HIGH_RATE
148,2,3345,HIGH_RATE
170,4,1418,HIGH_RATE
127,0,16,HIGH_RATE
136,2,6251,HIGH_RATE
42,2,11833,HIGH_RATE
187,302,57,HIGH_RATE
30,2,10597,HIGH_RATE
61,0,12,HIGH_RATE
141,1,1976,HIGH_RATE
220,2,997,HIGH_RATE
44,1,12198,HIGH_RATE
41,4,2950,HIGH_RATE
117,24,2298,HIGH_RATE
187,2,1716,HIGH_RATE
54,2,9616,HIGH_RATE
64,1,10732,HIGH_RATE
127,2,3853,HIGH_RATE
252,3,1318,HIGH_RATE
60,3,9086,HIGH_RATE
44,2,7548,HIGH_RATE
233,3,1077,HIGH_RATE
142,2,4888,HIGH_RATE
109,2,6985,HIGH_RATE
118,2,4902,HIGH_RATE
87,1,9831,HIGH_RATE
41,4,11833,HIGH_RATE
187,2,4098,HIGH_RATE
130,2,5241,HIGH_RATE
185,2,1568,HIGH_RATE
39,2,10640,HIGH_RATE
47,2,13424,HIGH_RATE
256,31,910,HIGH_RATE
131,2,3073,HIGH_RATE
31,32,10854,HIGH_RATE
37,32,3093,HIGH_RATE
52,2,9116,HIGH_RATE
184,2,1122,HIGH_RATE
204,2,1690,HIGH_RATE
42,5,10707,HIGH_RATE
7,33,14373,HIGH_RATE
61,2,8948,HIGH_RATE
228,2,1054,HIGH_RATE
25,5,10794,HIGH_RATE
75,1,12184,HIGH_RATE
112,1,5175,HIGH_RATE
133,2,4216,HIGH_RATE
145,2,1428,HIGH_RATE
108,2,5026,HIGH_RATE
23,5,11141,HIGH_RATE
37,31,11977,HIGH_RATE
168,2,2348,HIGH_RATE
180,2,1796,HIGH_RATE
139,1,5079,HIGH_RATE
142,43,2307,HIGH_RATE
157,2,1250,HIGH_RATE
27,3,10918,HIGH_RATE
114,2,336,HIGH_RATE
0,53,11811,HIGH_RATE
40,2,6774,HIGH_RATE
415,0,8,HIGH_RATE
212,2,1950,HIGH_RATE
150,2,2091,HIGH_RATE
161,3,2070,HIGH_RATE
10,50,14549,HIGH_RATE
198,2,1462,HIGH_RATE
137,2,4662,HIGH_RATE
124,2,4964,HIGH_RATE
114,2,4783,HIGH_RATE
41,2,7404,HIGH_RATE
170,2,1219,HIGH_RATE
143,2,6154,HIGH_RATE
245,4,1170,HIGH_RATE
173,1,2825,HIGH_RATE
166,2,2144,HIGH_RATE
106,2,10288,HIGH_RATE
109,2,5771,HIGH_RATE
108,34,2424,HIGH_RATE
133,2,440,HIGH_RATE
48,5,7334,HIGH_RATE
62,2,8406,HIGH_RATE
57,2,8173,HIGH_RATE
105,2,3127,HIGH_RATE
38,7,3026,HIGH_RATE
56,34,2414,HIGH_RATE
141,2,3436,HIGH_RATE
122,2,2844,HIGH_RATE
45,33,3178,HIGH_RATE
100,2,5915,HIGH_RATE
139,2,4623,HIGH_RATE
110,2,5926,HIGH_RATE
280,2,1155,HIGH_RATE
122,2,4902,HIGH_RATE
55,2,8716,HIGH_RATE
