% isAttack normal:	2000
% isAttack attack:	2000
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,7-8,40'

@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute isAttack {normal,attack}

@data
72,0,0,72,72,0,normal
58,0,0,58,58,0,normal
130,0,0,130,130,0,normal
60,0,0,60,60,0,normal
56,0,0,56,56,0,normal
139,0,0,139,139,0,normal
73,0,0,73,73,0,normal
30,0,0,30,30,0,normal
14840,0,0,1484,1484,0,normal
354,0,0,177,177,0,normal
11616,0,0,1452,1452,0,normal
113,0,0,113,113,0,normal
30,0,0,30,30,0,normal
176,0,0,44,44,0,normal
72,0,0,72,72,0,normal
131,0,0,131,131,0,normal
64,0,0,64,64,0,normal
129,0,0,129,129,0,normal
31,0,0,31,31,0,normal
296,0,0,296,296,0,normal
315,0,0,315,315,0,normal
326,0,0,326,326,0,normal
126,0,0,126,126,0,normal
354,0,0,177,177,0,normal
88,0,0,44,44,0,normal
220,0,0,220,220,0,normal
129,0,0,129,129,0,normal
209,0,0,209,209,0,normal
128,0,0,32,32,0,normal
129,0,0,129,129,0,normal
90,0,0,90,90,0,normal
116,0,0,116,116,0,normal
292,0,0,292,292,0,normal
30,0,0,30,30,0,normal
669,0,0,669,669,0,normal
126,0,0,126,126,0,normal
44,0,0,44,44,0,normal
44,0,0,44,44,0,normal
172,0,0,172,172,0,normal
85,0,0,85,85,0,normal
90,0,0,90,90,0,normal
90,0,0,90,90,0,normal
44,0,0,44,44,0,normal
73,0,0,73,73,0,normal
97,0,0,97,97,0,normal
131,0,0,131,131,0,normal
95,0,0,95,95,0,normal
116,0,0,116,116,0,normal
147,0,0,147,147,0,normal
88,0,0,44,44,0,normal
116,0,0,58,58,0,normal
88,0,0,44,44,0,normal
86,0,0,86,86,0,normal
134,0,0,134,134,0,normal
72,0,0,72,72,0,normal
63,0,0,63,63,0,normal
126,0,0,126,126,0,normal
624,0,0,624,624,0,normal
92,0,0,92,92,0,normal
132,0,0,44,44,0,normal
39071,0,0,95,372,125,normal
74,0,0,74,74,0,normal
89,0,0,89,89,0,normal
97,0,0,97,97,0,normal
126,0,0,126,126,0,normal
72,0,0,72,72,0,normal
72,0,0,72,72,0,normal
172,0,0,172,172,0,normal
1352954,0,0,116,1480,499,normal
300,0,0,300,300,0,normal
126,0,0,126,126,0,normal
174,0,0,58,58,0,normal
300,0,0,300,300,0,normal
55,0,0,55,55,0,normal
129,0,0,129,129,0,normal
232,0,0,116,116,0,normal
73,0,0,73,73,0,normal
254,0,0,254,254,0,normal
95,0,0,95,95,0,normal
126,0,0,126,126,0,normal
126,0,0,126,126,0,normal
129,0,0,129,129,0,normal
531,0,0,177,177,0,normal
129,0,0,129,129,0,normal
126,0,0,126,126,0,normal
44,0,0,44,44,0,normal
58,0,0,58,58,0,normal
164,0,0,48,116,48,normal
85,0,0,85,85,0,normal
216,0,0,216,216,0,normal
131,0,0,131,131,0,normal
48,0,0,48,48,0,normal
75,0,0,75,75,0,normal
126,0,0,126,126,0,normal
81,0,0,81,81,0,normal
48,0,0,48,48,0,normal
1192,0,0,596,596,0,normal
315,0,0,315,315,0,normal
126,0,0,126,126,0,normal
111,0,0,111,111,0,normal
44,0,0,44,44,0,normal
93,0,0,93,93,0,normal
247,0,0,247,247,0,normal
75,0,0,75,75,0,normal
415,0,0,48,213,72,normal
132,0,0,132,132,0,normal
387,0,0,129,129,0,normal
129,0,0,129,129,0,normal
88,0,0,44,44,0,normal
97,0,0,97,97,0,normal
315,0,0,315,315,0,normal
44,0,0,44,44,0,normal
126,0,0,126,126,0,normal
30,0,0,30,30,0,normal
137,0,0,137,137,0,normal
30,0,0,30,30,0,normal
44,0,0,44,44,0,normal
281,0,0,281,281,0,normal
164,0,0,164,164,0,normal
73,0,0,73,73,0,normal
421,0,0,421,421,0,normal
88,0,0,44,44,0,normal
126,0,0,126,126,0,normal
221,0,0,221,221,0,normal
126,0,0,126,126,0,normal
132,0,0,44,44,0,normal
126,0,0,126,126,0,normal
146,0,0,146,146,0,normal
1060,0,0,1060,1060,0,normal
62,0,0,62,62,0,normal
90,0,0,90,90,0,normal
754,0,0,754,754,0,normal
30,0,0,30,30,0,normal
3849,0,0,77,264,47,normal
126,0,0,126,126,0,normal
92,0,0,92,92,0,normal
4775,0,0,48,184,17,normal
120,0,0,120,120,0,normal
258,0,0,129,129,0,normal
221,0,0,221,221,0,normal
584,0,0,136,152,7,normal
126,0,0,126,126,0,normal
131,0,0,131,131,0,normal
74,0,0,74,74,0,normal
176,0,0,44,44,0,normal
300,0,0,300,300,0,normal
245,0,0,245,245,0,normal
129,0,0,129,129,0,normal
90,0,0,90,90,0,normal
48,0,0,48,48,0,normal
62,0,0,62,62,0,normal
257,0,0,257,257,0,normal
296,0,0,296,296,0,normal
144,0,0,48,48,0,normal
59,0,0,59,59,0,normal
356433,0,0,172,1466,524,normal
146,0,0,146,146,0,normal
75,0,0,75,75,0,normal
222,0,0,48,116,36,normal
64,0,0,64,64,0,normal
30,0,0,30,30,0,normal
88,0,0,44,44,0,normal
176,0,0,44,44,0,normal
75,0,0,75,75,0,normal
430,0,0,53,97,15,normal
48,0,0,48,48,0,normal
164,0,0,164,164,0,normal
372,0,0,53,97,17,normal
131,0,0,131,131,0,normal
376,0,0,48,280,133,normal
129,0,0,129,129,0,normal
176,0,0,44,44,0,normal
105,0,0,105,105,0,normal
30,0,0,30,30,0,normal
626,0,0,48,146,29,normal
75,0,0,75,75,0,normal
110,0,0,110,110,0,normal
232,0,0,116,116,0,normal
129,0,0,129,129,0,normal
164,0,0,164,164,0,normal
88,0,0,44,44,0,normal
126,0,0,126,126,0,normal
81,0,0,81,81,0,normal
81,0,0,81,81,0,normal
66,0,0,66,66,0,normal
1108,0,0,1108,1108,0,normal
126,0,0,126,126,0,normal
44,0,0,44,44,0,normal
132,0,0,44,44,0,normal
295,0,0,295,295,0,normal
256,0,0,128,128,0,normal
62,0,0,62,62,0,normal
21736,0,0,67,1436,604,normal
122,0,0,122,122,0,normal
184,0,0,184,184,0,normal
132,0,0,44,44,0,normal
93,0,0,93,93,0,normal
129,0,0,129,129,0,normal
129,0,0,129,129,0,normal
92,0,0,92,92,0,normal
92,0,0,92,92,0,normal
126,0,0,126,126,0,normal
298,0,0,298,298,0,normal
163,0,0,163,163,0,normal
88,0,0,44,44,0,normal
129,0,0,129,129,0,normal
77,0,0,77,77,0,normal
73,0,0,73,73,0,normal
58,0,0,58,58,0,normal
276,0,0,92,92,0,normal
1108,0,0,1108,1108,0,normal
596,0,0,596,596,0,normal
126,0,0,126,126,0,normal
93,0,0,93,93,0,normal
116,0,0,116,116,0,normal
3445,0,0,41,1146,358,normal
286,0,0,286,286,0,normal
180510,0,0,31,1373,381,normal
98,0,0,98,98,0,normal
129,0,0,129,129,0,normal
