% isAttack HIGH_RATE:	1332
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R7,14,33,38,40'

@attribute max_fpktl numeric
@attribute mean_fiat numeric
@attribute sflow_bbytes numeric
@attribute total_fhlen numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
133,0,0,28,NORMAL
126,0,0,28,NORMAL
48,0,0,28,NORMAL
1108,0,0,48,NORMAL
96,0,0,48,NORMAL
48,0,0,28,NORMAL
96,0,0,28,NORMAL
305,0,0,28,NORMAL
44,43460,0,88,NORMAL
1108,530804,0,148,NORMAL
86,0,0,28,NORMAL
62,0,0,28,NORMAL
207,0,0,28,NORMAL
131,0,0,28,NORMAL
44,0,0,28,NORMAL
98,0,0,28,NORMAL
46,0,0,28,NORMAL
64,0,0,28,NORMAL
126,0,0,28,NORMAL
44,0,0,28,NORMAL
318,0,0,28,NORMAL
876,0,0,28,NORMAL
129,0,0,28,NORMAL
130,0,0,28,NORMAL
31,0,0,28,NORMAL
82,0,0,28,NORMAL
76,0,0,28,NORMAL
72,0,0,28,NORMAL
152,0,0,28,NORMAL
728,0,0,28,NORMAL
1108,0,0,28,NORMAL
129,791081,0,48,NORMAL
44,0,0,28,NORMAL
129,0,0,28,NORMAL
118,0,0,28,NORMAL
45,79837,0,68,NORMAL
72,0,0,28,NORMAL
61,439571,0,48,NORMAL
126,0,0,28,NORMAL
84,0,0,28,NORMAL
596,0,0,28,NORMAL
92,0,0,28,NORMAL
51,0,0,28,NORMAL
885,0,0,28,NORMAL
72,0,0,28,NORMAL
1484,7589,0,208,NORMAL
69,0,0,28,NORMAL
48,0,0,48,NORMAL
74,0,0,28,NORMAL
48,0,0,28,NORMAL
1108,0,0,28,NORMAL
73,0,0,28,NORMAL
131,0,0,28,NORMAL
48,0,0,28,NORMAL
44,12835,0,48,NORMAL
114,0,0,28,NORMAL
571,418099,0,528,NORMAL
82,0,0,28,NORMAL
147,0,0,28,NORMAL
126,0,0,28,NORMAL
103,0,0,28,NORMAL
133,0,0,28,NORMAL
72,0,0,28,NORMAL
126,0,0,28,NORMAL
636,0,0,28,NORMAL
126,0,0,28,NORMAL
74,0,0,28,NORMAL
1484,7945,0,208,NORMAL
83,0,0,28,NORMAL
326,0,0,28,NORMAL
132,0,0,28,NORMAL
313,0,0,28,NORMAL
126,0,0,28,NORMAL
51,0,0,28,NORMAL
202,0,0,28,NORMAL
30,0,0,28,NORMAL
222,0,0,28,NORMAL
97,0,0,28,NORMAL
129,0,0,28,NORMAL
44,0,0,28,NORMAL
699,0,0,28,NORMAL
48,0,0,28,NORMAL
220,0,0,28,NORMAL
129,0,0,48,NORMAL
70,0,0,28,NORMAL
95,0,0,28,NORMAL
44,0,0,28,NORMAL
41,0,0,48,NORMAL
59,0,0,28,NORMAL
64,0,0,28,NORMAL
1082,475450,0,468,NORMAL
887,0,0,28,NORMAL
138,0,0,28,NORMAL
71,0,0,28,NORMAL
31,0,0,28,NORMAL
126,0,0,28,NORMAL
97,0,0,28,NORMAL
44,0,0,28,NORMAL
87,0,0,28,NORMAL
77,0,0,28,NORMAL
44,0,0,28,NORMAL
1108,0,0,28,NORMAL
129,0,0,28,NORMAL
131,0,0,28,NORMAL
60,0,0,28,NORMAL
126,0,0,28,NORMAL
85,0,0,28,NORMAL
86,0,0,28,NORMAL
126,0,0,28,NORMAL
129,0,0,28,NORMAL
44,11876,0,68,NORMAL
126,0,0,28,NORMAL
92,0,0,28,NORMAL
30,0,0,28,NORMAL
87,0,0,28,NORMAL
58,239194,0,88,NORMAL
76,0,0,28,NORMAL
44,23005,0,68,NORMAL
87,0,0,28,NORMAL
134,0,0,28,NORMAL
53,0,0,28,NORMAL
88,0,0,28,NORMAL
300,0,0,28,NORMAL
90,0,0,28,NORMAL
48,0,0,28,NORMAL
131,0,0,28,NORMAL
129,0,0,28,NORMAL
48,0,0,28,NORMAL
92,0,0,28,NORMAL
59,0,0,28,NORMAL
60,20259,0,248,NORMAL
97,0,0,28,NORMAL
147,0,0,28,NORMAL
90,0,0,28,NORMAL
596,0,0,28,NORMAL
129,0,0,28,NORMAL
73,0,0,28,NORMAL
31,0,0,28,NORMAL
92,0,0,28,NORMAL
95,0,0,28,NORMAL
126,0,0,28,NORMAL
129,818062,0,68,NORMAL
126,0,0,28,NORMAL
129,0,0,28,NORMAL
158,0,0,28,NORMAL
130,0,0,28,NORMAL
72,0,0,28,NORMAL
126,0,0,28,NORMAL
129,0,0,48,NORMAL
659,0,0,28,NORMAL
152,57,0,48,NORMAL
1108,0,0,48,NORMAL
80,0,0,28,NORMAL
58,0,0,28,NORMAL
116,0,0,28,NORMAL
96,0,0,28,NORMAL
87,0,0,28,NORMAL
92,0,0,28,NORMAL
1484,9208,0,208,NORMAL
126,0,0,28,NORMAL
77,0,0,28,NORMAL
119,0,0,28,NORMAL
87,0,0,28,NORMAL
44,0,0,28,NORMAL
319,0,0,28,NORMAL
77,0,0,28,NORMAL
75,0,0,28,NORMAL
44,943499,0,68,NORMAL
60,0,0,28,NORMAL
90,0,0,28,NORMAL
131,557811,0,48,NORMAL
628,0,0,28,NORMAL
78,0,0,28,NORMAL
77,364352,0,568,NORMAL
74,0,0,28,NORMAL
1108,0,0,28,NORMAL
604,0,0,28,NORMAL
125,0,0,28,NORMAL
76,0,0,28,NORMAL
166,0,0,28,NORMAL
1428,38217,0,68,NORMAL
126,0,0,28,NORMAL
129,0,0,28,NORMAL
66,0,0,68,NORMAL
30,0,0,28,NORMAL
194,0,0,28,NORMAL
322,0,0,28,NORMAL
67,0,0,28,NORMAL
319,0,0,28,NORMAL
126,0,0,28,NORMAL
131,0,0,28,NORMAL
94,0,0,28,NORMAL
116,212718,0,68,NORMAL
72,0,0,28,NORMAL
294,0,0,28,NORMAL
44,0,0,28,NORMAL
116,0,0,28,NORMAL
90,0,0,28,NORMAL
1466,11633,0,18028,NORMAL
99,25276,0,48,NORMAL
126,0,0,28,NORMAL
69,0,0,28,NORMAL
718,38,0,108,NORMAL
96,0,0,28,NORMAL
77,0,0,28,NORMAL
126,0,0,28,NORMAL
72,0,0,28,NORMAL
703,0,0,28,NORMAL
116,0,0,28,NORMAL
177,31807,0,48,NORMAL
131,0,0,28,NORMAL
300,0,0,28,NORMAL
300,0,0,28,NORMAL
48,103825,0,108,NORMAL
122,0,0,28,NORMAL
49,0,0,28,NORMAL
132,37478,0,108,NORMAL
44,501539,0,128,NORMAL
300,0,0,28,NORMAL
93,0,0,28,NORMAL
61,0,0,28,NORMAL
393,0,0,48,NORMAL
60,0,0,28,NORMAL
44,64737,0,68,NORMAL
87,0,0,28,NORMAL
48,0,0,28,NORMAL
94,0,0,28,NORMAL
92,0,0,28,NORMAL
44,34000,0,48,NORMAL
152,95737,0,728,NORMAL
70,0,0,28,NORMAL
48,0,0,28,NORMAL
58,0,0,28,NORMAL
44,0,0,28,NORMAL
92,0,0,28,NORMAL
126,0,0,28,NORMAL
67,0,0,28,NORMAL
300,0,0,28,NORMAL
94,0,0,28,NORMAL
176,0,0,28,NORMAL
617,0,0,28,NORMAL
126,0,0,28,NORMAL
235,0,0,28,NORMAL
44,7802,0,68,NORMAL
197,0,0,28,NORMAL
177,0,0,28,NORMAL
300,0,0,28,NORMAL
44,0,0,28,NORMAL
326,0,0,28,NORMAL
126,0,0,28,NORMAL
131,0,0,28,NORMAL
1452,671,0,168,NORMAL
126,0,0,28,NORMAL
48,0,0,28,NORMAL
268,0,0,28,NORMAL
126,0,0,28,NORMAL
81,0,0,28,NORMAL
155,0,0,28,NORMAL
275,0,0,28,NORMAL
140,0,0,28,NORMAL
296,0,0,28,NORMAL
76,0,0,28,NORMAL
158,0,0,28,NORMAL
129,0,0,28,NORMAL
96,0,0,28,NORMAL
92,0,0,28,NORMAL
48,79622,0,48,NORMAL
315,0,0,28,NORMAL
96,0,0,28,NORMAL
221,0,0,28,NORMAL
30,0,0,28,NORMAL
44,0,0,28,NORMAL
44,7631,0,48,NORMAL
44,0,0,28,NORMAL
129,0,0,28,NORMAL
92,0,0,28,NORMAL
97,0,0,28,NORMAL
116,0,0,28,NORMAL
317,0,0,28,NORMAL
196,0,0,28,NORMAL
276,0,0,28,NORMAL
110,0,0,28,NORMAL
1108,343876,0,48,NORMAL
48,0,0,28,NORMAL
133,0,0,28,NORMAL
45,0,0,28,NORMAL
161,0,0,28,NORMAL
142,0,0,28,NORMAL
131,0,0,28,NORMAL
78,0,0,28,NORMAL
1108,0,0,48,NORMAL
92,0,0,28,NORMAL
73,0,0,28,NORMAL
70,459038,0,368,NORMAL
211,0,0,28,NORMAL
44,896742,0,48,NORMAL
300,0,0,28,NORMAL
624,0,0,28,NORMAL
131,0,0,28,NORMAL
48,0,0,28,NORMAL
95,0,0,28,NORMAL
126,0,0,28,NORMAL
186,557258,0,388,NORMAL
81,0,0,28,NORMAL
131,0,0,68,NORMAL
81,0,0,28,NORMAL
147,0,0,28,NORMAL
44,87427,0,88,NORMAL
83,0,0,28,NORMAL
92,0,0,28,NORMAL
596,0,0,28,NORMAL
126,0,0,28,NORMAL
85,0,0,28,NORMAL
129,837234,0,48,NORMAL
495,0,0,48,NORMAL
399,0,0,28,NORMAL
126,0,0,28,NORMAL
1484,9665,0,208,NORMAL
131,0,0,28,NORMAL
1425,62025,0,3028,NORMAL
129,0,0,28,NORMAL
44,212515,0,128,NORMAL
129,0,0,28,NORMAL
44,0,0,28,NORMAL
44,388019,0,68,NORMAL
1136,24848,0,8348,NORMAL
129,0,0,28,NORMAL
126,0,0,28,NORMAL
72,0,0,28,NORMAL
72,0,0,28,NORMAL
84,0,0,28,NORMAL
370,0,0,28,NORMAL
44,0,0,28,NORMAL
129,142278,0,108,NORMAL
73,0,0,28,NORMAL
152,214165,0,168,NORMAL
73,0,0,28,NORMAL
92,0,0,28,NORMAL
48,0,0,28,NORMAL
77,0,0,28,NORMAL
29,0,0,88,NORMAL
48,819,0,68,NORMAL
62,0,0,28,NORMAL
143,0,0,28,NORMAL
159,0,0,28,NORMAL
92,0,0,28,NORMAL
66,0,0,28,NORMAL
129,0,0,28,NORMAL
90,0,0,28,NORMAL
129,0,0,28,NORMAL
75,0,0,28,NORMAL
70,0,0,48,NORMAL
90,0,0,28,NORMAL
126,0,0,28,NORMAL
156,0,0,48,NORMAL
131,0,0,28,NORMAL
92,0,0,28,NORMAL
129,0,0,28,NORMAL
129,0,0,28,NORMAL
44,0,0,28,NORMAL
154,0,0,28,NORMAL
129,0,0,28,NORMAL
58,0,0,28,NORMAL
126,0,0,28,NORMAL
126,0,0,28,NORMAL
276,0,0,28,NORMAL
1440,64667,0,3268,NORMAL
183,0,0,28,NORMAL
99,0,0,28,NORMAL
95,0,0,28,NORMAL
585,0,0,28,NORMAL
44,12312,0,48,NORMAL
80,0,0,48,NORMAL
181,0,0,28,NORMAL
76,0,0,28,NORMAL
126,0,0,28,NORMAL
126,0,0,28,NORMAL
48,0,0,28,NORMAL
44,0,0,28,NORMAL
96,0,0,28,NORMAL
126,0,0,28,NORMAL
73,0,0,28,NORMAL
58,0,0,28,NORMAL
177,0,0,28,NORMAL
1060,0,0,28,NORMAL
1452,650,0,168,NORMAL
73,0,0,28,NORMAL
83,0,0,28,NORMAL
131,0,0,28,NORMAL
126,0,0,28,NORMAL
92,0,0,28,NORMAL
1108,0,0,28,NORMAL
44,989341,0,88,NORMAL
44,41275,0,128,NORMAL
94,0,0,28,NORMAL
129,0,0,28,NORMAL
116,0,0,28,NORMAL
631,0,0,28,NORMAL
44,0,0,28,NORMAL
86,0,0,28,NORMAL
116,0,0,28,NORMAL
126,0,0,28,NORMAL
44,54879,0,88,NORMAL
235,0,0,28,NORMAL
93,0,0,28,NORMAL
126,0,0,28,NORMAL
64,0,0,28,NORMAL
126,0,0,28,NORMAL
30,0,0,28,NORMAL
126,0,0,28,NORMAL
177,0,0,28,NORMAL
64,0,0,28,NORMAL
44,136207,0,68,NORMAL
70,0,0,28,NORMAL
129,0,0,28,NORMAL
49,0,0,28,NORMAL
174,0,0,28,NORMAL
158,89664,0,48,NORMAL
92,0,0,28,NORMAL
62,0,0,28,NORMAL
126,0,0,28,NORMAL
177,0,0,28,NORMAL
274,0,0,28,NORMAL
100,0,0,48,NORMAL
126,0,0,28,NORMAL
220,0,0,28,NORMAL
69,0,0,28,NORMAL
80,0,0,68,NORMAL
90,0,0,28,NORMAL
129,0,0,28,NORMAL
116,0,0,48,NORMAL
764,0,0,28,NORMAL
222,498369,0,228,NORMAL
755,1,0,48,NORMAL
61,0,0,28,NORMAL
58,0,0,28,NORMAL
63,0,0,28,NORMAL
78,0,0,28,NORMAL
151,0,0,28,NORMAL
93,0,0,28,NORMAL
637,0,0,28,NORMAL
131,0,0,28,NORMAL
126,0,0,28,NORMAL
30,0,0,28,NORMAL
126,0,0,28,NORMAL
129,0,0,28,NORMAL
91,0,0,28,NORMAL
79,0,0,28,NORMAL
1108,9,0,188,NORMAL
73,0,0,28,NORMAL
176,0,0,28,NORMAL
649,223986,0,168,NORMAL
129,0,0,28,NORMAL
122,0,0,28,NORMAL
44,23313,0,88,NORMAL
126,0,0,28,NORMAL
62,0,0,48,NORMAL
73,0,0,28,NORMAL
93,0,0,28,NORMAL
131,0,0,28,NORMAL
58,0,0,28,NORMAL
71,0,0,28,NORMAL
126,0,0,28,NORMAL
1060,0,0,28,NORMAL
44,0,0,28,NORMAL
75,0,0,28,NORMAL
1108,0,0,28,NORMAL
129,0,0,28,NORMAL
130,0,0,28,NORMAL
80,0,0,28,NORMAL
126,0,0,28,NORMAL
113,0,0,28,NORMAL
66,0,0,28,NORMAL
75,0,0,28,NORMAL
92,0,0,28,NORMAL
116,0,0,28,NORMAL
44,28834,0,108,NORMAL
76,0,0,28,NORMAL
101,0,0,28,NORMAL
73,0,0,28,NORMAL
80,0,0,68,NORMAL
136,0,0,28,NORMAL
158,0,0,28,NORMAL
30,0,0,28,NORMAL
86,0,0,28,NORMAL
89,0,0,28,NORMAL
67,0,0,28,NORMAL
126,0,0,28,NORMAL
58,0,0,28,NORMAL
58,0,0,28,NORMAL
131,0,0,28,NORMAL
48,581274,0,168,NORMAL
73,0,0,28,NORMAL
177,0,0,28,NORMAL
74,0,0,28,NORMAL
140,0,0,28,NORMAL
73,0,0,28,NORMAL
145,0,0,28,NORMAL
126,0,0,28,NORMAL
97,0,0,28,NORMAL
44,124954,0,48,NORMAL
30,0,0,28,NORMAL
195,0,0,28,NORMAL
32,0,0,28,NORMAL
52,0,0,28,NORMAL
296,0,0,28,NORMAL
90,0,0,28,NORMAL
296,0,0,28,NORMAL
80,0,0,28,NORMAL
60,0,0,28,NORMAL
92,0,0,128,NORMAL
182,0,0,28,NORMAL
755,0,0,28,NORMAL
30,0,0,28,NORMAL
73,0,0,28,NORMAL
48,0,0,28,NORMAL
32,0,0,48,NORMAL
