% isAttack HIGH_RATE:	2000
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,7-9,12,17,27,34-35,40'

@attribute total_fpackets numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute std_bpktl numeric
@attribute min_biat numeric
@attribute mean_idle numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
5996,2948,104,52,10,2,1202735,5979,1,HIGH_RATE
11701,2948,77,40,7,2,1104975,11685,1,HIGH_RATE
1191,2948,235,52,6,2,0,1179,0,HIGH_RATE
2266,2464,182,52,6,2,0,2255,0,HIGH_RATE
3010,2188,47,52,14,4,0,3007,1,HIGH_RATE
1396,2560,199,52,5,2,0,1391,0,HIGH_RATE
1229,2948,171,52,6,31,1037479,1223,0,HIGH_RATE
7904,64,0,52,6,6,0,7901,1,HIGH_RATE
1059,1936,201,52,6,4,2366408,1043,0,HIGH_RATE
5455,2948,66,52,10,2,0,5451,1,HIGH_RATE
8037,2284,45,52,9,3,0,8034,1,HIGH_RATE
4766,2948,145,52,10,1,0,4746,1,HIGH_RATE
1462,2948,229,52,5,30,0,1450,0,HIGH_RATE
2263,2080,164,52,6,2,0,2255,0,HIGH_RATE
19,280,102,60,0,0,3882440,17,0,HIGH_RATE
8230,1500,40,52,7,2,0,8224,1,HIGH_RATE
1221,2948,183,52,6,2,0,1214,0,HIGH_RATE
10741,2948,77,40,7,2,1135734,10729,1,HIGH_RATE
7500,2008,55,52,9,2,0,7493,1,HIGH_RATE
2976,2620,60,52,1,2,0,2972,0,HIGH_RATE
10000,2948,92,40,7,2,1099894,9985,1,HIGH_RATE
1191,2116,135,52,5,2,0,1187,0,HIGH_RATE
9035,64,0,52,5,53,0,9032,1,HIGH_RATE
3361,2948,148,52,11,2,0,3345,1,HIGH_RATE
1429,2452,170,52,6,4,0,1418,0,HIGH_RATE
18,340,127,60,0,0,2529966,16,0,HIGH_RATE
6272,2948,136,52,9,2,1109758,6251,1,HIGH_RATE
11837,2884,42,52,6,2,0,11833,1,HIGH_RATE
60,1500,187,52,4,302,0,57,0,HIGH_RATE
10601,1708,30,52,7,2,0,10597,1,HIGH_RATE
14,280,61,60,0,0,0,12,0,HIGH_RATE
1982,2092,141,52,18,1,1117173,1976,1,HIGH_RATE
1007,2948,220,52,6,2,0,997,0,HIGH_RATE
12203,2692,44,52,6,1,0,12198,1,HIGH_RATE
2953,1768,41,52,14,4,0,2950,1,HIGH_RATE
2304,1876,117,52,17,24,1106261,2298,1,HIGH_RATE
1725,2224,187,52,5,2,0,1716,0,HIGH_RATE
9620,2884,54,52,8,2,0,9616,1,HIGH_RATE
10740,2948,64,52,7,1,0,10732,1,HIGH_RATE
3866,2948,127,52,12,2,1081867,3853,1,HIGH_RATE
1334,2948,252,52,6,3,0,1318,0,HIGH_RATE
9092,2908,60,52,8,3,0,9086,1,HIGH_RATE
7552,2296,44,52,9,2,0,7548,1,HIGH_RATE
1088,2948,233,52,5,3,0,1077,0,HIGH_RATE
4910,2948,142,52,10,2,0,4888,1,HIGH_RATE
6998,2948,109,52,9,2,1086597,6985,1,HIGH_RATE
4915,2948,118,52,11,2,1098213,4902,1,HIGH_RATE
9848,2948,87,52,7,1,1100655,9831,1,HIGH_RATE
11837,2884,41,52,6,4,0,11833,1,HIGH_RATE
4119,2948,187,52,10,2,0,4098,1,HIGH_RATE
5255,2948,130,52,10,2,1121066,5241,1,HIGH_RATE
1580,2200,185,52,5,2,0,1568,0,HIGH_RATE
10644,2704,39,52,7,2,0,10640,1,HIGH_RATE
13433,2164,47,52,7,2,1100577,13424,1,HIGH_RATE
921,2948,256,52,5,31,0,910,0,HIGH_RATE
3084,1720,131,52,14,2,1088121,3073,1,HIGH_RATE
10857,2332,31,52,7,32,0,10854,1,HIGH_RATE
3097,1500,37,52,14,32,0,3093,1,HIGH_RATE
9122,2948,52,52,7,2,0,9116,1,HIGH_RATE
1128,2948,184,52,5,2,0,1122,0,HIGH_RATE
1699,2948,204,52,6,2,0,1690,0,HIGH_RATE
10712,2948,42,52,6,5,0,10707,1,HIGH_RATE
14376,880,7,52,4,33,0,14373,1,HIGH_RATE
8955,2948,61,52,8,2,0,8948,1,HIGH_RATE
1060,2948,228,52,6,2,0,1054,0,HIGH_RATE
10797,1636,25,52,7,5,0,10794,1,HIGH_RATE
12200,2104,75,40,7,1,1178366,12184,1,HIGH_RATE
5193,2948,112,52,10,1,1203359,5175,1,HIGH_RATE
4225,2440,133,52,11,2,1107826,4216,1,HIGH_RATE
1433,1700,145,52,5,2,0,1428,0,HIGH_RATE
5039,2948,108,52,10,2,1229052,5026,1,HIGH_RATE
11144,1756,23,52,7,5,0,11141,1,HIGH_RATE
11982,2680,37,52,6,31,0,11977,1,HIGH_RATE
2361,2128,168,52,6,2,0,2348,0,HIGH_RATE
1805,2104,180,52,6,2,0,1796,0,HIGH_RATE
5098,2596,139,52,11,1,1110578,5079,1,HIGH_RATE
2313,2948,142,52,5,43,1147266,2307,0,HIGH_RATE
1255,2036,157,52,5,2,0,1250,0,HIGH_RATE
10921,2356,27,52,7,3,0,10918,1,HIGH_RATE
341,1936,114,52,5,2,2387139,336,0,HIGH_RATE
11814,64,0,52,6,53,0,11811,1,HIGH_RATE
6778,2212,40,52,9,2,0,6774,1,HIGH_RATE
12,1500,415,60,0,0,7144166,8,0,HIGH_RATE
1965,1888,212,52,5,2,0,1950,0,HIGH_RATE
2098,2200,150,52,6,2,0,2091,0,HIGH_RATE
2080,1996,161,52,5,3,0,2070,0,HIGH_RATE
14552,1288,10,52,4,50,0,14549,1,HIGH_RATE
1471,2948,198,52,6,2,0,1462,0,HIGH_RATE
4678,2948,137,52,11,2,1184753,4662,1,HIGH_RATE
4978,2428,124,52,4,2,0,4964,0,HIGH_RATE
4796,2948,114,52,10,2,1155638,4783,1,HIGH_RATE
7408,1500,41,52,9,2,0,7404,1,HIGH_RATE
1225,2068,170,52,5,2,0,1219,0,HIGH_RATE
6178,2948,143,52,9,2,1107195,6154,1,HIGH_RATE
1177,2948,245,52,6,4,0,1170,0,HIGH_RATE
2848,2948,173,52,13,1,3624635,2825,1,HIGH_RATE
2153,2248,166,52,6,2,0,2144,0,HIGH_RATE
10312,2948,106,52,7,2,1082911,10288,1,HIGH_RATE
5785,2948,109,52,10,2,1143667,5771,1,HIGH_RATE
