@relation 'httpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,attack,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
5,304,4,699,52,60,88,15,52,174,535,240,10,123265,447715,217266,205,149350,446575,257404,493063,493063,493063,493063,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,22,14414,42244,24106,229,612,995,541,2040898,1001,22194,43387,29971,1996510,1996510,1996510,0,2,152,2,349,1,1,0,0,268,216,attack
6,356,4,699,52,59,88,14,52,174,535,240,416,14996,43672,24834,98,707,1316,861,7538149,0,15342,44706,25438,1994796,3746061,5497327,2476663,2,118,1,233,1,1,0,0,320,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,334,14489,42481,24242,207,599,992,555,1586851,1002,22164,43327,29928,1542522,1542522,1542522,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,354,15058,43789,24883,514,949,1384,615,1586148,1396,23425,45454,31153,1539298,1539298,1539298,0,2,152,2,349,1,1,0,0,268,216,attack
6,356,4,699,52,59,88,14,52,174,535,240,321,22720,46277,25525,211,15142,43946,24950,11585338,0,45440,90880,64261,11494458,11494458,11494458,0,3,178,2,349,1,1,0,0,320,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,900,19082,52828,29253,4422,8214,12007,5363,2012611,4432,29444,54457,35373,1953722,1953722,1953722,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,87,13829,40431,23041,216,636,1057,594,1991352,1063,21501,41940,28904,1948349,1948349,1948349,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,3,14616,42269,23961,193,886,1580,980,1591898,1589,22564,43540,29663,1546769,1546769,1546769,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,606,14599,41991,23723,373,1091,1810,1016,2011262,1817,22623,43430,29424,1966015,1966015,1966015,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,397,14503,42519,24262,609,804,1000,276,2039130,1008,22252,43497,30044,1994625,1994625,1994625,0,2,152,2,349,1,1,0,0,268,216,attack
6,356,4,699,52,59,88,14,52,174,535,240,10,14654,42946,24506,63,539,1016,673,3521017,0,15308,44897,25629,1481955,1737546,1993138,361460,2,118,1,233,1,1,0,0,320,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,380,13425,41158,19105,284,3611,8980,4693,53701,53701,53701,53701,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,20,14863,43667,24948,487,701,916,303,1594695,929,22890,44851,31057,1548915,1548915,1548915,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,279,18048,40980,20509,7,9812,27938,15715,72193,72193,72193,72193,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,337,15994,46698,26591,92,691,1291,847,1597660,1296,24627,47958,32995,1548406,1548406,1548406,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,247,15135,41515,19312,71,6028,16593,9174,60542,60542,60542,60542,0,0,0,0,0,5,304,4,699,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,101,15286,44619,25407,1243,1603,1964,509,1574156,1247,23583,45919,31587,1526990,1526990,1526990,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,414,15127,44267,25236,173,646,1119,668,2041326,1130,23575,46020,31742,1994176,1994176,1994176,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,761,14739,42614,24140,125,865,1605,1046,2028668,1608,22673,43738,29790,1983322,1983322,1983322,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,786,15639,44420,24929,203,1346,2489,1616,2034730,2504,24025,45547,30435,1986679,1986679,1986679,0,2,152,2,349,1,1,0,0,268,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,713,14467,41890,23748,333,924,1515,835,2028225,1517,22164,42811,29199,1983897,1983897,1983897,0,2,152,2,349,1,1,0,0,268,216,attack
6,356,4,699,52,59,88,14,52,174,535,240,229,14840,43280,24632,8,625,1243,873,9562998,0,15236,44462,25317,1990568,4758644,7526721,3914651,2,118,1,233,1,1,0,0,320,216,attack
5,304,4,699,52,60,88,15,52,174,535,240,433,14214,41583,23702,178,619,1061,624,1608594,1068,21973,42878,29564,1564648,1564648,1564648,0,2,152,2,349,1,1,0,0,268,216,attack
