% isAttack normal:	2000
% isAttack attack:	2000
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R6,9,30,40'

@attribute mean_fpktl numeric
@attribute min_bpktl numeric
@attribute sflow_fpackets numeric
@attribute isAttack {normal,attack}

@data
72,-1,1,normal
58,-1,1,normal
130,-1,1,normal
60,-1,1,normal
56,-1,1,normal
139,-1,1,normal
73,-1,1,normal
30,-1,1,normal
1484,-1,10,normal
177,-1,2,normal
1452,-1,8,normal
113,-1,1,normal
30,-1,1,normal
44,-1,2,normal
72,-1,1,normal
131,-1,1,normal
64,-1,1,normal
129,-1,1,normal
31,-1,1,normal
296,-1,1,normal
315,-1,1,normal
326,-1,1,normal
126,-1,1,normal
177,-1,2,normal
44,-1,2,normal
220,-1,1,normal
129,-1,1,normal
209,-1,1,normal
32,-1,1,normal
129,-1,1,normal
90,-1,1,normal
116,-1,1,normal
292,-1,1,normal
30,-1,1,normal
669,-1,1,normal
126,-1,1,normal
44,-1,1,normal
44,-1,1,normal
172,-1,1,normal
85,-1,1,normal
90,-1,1,normal
90,-1,1,normal
44,-1,1,normal
73,-1,1,normal
97,-1,1,normal
131,-1,1,normal
95,-1,1,normal
116,-1,1,normal
147,-1,1,normal
44,-1,2,normal
58,-1,1,normal
44,-1,2,normal
86,-1,1,normal
134,-1,1,normal
72,-1,1,normal
63,-1,1,normal
126,-1,1,normal
624,-1,1,normal
92,-1,1,normal
44,-1,1,normal
217,-1,180,normal
74,-1,1,normal
89,-1,1,normal
97,-1,1,normal
126,-1,1,normal
72,-1,1,normal
72,-1,1,normal
172,-1,1,normal
859,-1,1574,normal
300,-1,1,normal
126,-1,1,normal
58,-1,1,normal
300,-1,1,normal
55,-1,1,normal
129,-1,1,normal
116,-1,1,normal
73,-1,1,normal
254,-1,1,normal
95,-1,1,normal
126,-1,1,normal
126,-1,1,normal
129,-1,1,normal
177,-1,1,normal
129,-1,1,normal
126,-1,1,normal
44,-1,1,normal
58,-1,1,normal
82,-1,1,normal
85,-1,1,normal
216,-1,1,normal
131,-1,1,normal
48,-1,1,normal
75,-1,1,normal
126,-1,1,normal
81,-1,1,normal
48,-1,1,normal
596,-1,2,normal
315,-1,1,normal
126,-1,1,normal
111,-1,1,normal
44,-1,1,normal
93,-1,1,normal
247,-1,1,normal
75,-1,1,normal
83,-1,5,normal
132,-1,1,normal
129,-1,1,normal
129,-1,1,normal
44,-1,2,normal
97,-1,1,normal
315,-1,1,normal
44,-1,1,normal
126,-1,1,normal
30,-1,1,normal
137,-1,1,normal
30,-1,1,normal
44,-1,1,normal
281,-1,1,normal
164,-1,1,normal
73,-1,1,normal
421,-1,1,normal
44,-1,2,normal
126,-1,1,normal
221,-1,1,normal
126,-1,1,normal
44,-1,3,normal
126,-1,1,normal
146,-1,1,normal
1060,-1,1,normal
62,-1,1,normal
90,-1,1,normal
754,-1,1,normal
30,-1,1,normal
174,-1,22,normal
126,-1,1,normal
92,-1,1,normal
50,-1,94,normal
120,-1,1,normal
129,-1,2,normal
221,-1,1,normal
146,-1,1,normal
126,-1,1,normal
131,-1,1,normal
74,-1,1,normal
44,-1,2,normal
300,-1,1,normal
245,-1,1,normal
129,-1,1,normal
90,-1,1,normal
48,-1,1,normal
62,-1,1,normal
257,-1,1,normal
296,-1,1,normal
48,-1,1,normal
59,-1,1,normal
707,-1,504,normal
146,-1,1,normal
75,-1,1,normal
74,-1,3,normal
64,-1,1,normal
30,-1,1,normal
44,-1,1,normal
44,-1,4,normal
75,-1,1,normal
61,-1,1,normal
48,-1,1,normal
164,-1,1,normal
62,-1,1,normal
131,-1,1,normal
125,-1,3,normal
129,-1,1,normal
44,-1,2,normal
105,-1,1,normal
30,-1,1,normal
56,-1,2,normal
75,-1,1,normal
110,-1,1,normal
116,-1,1,normal
129,-1,1,normal
164,-1,1,normal
44,-1,2,normal
126,-1,1,normal
81,-1,1,normal
81,-1,1,normal
66,-1,1,normal
1108,-1,1,normal
126,-1,1,normal
44,-1,1,normal
44,-1,1,normal
295,-1,1,normal
128,-1,1,normal
62,-1,1,normal
1086,-1,6,normal
122,-1,1,normal
184,-1,1,normal
44,-1,3,normal
93,-1,1,normal
129,-1,1,normal
129,-1,1,normal
92,-1,1,normal
92,-1,1,normal
126,-1,1,normal
298,-1,1,normal
163,-1,1,normal
44,-1,2,normal
129,-1,1,normal
77,-1,1,normal
73,-1,1,normal
58,-1,1,normal
92,-1,1,normal
1108,-1,1,normal
596,-1,1,normal
126,-1,1,normal
93,-1,1,normal
116,-1,1,normal
202,-1,4,normal
286,-1,1,normal
264,-1,683,normal
98,-1,1,normal
129,-1,1,normal
95,-1,1,normal
116,-1,1,normal
84,-1,25,normal
126,-1,1,normal
116,-1,1,normal
46,-1,1,normal
126,-1,1,normal
159,-1,2,normal
53,-1,1,normal
44,-1,1,normal
126,-1,1,normal
76,-1,1,normal
73,-1,1,normal
58,-1,1,normal
131,-1,1,normal
1452,-1,8,normal
71,-1,1,normal
