% isAttack HIGH_RATE:	1332
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,8-9,18-19,38,40'

@attribute total_bpackets numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute total_fhlen numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
0,133,133,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,48,48,0,-1,0,0,28,NORMAL
0,1108,1108,0,-1,0,0,48,NORMAL
0,96,96,0,-1,0,0,48,NORMAL
0,48,48,0,-1,0,0,28,NORMAL
0,96,96,0,-1,0,0,28,NORMAL
0,305,305,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,88,NORMAL
0,1108,1108,0,-1,0,0,148,NORMAL
0,86,86,0,-1,0,0,28,NORMAL
0,62,62,0,-1,0,0,28,NORMAL
0,207,207,0,-1,0,0,28,NORMAL
0,131,131,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,28,NORMAL
0,98,98,0,-1,0,0,28,NORMAL
0,46,46,0,-1,0,0,28,NORMAL
0,64,64,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,28,NORMAL
0,318,318,0,-1,0,0,28,NORMAL
0,876,876,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,28,NORMAL
0,130,130,0,-1,0,0,28,NORMAL
0,31,31,0,-1,0,0,28,NORMAL
0,82,82,0,-1,0,0,28,NORMAL
0,76,76,0,-1,0,0,28,NORMAL
0,72,72,0,-1,0,0,28,NORMAL
0,152,152,0,-1,0,0,28,NORMAL
0,728,728,0,-1,0,0,28,NORMAL
0,1108,1108,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,48,NORMAL
0,44,44,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,28,NORMAL
0,118,118,0,-1,0,0,28,NORMAL
0,45,45,0,-1,0,0,68,NORMAL
0,72,72,0,-1,0,0,28,NORMAL
0,51,56,7,-1,0,0,48,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,84,84,0,-1,0,0,28,NORMAL
0,596,596,0,-1,0,0,28,NORMAL
0,92,92,0,-1,0,0,28,NORMAL
0,51,51,0,-1,0,0,28,NORMAL
0,885,885,0,-1,0,0,28,NORMAL
0,72,72,0,-1,0,0,28,NORMAL
0,1484,1484,0,-1,0,0,208,NORMAL
0,69,69,0,-1,0,0,28,NORMAL
0,48,48,0,-1,0,0,48,NORMAL
0,74,74,0,-1,0,0,28,NORMAL
0,48,48,0,-1,0,0,28,NORMAL
0,1108,1108,0,-1,0,0,28,NORMAL
0,73,73,0,-1,0,0,28,NORMAL
0,131,131,0,-1,0,0,28,NORMAL
0,48,48,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,48,NORMAL
0,114,114,0,-1,0,0,28,NORMAL
0,251,362,84,-1,0,0,528,NORMAL
0,82,82,0,-1,0,0,28,NORMAL
0,147,147,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,103,103,0,-1,0,0,28,NORMAL
0,133,133,0,-1,0,0,28,NORMAL
0,72,72,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,636,636,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,74,74,0,-1,0,0,28,NORMAL
0,1484,1484,0,-1,0,0,208,NORMAL
0,83,83,0,-1,0,0,28,NORMAL
0,326,326,0,-1,0,0,28,NORMAL
0,132,132,0,-1,0,0,28,NORMAL
0,313,313,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,51,51,0,-1,0,0,28,NORMAL
0,202,202,0,-1,0,0,28,NORMAL
0,30,30,0,-1,0,0,28,NORMAL
0,222,222,0,-1,0,0,28,NORMAL
0,97,97,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,28,NORMAL
0,699,699,0,-1,0,0,28,NORMAL
0,48,48,0,-1,0,0,28,NORMAL
0,220,220,0,-1,0,0,28,NORMAL
0,81,105,33,-1,0,0,48,NORMAL
0,70,70,0,-1,0,0,28,NORMAL
0,95,95,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,28,NORMAL
0,41,41,0,-1,0,0,48,NORMAL
0,59,59,0,-1,0,0,28,NORMAL
0,64,64,0,-1,0,0,28,NORMAL
0,174,353,195,-1,0,0,468,NORMAL
0,887,887,0,-1,0,0,28,NORMAL
0,138,138,0,-1,0,0,28,NORMAL
0,71,71,0,-1,0,0,28,NORMAL
0,31,31,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,97,97,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,28,NORMAL
0,87,87,0,-1,0,0,28,NORMAL
0,77,77,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,28,NORMAL
0,1108,1108,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,28,NORMAL
0,131,131,0,-1,0,0,28,NORMAL
0,60,60,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,85,85,0,-1,0,0,28,NORMAL
0,86,86,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,68,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,92,92,0,-1,0,0,28,NORMAL
0,30,30,0,-1,0,0,28,NORMAL
0,87,87,0,-1,0,0,28,NORMAL
0,48,53,5,-1,0,0,88,NORMAL
0,76,76,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,68,NORMAL
0,87,87,0,-1,0,0,28,NORMAL
0,134,134,0,-1,0,0,28,NORMAL
0,53,53,0,-1,0,0,28,NORMAL
0,88,88,0,-1,0,0,28,NORMAL
0,300,300,0,-1,0,0,28,NORMAL
0,90,90,0,-1,0,0,28,NORMAL
0,48,48,0,-1,0,0,28,NORMAL
0,131,131,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,28,NORMAL
0,48,48,0,-1,0,0,28,NORMAL
0,92,92,0,-1,0,0,28,NORMAL
0,59,59,0,-1,0,0,28,NORMAL
0,60,60,0,-1,0,0,248,NORMAL
0,97,97,0,-1,0,0,28,NORMAL
0,147,147,0,-1,0,0,28,NORMAL
0,90,90,0,-1,0,0,28,NORMAL
0,596,596,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,28,NORMAL
0,73,73,0,-1,0,0,28,NORMAL
0,31,31,0,-1,0,0,28,NORMAL
0,92,92,0,-1,0,0,28,NORMAL
0,95,95,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,68,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,28,NORMAL
0,158,158,0,-1,0,0,28,NORMAL
0,130,130,0,-1,0,0,28,NORMAL
0,72,72,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,48,NORMAL
0,659,659,0,-1,0,0,28,NORMAL
0,132,142,14,-1,0,0,48,NORMAL
0,1108,1108,0,-1,0,0,48,NORMAL
0,80,80,0,-1,0,0,28,NORMAL
0,58,58,0,-1,0,0,28,NORMAL
0,116,116,0,-1,0,0,28,NORMAL
0,96,96,0,-1,0,0,28,NORMAL
0,87,87,0,-1,0,0,28,NORMAL
0,92,92,0,-1,0,0,28,NORMAL
0,1484,1484,0,-1,0,0,208,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,77,77,0,-1,0,0,28,NORMAL
0,119,119,0,-1,0,0,28,NORMAL
0,87,87,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,28,NORMAL
0,319,319,0,-1,0,0,28,NORMAL
0,77,77,0,-1,0,0,28,NORMAL
0,75,75,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,68,NORMAL
0,60,60,0,-1,0,0,28,NORMAL
0,90,90,0,-1,0,0,28,NORMAL
0,131,131,0,-1,0,0,48,NORMAL
0,628,628,0,-1,0,0,28,NORMAL
0,78,78,0,-1,0,0,28,NORMAL
0,77,77,0,-1,0,0,568,NORMAL
0,74,74,0,-1,0,0,28,NORMAL
0,1108,1108,0,-1,0,0,28,NORMAL
0,604,604,0,-1,0,0,28,NORMAL
0,125,125,0,-1,0,0,28,NORMAL
0,76,76,0,-1,0,0,28,NORMAL
0,166,166,0,-1,0,0,28,NORMAL
0,43,538,771,-1,0,0,68,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,129,129,0,-1,0,0,28,NORMAL
0,66,66,0,-1,0,0,68,NORMAL
0,30,30,0,-1,0,0,28,NORMAL
0,194,194,0,-1,0,0,28,NORMAL
0,322,322,0,-1,0,0,28,NORMAL
0,67,67,0,-1,0,0,28,NORMAL
0,319,319,0,-1,0,0,28,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
0,131,131,0,-1,0,0,28,NORMAL
0,94,94,0,-1,0,0,28,NORMAL
0,48,74,36,-1,0,0,68,NORMAL
0,72,72,0,-1,0,0,28,NORMAL
0,294,294,0,-1,0,0,28,NORMAL
0,44,44,0,-1,0,0,28,NORMAL
0,116,116,0,-1,0,0,28,NORMAL
0,90,90,0,-1,0,0,28,NORMAL
0,48,1458,105,-1,0,0,18028,NORMAL
0,70,84,20,-1,0,0,48,NORMAL
0,126,126,0,-1,0,0,28,NORMAL
