@relation 'udpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,LOW_RATE,slowHeaders,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
1900,76000,0,0,40,40,40,0,-1,-1,-1,0,1,1564,8073,679,0,0,0,0,2970156,2970156,2970156,2970156,0,0,0,0,0,1900,76000,0,0,0,0,0,0,38008,0,HIGH_RATE
19173,766920,0,0,40,40,40,0,-1,-1,-1,0,2,2062,638033,10255,0,0,0,0,39540754,39540754,39540754,39540754,0,0,0,0,0,19173,766920,0,0,0,0,0,0,383468,0,HIGH_RATE
15085,603400,0,0,40,40,40,0,-1,-1,-1,0,2,2507,821109,8012,0,0,0,0,39084255,13601660,18908417,24215175,7504888,1267420,1267420,1267420,0,7542,301700,0,0,0,0,0,0,301708,0,HIGH_RATE
6219,248760,0,0,40,40,40,0,-1,-1,-1,0,19,4396,692203,12086,0,0,0,0,27334469,27334469,27334469,27334469,0,0,0,0,0,6219,248760,0,0,0,0,0,0,124388,0,HIGH_RATE
15129,605160,0,0,40,40,40,0,-1,-1,-1,0,3,2500,816981,7989,0,0,0,0,39087395,13605292,18911439,24217586,7504025,1264517,1264517,1264517,0,7564,302580,0,0,0,0,0,0,302588,0,HIGH_RATE
12335,493400,0,0,40,40,40,0,-1,-1,-1,0,2,3066,814040,8935,0,0,0,0,39087840,13606394,18910933,24215473,7501751,1265973,1265973,1265973,0,6167,246700,0,0,0,0,0,0,246708,0,HIGH_RATE
18772,750880,0,0,40,40,40,0,-1,-1,-1,0,8,2106,645093,10060,0,0,0,0,39537665,39537665,39537665,39537665,0,0,0,0,0,18772,750880,0,0,0,0,0,0,375448,0,HIGH_RATE
11300,452000,0,0,40,40,40,0,-1,-1,-1,0,10,3429,830236,11740,0,0,0,0,40052674,8553715,19370422,30187130,15297134,1311829,1311829,1311829,0,5650,226000,0,0,0,0,0,0,226008,0,HIGH_RATE
9814,392560,0,0,40,40,40,0,-1,-1,-1,0,22,3031,340196,6324,0,0,0,0,29743438,29743438,29743438,29743438,0,0,0,0,0,9814,392560,0,0,0,0,0,0,196288,0,HIGH_RATE
7593,303720,0,0,40,40,40,0,-1,-1,-1,0,1,2806,348290,6954,0,0,0,0,21308437,21308437,21308437,21308437,0,0,0,0,0,7593,303720,0,0,0,0,0,0,151868,0,HIGH_RATE
11269,450760,0,0,40,40,40,0,-1,-1,-1,0,8,3438,831517,11775,0,0,0,0,40050923,8557804,19371747,30185691,15293225,1307428,1307428,1307428,0,5634,225380,0,0,0,0,0,0,225388,0,HIGH_RATE
4135,165400,0,0,40,40,40,0,-1,-1,-1,0,86,1657,12039,1109,0,0,0,0,6854151,6854151,6854151,6854151,0,0,0,0,0,4135,165400,0,0,0,0,0,0,82708,0,HIGH_RATE
24647,985880,0,0,40,40,40,0,-1,-1,-1,0,2,1617,861072,6195,0,0,0,0,39871958,39871958,39871958,39871958,0,0,0,0,0,24647,985880,0,0,0,0,0,0,492948,0,HIGH_RATE
11428,457120,0,0,40,40,40,0,-1,-1,-1,0,8,3390,820448,11532,0,0,0,0,40051260,8554137,19371497,30188858,15298057,1308265,1308265,1308265,0,5714,228560,0,0,0,0,0,0,228568,0,HIGH_RATE
8512,340480,0,0,40,40,40,0,-1,-1,-1,0,9,4571,826472,13410,0,0,0,0,40048527,8720986,19449913,30178841,15172994,1148700,1148700,1148700,0,4256,170240,0,0,0,0,0,0,170248,0,HIGH_RATE
9569,382760,0,0,40,40,40,0,-1,-1,-1,0,1,3108,352075,6586,0,0,0,0,29740574,29740574,29740574,29740574,0,0,0,0,0,9569,382760,0,0,0,0,0,0,191388,0,HIGH_RATE
1254,50160,0,0,40,40,40,0,-1,-1,-1,0,207,2978,170672,5907,0,0,0,0,3731688,3731688,3731688,3731688,0,0,0,0,0,1254,50160,0,0,0,0,0,0,25088,0,HIGH_RATE
4312,172480,0,0,40,40,40,0,-1,-1,-1,0,19,1589,10562,914,0,0,0,0,6854276,6854276,6854276,6854276,0,0,0,0,0,4312,172480,0,0,0,0,0,0,86248,0,HIGH_RATE
12522,500880,0,0,40,40,40,0,-1,-1,-1,0,1,3020,816182,8897,0,0,0,0,39082464,13607098,18905642,24204187,7493273,1271179,1271179,1271179,0,6261,250440,0,0,0,0,0,0,250448,0,HIGH_RATE
4076,163040,0,0,40,40,40,0,-1,-1,-1,0,72,1681,13064,1078,0,0,0,0,6853343,6853343,6853343,6853343,0,0,0,0,0,4076,163040,0,0,0,0,0,0,81528,0,HIGH_RATE
9073,362920,0,0,40,40,40,0,-1,-1,-1,0,2,3278,350995,6777,0,0,0,0,29745245,29745245,29745245,29745245,0,0,0,0,0,9073,362920,0,0,0,0,0,0,181468,0,HIGH_RATE
14238,569520,0,0,40,40,40,0,-1,-1,-1,0,3,2656,813382,8165,0,0,0,0,39088758,13607447,18910561,24213676,7499736,1267635,1267635,1267635,0,7119,284760,0,0,0,0,0,0,284768,0,HIGH_RATE
19404,776160,0,0,40,40,40,0,-1,-1,-1,0,12,2037,643036,10298,0,0,0,0,39538925,39538925,39538925,39538925,0,0,0,0,0,19404,776160,0,0,0,0,0,0,388088,0,HIGH_RATE
9626,385040,0,0,40,40,40,0,-1,-1,-1,0,11,3090,346098,6509,0,0,0,0,29746553,29746553,29746553,29746553,0,0,0,0,0,9626,385040,0,0,0,0,0,0,192528,0,HIGH_RATE
8531,341240,0,0,40,40,40,0,-1,-1,-1,0,18,4542,624308,12491,0,0,0,0,40052916,8559425,19373066,30186707,15292797,1306784,1306784,1306784,0,4265,170620,0,0,0,0,0,0,170628,0,HIGH_RATE
10957,438280,0,0,40,40,40,0,-1,-1,-1,0,9,3551,833007,11750,0,0,0,0,40049526,8718226,19453207,30188189,15181556,1143111,1143111,1143111,0,5478,219140,0,0,0,0,0,0,219148,0,HIGH_RATE
8767,350680,0,0,40,40,40,0,-1,-1,-1,0,17,4420,820423,13085,0,0,0,0,40048967,8556260,19372458,30188656,15296413,1304051,1304051,1304051,0,4383,175340,0,0,0,0,0,0,175348,0,HIGH_RATE
11642,465680,0,0,40,40,40,0,-1,-1,-1,0,2,3328,826931,11505,0,0,0,0,40053298,8556090,19372285,30188481,15296410,1308727,1308727,1308727,0,5821,232840,0,0,0,0,0,0,232848,0,HIGH_RATE
4188,167520,0,0,40,40,40,0,-1,-1,-1,0,97,1637,10969,1100,0,0,0,0,6854163,6854163,6854163,6854163,0,0,0,0,0,4188,167520,0,0,0,0,0,0,83768,0,HIGH_RATE
4056,162240,0,0,40,40,40,0,-1,-1,-1,0,118,1690,11415,1116,0,0,0,0,6854747,6854747,6854747,6854747,0,0,0,0,0,4056,162240,0,0,0,0,0,0,81128,0,HIGH_RATE
14786,591440,0,0,40,40,40,0,-1,-1,-1,0,28,2558,955967,8948,0,0,0,0,39086770,13606512,18910969,24215427,7501635,1264831,1264831,1264831,0,7393,295720,0,0,0,0,0,0,295728,0,HIGH_RATE
