@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {normal,attack,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
1966,208900,737,40464,52,106,2948,147,52,54,72,5,1,6408,353643,17578,43,16885,219228,26110,13805856,113544,6329533,12545523,8790736,1146789,1146789,1146789,0,983,104450,368,20232,1960,0,0,0,102240,40464,attack
10914,710200,5477,286266,52,65,1500,27,52,52,566,7,3,1668,399611,5802,35,3324,381922,7961,18206106,18206106,18206106,18206106,0,0,0,0,0,10914,710200,5477,286266,10909,1,0,0,567536,285752,attack
2486,240584,726,39640,52,96,1500,113,52,54,72,5,1,5357,378596,14195,32,18120,226081,23129,14528589,513005,6690467,12867929,8736250,1147655,1147655,1147655,0,1243,120292,363,19820,2481,0,0,0,129280,39640,attack
1081,139848,583,32100,60,129,2948,235,52,55,72,5,1,9701,737580,35196,34,17993,737582,49249,10478110,10478110,10478110,10478110,0,0,0,0,0,1081,139848,583,32100,1070,0,0,0,56220,32100,attack
462,39272,236,13088,52,85,436,62,52,55,72,6,4,4578,44149,8681,3,8981,50757,14725,2110592,2110592,2110592,2110592,0,0,0,0,0,462,39272,236,13088,460,0,0,0,24032,13088,attack
7211,488476,2652,139566,52,67,1500,55,52,52,566,10,3,1877,575366,10482,2,5096,575384,18371,13537463,13537463,13537463,13537463,0,0,0,0,0,7211,488476,2652,139566,7203,1,0,0,374980,139052,attack
11941,779664,6376,332414,52,65,2896,37,52,52,566,6,2,1604,386046,6337,5,3004,387473,9238,19155463,19155463,19155463,19155463,0,0,0,0,0,11941,779664,6376,332414,11936,1,0,0,620940,331900,attack
9041,591252,3843,200990,52,65,1500,31,52,52,566,8,7,1591,404629,6094,5,3745,388691,9477,14389603,14389603,14389603,14389603,0,0,0,0,0,9041,591252,3843,200990,9036,1,0,0,470140,200476,attack
11113,797460,5678,301562,52,71,2948,89,52,53,566,7,4,2770,867366,18741,2,5460,1773541,33480,32088644,8093721,15502989,22912257,10478287,1082666,1082666,1082666,0,5556,398730,2839,150781,11098,1,0,0,577884,301048,attack
2057,244444,892,49956,52,118,2224,163,52,56,80,6,1,8635,562618,27624,2,19927,562149,39717,17755023,17755023,17755023,17755023,0,0,0,0,0,2057,244444,892,49956,2051,0,0,0,106972,49956,attack
