@relation 'slowHeaders-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {NORMAL,LOW_RATE,slowHeaders,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
8,739,8,907,40,92,306,87,52,113,535,170,1193,16795,47222,26353,111,2106,3202,1730,31232510,11,10099,47222,20799,1000299,7795503,10115524,4530303,1,147,1,181,4,1,0,0,412,424,LOW_RATE
8,919,7,858,40,114,466,142,52,122,538,183,1213,5612,14090,7343,169,1470,2771,1839,31018297,11,3383,14090,6104,1009781,7750344,10036150,4493978,1,183,1,171,4,1,0,0,412,372,LOW_RATE
8,703,7,855,40,87,244,65,52,122,535,182,1237,2085,3063,919,177,1688,3200,2137,31320296,12,1264,3220,1714,1017447,7828493,10183301,4541101,1,140,1,171,4,1,0,0,412,372,LOW_RATE
8,785,7,855,40,98,304,85,52,122,535,182,1533,4027,8820,4151,69,1681,3293,2279,31468346,11,2442,8820,3848,1009558,7864033,10384225,4572680,1,157,1,171,4,1,0,0,412,372,LOW_RATE
9,903,7,855,40,100,393,110,52,122,535,182,409,14276,40364,22607,113,1296,2480,1673,31226519,11,7149,40364,16302,1000458,6236724,10035269,4788765,1,150,1,142,4,1,0,0,472,372,LOW_RATE
9,814,7,855,40,90,304,81,52,122,535,182,453,2439,5712,2855,16,812,1609,1126,31251004,12,1230,5712,2289,1011464,6248724,10242257,4802904,1,135,1,142,4,1,0,0,472,372,LOW_RATE
8,858,7,855,40,107,392,117,52,122,535,182,1092,12914,35477,19547,68,1670,3273,2266,31471398,12,7760,35477,15558,1007656,7858149,10207597,4567457,1,171,1,171,4,1,0,0,412,372,LOW_RATE
8,824,7,855,40,103,349,101,52,122,535,182,1236,2479,4491,1758,278,1618,2959,1895,31483019,11,1506,4491,2112,1008328,7868871,10400380,4576969,1,164,1,171,4,1,0,0,412,372,LOW_RATE
8,747,7,855,40,93,304,86,52,122,535,182,890,3193,6442,2894,24,1581,3139,2202,31382908,12,1924,6442,2866,1008010,7843321,10242228,4557738,1,149,1,171,4,1,0,0,412,372,LOW_RATE
9,881,7,855,40,97,393,111,52,122,535,182,13,14192,41037,23260,90,816,1542,1026,31203341,5,7104,41037,16635,1000157,6232143,10035264,4782088,1,146,1,142,4,1,0,0,472,372,LOW_RATE
