% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	571
% isAttack slowBody:	571
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R6-8,10,21,26,32,40'

@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute mean_bpktl numeric
@attribute duration numeric
@attribute min_idle numeric
@attribute sflow_bpackets numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
30,30,0,-1,0,0,0,normal
129,129,0,-1,0,0,0,normal
370,370,0,-1,0,0,0,normal
116,116,0,-1,0,0,0,normal
1108,1108,0,-1,0,0,0,normal
44,44,0,-1,0,0,0,normal
78,78,0,-1,0,0,0,normal
69,69,0,-1,0,0,0,normal
70,70,0,-1,0,0,0,normal
84,84,0,-1,0,0,0,normal
31,31,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
110,110,0,-1,0,0,0,normal
129,129,0,-1,1580577,1580577,0,normal
134,134,0,-1,0,0,0,normal
80,80,0,-1,4296170,2067749,0,normal
83,83,0,-1,0,0,0,normal
93,93,0,-1,0,0,0,normal
111,111,0,-1,0,0,0,normal
58,58,0,-1,0,0,0,normal
48,48,0,-1,153089,0,0,normal
131,131,0,-1,0,0,0,normal
624,624,0,-1,0,0,0,normal
1108,1108,0,-1,0,0,0,normal
131,131,0,-1,0,0,0,normal
48,48,0,-1,0,0,0,normal
74,74,0,-1,0,0,0,normal
68,68,0,-1,0,0,0,normal
30,30,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
773,773,0,-1,0,0,0,normal
1195,1195,0,-1,0,0,0,normal
62,62,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
73,73,0,-1,0,0,0,normal
1484,1484,0,-1,10085456,9916083,0,normal
125,125,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
596,596,0,-1,0,0,0,normal
63,63,0,-1,0,0,0,normal
70,354,74,-1,7161216,1212852,0,normal
77,77,0,-1,0,0,0,normal
44,44,0,-1,2997562,2997562,0,normal
77,85,3,-1,10543029,0,0,normal
62,62,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
279,279,0,-1,0,0,0,normal
92,92,0,-1,0,0,0,normal
58,58,0,-1,0,0,0,normal
69,69,0,-1,0,0,0,normal
44,44,0,-1,0,0,0,normal
48,48,0,-1,0,0,0,normal
876,876,0,-1,0,0,0,normal
58,58,0,-1,0,0,0,normal
44,44,0,-1,14380,0,0,normal
73,73,0,-1,0,0,0,normal
50,74,7,-1,7598882,1420839,0,normal
1452,1452,0,-1,4661,0,0,normal
63,63,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
69,74,7,-1,53657,0,0,normal
126,126,0,-1,0,0,0,normal
31,31,0,-1,0,0,0,normal
166,166,0,-1,0,0,0,normal
86,86,0,-1,0,0,0,normal
61,61,0,-1,0,0,0,normal
74,74,0,-1,0,0,0,normal
131,131,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
136,136,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
433,1453,393,-1,10532217,0,0,normal
126,126,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
72,82,6,-1,4078745,1153170,0,normal
58,58,0,-1,0,0,0,normal
44,44,0,-1,0,0,0,normal
44,44,0,-1,1020015,1020015,0,normal
44,44,0,-1,3108856,2956357,0,normal
142,142,0,-1,0,0,0,normal
326,326,0,-1,0,0,0,normal
166,166,0,-1,0,0,0,normal
129,129,0,-1,0,0,0,normal
129,129,0,-1,0,0,0,normal
156,156,0,-1,0,0,0,normal
126,126,0,-1,6093197,6093197,0,normal
48,48,0,-1,7637969,1218117,0,normal
326,326,0,-1,0,0,0,normal
397,397,0,-1,0,0,0,normal
44,44,0,-1,0,0,0,normal
44,44,0,-1,18831,0,0,normal
79,79,0,-1,0,0,0,normal
96,96,0,-1,0,0,0,normal
72,72,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
31,31,0,-1,0,0,0,normal
64,64,0,-1,0,0,0,normal
130,130,0,-1,0,0,0,normal
251,251,0,-1,0,0,0,normal
44,44,0,-1,108472,0,0,normal
141,141,0,-1,0,0,0,normal
94,94,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
126,126,0,-1,0,0,0,normal
175,605,242,-1,3700498,3240337,0,normal
30,30,0,-1,0,0,0,normal
76,76,0,-1,0,0,0,normal
48,48,0,-1,0,0,0,normal
117,117,0,-1,0,0,0,normal
76,76,0,-1,0,0,0,normal
64,64,0,-1,0,0,0,normal
64,64,0,-1,0,0,0,normal
147,147,0,-1,0,0,0,normal
81,81,0,-1,0,0,0,normal
