% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,7,9,11,24,30,33,40'

@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute min_bpktl numeric
@attribute max_bpktl numeric
@attribute max_active numeric
@attribute sflow_fpackets numeric
@attribute sflow_bbytes numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
52,2948,52,566,17694191,2998,81147,tcpFlood
52,2948,40,566,23900491,5850,156899,tcpFlood
52,2948,52,80,11022985,1191,31908,tcpFlood
52,2464,52,80,21203616,2266,52676,tcpFlood
52,2188,52,566,5391353,3010,69874,tcpFlood
52,2560,52,72,12079608,1396,38628,tcpFlood
52,2948,52,80,7059840,614,14522,tcpFlood
52,64,52,566,10601120,7904,369266,tcpFlood
52,1936,52,80,10442302,264,7968,tcpFlood
52,2948,52,566,10054100,5455,123230,tcpFlood
52,2284,52,566,13775559,8037,171290,tcpFlood
52,2948,52,566,21884222,4766,155754,tcpFlood
52,2948,52,72,13802150,1462,40220,tcpFlood
52,2080,52,80,20331823,2263,52132,tcpFlood
52,280,60,60,1497028,4,15,tcpFlood
52,1500,52,566,13372048,8230,226318,tcpFlood
52,2948,52,72,8915627,1221,29636,tcpFlood
52,2948,40,566,19460060,5370,149395,tcpFlood
52,2008,52,566,13766942,7500,159150,tcpFlood
52,2620,52,64,5370522,2976,76568,tcpFlood
52,2948,40,566,18982856,5000,150949,tcpFlood
52,2116,52,80,8470186,1191,30588,tcpFlood
52,64,52,566,12086054,9035,400050,tcpFlood
52,2948,52,566,15835199,3361,122782,tcpFlood
52,2452,52,80,11229948,1429,37820,tcpFlood
52,340,60,60,1508718,6,20,tcpFlood
52,2948,52,566,14553148,2090,62258,tcpFlood
52,2884,52,566,19634934,11837,353290,tcpFlood
52,1500,52,64,377502,60,2844,tcpFlood
52,1708,52,566,18081257,10601,283626,tcpFlood
52,280,60,60,237149,14,60,tcpFlood
52,2092,52,566,13886306,991,23399,tcpFlood
52,2948,52,72,9288361,1007,26656,tcpFlood
52,2692,52,566,20182211,12203,366026,tcpFlood
52,1768,52,566,5391840,2953,70226,tcpFlood
52,1876,52,566,13901796,1152,27249,tcpFlood
52,2224,52,72,14661892,1725,44680,tcpFlood
52,2884,52,566,18396885,9620,210450,tcpFlood
52,2948,52,566,19106753,10740,283106,tcpFlood
52,2948,52,578,13790231,1933,57593,tcpFlood
52,2948,52,72,14078957,1334,35300,tcpFlood
52,2908,52,566,18391714,9092,198502,tcpFlood
52,2296,52,566,12799067,7552,165474,tcpFlood
52,2948,52,72,10219057,1088,28844,tcpFlood
52,2948,52,566,22744244,4910,170134,tcpFlood
52,2948,52,566,14384192,3499,101031,tcpFlood
52,2948,52,566,13907644,2457,70191,tcpFlood
52,2948,52,566,16980825,4924,145969,tcpFlood
52,2884,52,566,19185959,11837,347218,tcpFlood
52,2948,52,566,22781828,4119,140098,tcpFlood
52,2948,52,566,13885233,2627,78441,tcpFlood
52,2200,52,72,13022443,1580,40528,tcpFlood
52,2704,52,566,18082381,10644,267790,tcpFlood
52,2164,52,566,24495462,6716,174089,tcpFlood
52,2948,52,80,9508264,921,28744,tcpFlood
52,1720,52,566,13901735,1542,40697,tcpFlood
52,2332,52,566,17976270,10857,263330,tcpFlood
52,1500,52,566,5390218,3097,66718,tcpFlood
52,2948,52,566,14776383,9122,253610,tcpFlood
52,2948,52,72,9993500,1128,29532,tcpFlood
52,2948,52,80,15189014,1699,44352,tcpFlood
52,2948,52,566,17671180,10712,328310,tcpFlood
52,880,52,566,18839330,14376,683282,tcpFlood
52,2948,52,566,18395044,8955,202678,tcpFlood
52,2948,52,80,10245891,1060,29708,tcpFlood
52,1636,52,566,17940601,10797,278830,tcpFlood
52,2104,40,566,24509232,6100,158267,tcpFlood
52,2948,52,566,16443539,2596,73115,tcpFlood
52,2440,52,566,13761351,2112,66649,tcpFlood
52,1700,52,80,9716353,1433,34656,tcpFlood
52,2948,52,566,16690814,2519,78385,tcpFlood
52,1756,52,566,19157706,11144,296798,tcpFlood
52,2680,52,566,19179658,11982,342574,tcpFlood
52,2128,52,80,20885159,2361,57516,tcpFlood
52,2104,52,80,15055587,1805,49928,tcpFlood
52,2596,52,566,13757889,2549,71785,tcpFlood
52,2948,52,72,12840130,1156,20364,tcpFlood
52,2036,52,72,9807761,1255,34608,tcpFlood
52,2356,52,566,18166743,10921,278702,tcpFlood
52,1936,52,72,1461073,85,2743,tcpFlood
52,64,52,566,15294985,11814,323910,tcpFlood
52,2212,52,566,12788675,6778,150670,tcpFlood
52,1500,60,60,1887948,2,24,tcpFlood
52,1888,52,80,22326469,1965,45548,tcpFlood
52,2200,52,80,18183184,2098,48968,tcpFlood
52,1996,52,80,18149710,2080,49328,tcpFlood
52,1288,52,566,18993306,14552,693734,tcpFlood
52,2948,52,80,12569590,1471,37808,tcpFlood
52,2948,52,566,16314824,2339,65527,tcpFlood
52,2428,52,80,22679089,4978,149756,tcpFlood
52,2948,52,566,16318754,2398,70615,tcpFlood
52,1500,52,566,13537425,7408,152814,tcpFlood
52,2068,52,80,10438446,1225,33996,tcpFlood
52,2948,52,566,15126553,3089,90979,tcpFlood
52,2948,52,80,10910943,1177,34232,tcpFlood
52,2948,52,586,15820955,949,34870,tcpFlood
52,2248,52,80,19294342,2153,51776,tcpFlood
52,2948,52,566,23099625,5156,137337,tcpFlood
52,2948,52,566,17618235,2892,84481,tcpFlood
52,1924,52,72,12812632,1214,22620,tcpFlood
52,1500,52,72,2763732,444,13412,tcpFlood
52,2800,52,566,12360402,7339,211098,tcpFlood
52,2692,52,566,17222436,8410,208902,tcpFlood
52,2368,52,566,17345107,8177,195866,tcpFlood
52,1720,52,566,13774066,1567,40233,tcpFlood
52,1500,52,566,5391132,3030,70530,tcpFlood
52,1828,52,566,5392399,2417,42934,tcpFlood
52,2948,52,566,13750078,1724,50899,tcpFlood
52,1912,52,566,13893486,1426,36675,tcpFlood
52,1732,52,566,5392657,3182,75374,tcpFlood
52,2948,52,566,16679411,2965,83449,tcpFlood
52,2872,52,566,22286657,4641,153434,tcpFlood
52,2948,52,566,17648310,2971,86909,tcpFlood
52,2948,52,72,10439278,293,7782,tcpFlood
52,1804,52,566,21826072,4922,160534,tcpFlood
52,2764,52,566,17371883,8720,198662,tcpFlood
52,2800,52,566,19157514,11641,330422,tcpFlood
52,2512,52,566,13885618,2207,63317,tcpFlood
52,2824,52,566,17608647,10850,299954,tcpFlood
52,2948,52,80,21192738,2355,53956,tcpFlood
52,328,52,72,601655,189,5196,tcpFlood
52,2948,52,80,9742079,900,28696,tcpFlood
52,1500,60,60,831958,2,15,tcpFlood
52,76,52,566,15631038,12115,332224,tcpFlood
52,328,60,60,1477463,6,20,tcpFlood
52,2948,52,72,10939853,1269,32968,tcpFlood
52,2536,52,566,5378494,2960,77350,tcpFlood
52,2948,52,566,13888057,2702,79207,tcpFlood
52,2236,52,566,13775743,8035,173386,tcpFlood
52,2512,40,566,21066678,5533,158849,tcpFlood
52,2200,52,80,11500196,1184,34144,tcpFlood
52,1500,52,80,12392314,1726,42916,tcpFlood
52,1500,52,80,13753806,936,22554,tcpFlood
52,2452,52,566,13901959,2489,77913,tcpFlood
52,2812,52,566,13882727,2507,76223,tcpFlood
52,1672,52,80,13373365,1380,35592,tcpFlood
52,1500,52,80,12833373,1269,23150,tcpFlood
52,760,52,566,20356957,15370,703042,tcpFlood
52,1768,52,566,19036470,11898,299698,tcpFlood
60,2948,52,80,20763358,2074,48892,tcpFlood
52,1804,52,566,18242939,11498,268182,tcpFlood
52,2948,52,72,18149431,2161,48264,tcpFlood
52,2948,52,566,13906744,966,23791,tcpFlood
52,2948,52,80,12802088,1176,17918,tcpFlood
52,2948,52,566,22573548,5474,145169,tcpFlood
52,2948,52,72,12857963,1081,19728,tcpFlood
52,2716,52,566,11890408,6992,194122,tcpFlood
52,2320,52,566,17927914,10958,271622,tcpFlood
52,2948,52,566,13745519,2933,86603,tcpFlood
52,2948,52,578,13544523,3082,92531,tcpFlood
52,1500,52,80,12879273,1162,21602,tcpFlood
52,2948,52,80,13886369,875,20584,tcpFlood
60,2948,52,72,13081374,1452,34604,tcpFlood
52,2948,52,72,15187072,1689,44832,tcpFlood
52,2948,52,566,22098493,5343,150363,tcpFlood
52,1500,60,60,1725947,2,15,tcpFlood
52,2524,52,80,11328543,1279,37888,tcpFlood
52,1924,52,80,6140042,987,24164,tcpFlood
52,1500,52,566,12799138,7570,161438,tcpFlood
52,2284,52,566,12788291,7423,156566,tcpFlood
52,1840,52,566,5361896,2964,70278,tcpFlood
52,2332,52,566,16818263,2563,70821,tcpFlood
52,2776,52,566,11379040,6699,187238,tcpFlood
52,2948,52,566,17385794,2909,83225,tcpFlood
52,1552,52,72,4796124,653,17416,tcpFlood
52,76,52,566,14030160,10557,291202,tcpFlood
52,2948,52,80,12857863,1249,20204,tcpFlood
52,2948,52,566,13543131,1378,35981,tcpFlood
60,2948,52,72,14795306,1834,46932,tcpFlood
52,1500,52,72,2318839,485,12272,tcpFlood
52,1500,52,80,5232088,849,20748,tcpFlood
52,2948,52,566,16276857,2303,67515,tcpFlood
52,2836,52,80,19243011,2027,45012,tcpFlood
52,2128,52,72,13649784,1968,46400,tcpFlood
52,2236,52,80,20995487,2212,54380,tcpFlood
52,2416,52,566,13532850,7189,166458,tcpFlood
52,2584,52,566,22532021,4925,166170,tcpFlood
52,2948,52,80,19246819,2105,51880,tcpFlood
52,2548,52,80,10054773,1289,35312,tcpFlood
52,2164,52,80,8186015,1068,27204,tcpFlood
52,2512,52,566,19147263,11801,280294,tcpFlood
52,2948,52,80,18728412,1821,44568,tcpFlood
52,2948,52,566,17707207,2704,78647,tcpFlood
52,2948,52,80,9414562,970,29376,tcpFlood
52,2948,52,566,18144670,11172,258726,tcpFlood
52,2572,52,72,22254424,2113,50628,tcpFlood
52,2272,52,566,13758907,8217,172514,tcpFlood
52,2860,52,566,13569684,8301,240002,tcpFlood
52,1936,52,80,20826401,2104,51008,tcpFlood
52,2452,52,80,13874339,945,21716,tcpFlood
52,2144,52,72,12877623,1142,20442,tcpFlood
52,1500,52,566,5385102,3004,75998,tcpFlood
52,2848,52,566,16135610,9707,279610,tcpFlood
52,2948,52,566,16711161,2665,76579,tcpFlood
52,1500,60,60,832088,1,10,tcpFlood
52,1500,52,566,5366227,2910,72342,tcpFlood
52,88,52,72,65011,43,2188,tcpFlood
52,1500,52,566,20200942,12545,349702,tcpFlood
52,2948,52,566,15652091,4120,131495,tcpFlood
52,2948,52,566,13755288,1269,28519,tcpFlood
52,1996,52,72,11107164,1135,32376,tcpFlood
52,2948,52,72,12012654,1224,36596,tcpFlood
52,2488,40,566,20598752,5694,168955,tcpFlood
52,304,60,60,1562191,3,12,tcpFlood
52,2948,52,80,21427451,2375,55844,tcpFlood
52,2948,52,566,17322982,8434,199830,tcpFlood
52,2056,52,578,16769064,3306,117674,tcpFlood
52,1500,60,60,1659996,2,15,tcpFlood
52,2948,52,72,14046742,1764,42392,tcpFlood
52,1500,52,566,13534119,8300,236050,tcpFlood
52,2948,40,566,20909328,5610,150673,tcpFlood
52,2948,52,566,17664373,2975,82439,tcpFlood
52,2948,52,80,20254427,2051,46172,tcpFlood
52,2948,52,80,11161575,1339,36284,tcpFlood
52,244,60,60,641059,4,15,tcpFlood
52,2948,52,566,18410374,8977,200162,tcpFlood
52,2948,52,566,13880591,2191,62627,tcpFlood
52,2320,52,566,13753003,7908,168134,tcpFlood
52,1500,52,80,12448462,1227,22082,tcpFlood
52,2948,52,566,16533292,1928,57587,tcpFlood
52,2948,52,566,13893419,2856,82197,tcpFlood
52,2948,52,72,18172007,2046,46632,tcpFlood
52,2948,52,80,14079733,1598,39364,tcpFlood
52,2948,52,566,16630256,2468,66761,tcpFlood
52,2548,52,80,19434898,1958,48664,tcpFlood
52,2948,52,80,13012137,1901,45484,tcpFlood
52,1500,52,72,3765543,683,16488,tcpFlood
52,2948,52,566,17235240,8520,183982,tcpFlood
52,1792,52,566,14396463,8906,211854,tcpFlood
52,2948,52,566,13892705,1988,59217,tcpFlood
52,2948,52,566,15858034,6024,185495,tcpFlood
52,2548,52,72,8394093,569,13960,tcpFlood
