% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	571
% isAttack slowBody:	571
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4,7,9,11-12,23,27,30,33,38,40'

@attribute total_bvolume numeric
@attribute max_fpktl numeric
@attribute min_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute mean_active numeric
@attribute mean_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_bbytes numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,30,-1,-1,0,0,0,1,0,28,normal
0,129,-1,-1,0,0,0,1,0,28,normal
0,370,-1,-1,0,0,0,1,0,28,normal
0,116,-1,-1,0,0,0,1,0,28,normal
0,1108,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,0,0,1,0,28,normal
0,78,-1,-1,0,0,0,1,0,28,normal
0,69,-1,-1,0,0,0,1,0,28,normal
0,70,-1,-1,0,0,0,1,0,28,normal
0,84,-1,-1,0,0,0,1,0,28,normal
0,31,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,110,-1,-1,0,0,0,1,0,28,normal
0,129,-1,-1,0,0,1580577,1,0,48,normal
0,134,-1,-1,0,0,0,1,0,28,normal
0,80,-1,-1,0,0,2148085,1,0,68,normal
0,83,-1,-1,0,0,0,1,0,28,normal
0,93,-1,-1,0,0,0,1,0,28,normal
0,111,-1,-1,0,0,0,1,0,28,normal
0,58,-1,-1,0,0,0,1,0,28,normal
0,48,-1,-1,0,153089,0,2,0,48,normal
0,131,-1,-1,0,0,0,1,0,28,normal
0,624,-1,-1,0,0,0,1,0,28,normal
0,1108,-1,-1,0,0,0,1,0,28,normal
0,131,-1,-1,0,0,0,1,0,28,normal
0,48,-1,-1,0,0,0,1,0,28,normal
0,74,-1,-1,0,0,0,1,0,28,normal
0,68,-1,-1,0,0,0,1,0,28,normal
0,30,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,773,-1,-1,0,0,0,1,0,28,normal
0,1195,-1,-1,0,0,0,1,0,28,normal
0,62,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,73,-1,-1,0,0,0,1,0,28,normal
0,1484,-1,-1,0,84686,9916083,10,0,408,normal
0,125,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,596,-1,-1,0,0,0,1,0,28,normal
0,63,-1,-1,0,0,0,1,0,28,normal
0,354,-1,-1,0,1572823,1221372,12,0,728,normal
0,77,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,0,2997562,1,0,48,normal
0,85,-1,-1,0,10543029,0,426,0,8528,normal
0,62,-1,-1,0,0,0,1,0,28,normal
0,126,-1,-1,0,0,0,1,0,28,normal
0,279,-1,-1,0,0,0,1,0,28,normal
0,92,-1,-1,0,0,0,1,0,28,normal
0,58,-1,-1,0,0,0,1,0,28,normal
0,69,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,0,0,1,0,28,normal
0,48,-1,-1,0,0,0,1,0,28,normal
0,876,-1,-1,0,0,0,1,0,28,normal
0,58,-1,-1,0,0,0,1,0,28,normal
0,44,-1,-1,0,14380,0,2,0,48,normal
0,73,-1,-1,0,0,0,1,0,28,normal
