% isAttack normal:	1332
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,8,11,15-17,21,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,SF,734,12387,3015,0,0,0,47,0,normal
0,tcp,SF,946,12461,2316,0,0,0,100,0,normal
0,tcp,OTH,66,0,3615,0,0,0,38,0.05,normal
0,tcp,OTH,66,0,3076,0,0,0,43,0.02,normal
0,tcp,SF,946,12461,1865,0,0,0,94,0,normal
0,tcp,OTH,66,0,4913,0,0,0,78,0.08,normal
0,tcp,OTH,66,0,4416,0,0,0,43,0,normal
0,tcp,SF,946,12461,4231,0,0,0,95,0,normal
0,tcp,OTH,66,0,4746,0,0,0,42,0,normal
0,tcp,SF,946,12461,2531,0,0,0,100,0,normal
0,tcp,OTH,66,0,5982,0,0,0,32,0.15,normal
0,tcp,OTH,66,0,2864,0,0,0,50,0.14,normal
0,tcp,SF,946,12461,3539,0,0,0,100,0,normal
0,tcp,S2,1024,206,3615,0.5,0,0,100,0,normal
0,tcp,SF,946,12461,1973,0,0,0,100,0,normal
0,tcp,SF,946,12461,2337,0,0,0,78,0,normal
0,tcp,OTH,66,0,5109,0,0,0,42,0.12,normal
0,tcp,OTH,66,0,3268,0,0,0,35,0.17,normal
0,tcp,OTH,66,0,5784,0,0,0,41,0.05,normal
0,tcp,SF,946,12461,3428,0,0,0,95,0,normal
0,tcp,SF,946,12461,2778,0,0,0,100,0,normal
0,tcp,S1,140,66,2986,0.44,0,0,100,0,normal
0,tcp,OTH,66,0,4679,0,0,0,32,0.09,normal
0,tcp,OTH,66,0,2999,0,0,0,45,0,normal
0,tcp,SF,946,12461,2285,0,0,0,100,0,normal
0,tcp,SF,1024,12527,2786,0,0,0,89,0,normal
0,tcp,OTH,66,0,3358,0,0,0,48,0.12,normal
0,tcp,SF,946,12461,1479,0,0,0,100,0,normal
0,tcp,OTH,66,0,2905,0,0,0,49,0.04,normal
0,tcp,OTH,66,0,3850,0,0,0,49,0.08,normal
0,tcp,OTH,66,0,2766,0,0,0,47,0.12,normal
0,tcp,SF,1024,12527,3017,0,0,0,55,0,normal
0,tcp,OTH,66,0,3945,0,0,0,18,0,normal
0,tcp,OTH,66,0,2142,0,0,0,52,0.15,normal
0,tcp,SF,946,12461,2021,0,0,0,86,0,normal
0,tcp,OTH,66,0,4980,0,0,0,33,0,normal
0,tcp,OTH,66,0,5076,0,0,0,25,0,normal
0,tcp,SF,946,12461,2533,0,0,0,100,0,normal
0,tcp,OTH,66,0,4883,0,0,0,48,0,normal
0,tcp,SF,946,12461,2114,0,0,0,100,0,normal
0,tcp,OTH,78,0,5993,0,0,0,50,0.04,normal
0,tcp,SF,946,12461,3098,0,0,0,85,0,normal
0,tcp,OTH,66,0,5510,0,0,0,100,0,normal
0,tcp,RSTR,286,266,3342,0.47,0,0,100,0,normal
0,tcp,OTH,146,0,3316,0,0,0,47,0.02,normal
0,tcp,SF,946,12461,1548,0,0,0,100,0,normal
0,tcp,OTH,66,0,3185,0,0,0,43,0.14,normal
0,tcp,SF,946,12461,1943,0,0,0,100,0,normal
0,tcp,OTH,146,0,3535,0,0,0,45,0,normal
