% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8,11,14-15,17-18,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,66,0,2920,0,1,0,53,53,normal
0,tcp,946,12461,2364,0,1,0,100,100,normal
0,tcp,946,12461,1462,0,1,0,100,100,normal
0,tcp,946,12461,2167,0,1,0,100,100,normal
0,tcp,946,12461,1152,0,1,0,100,100,normal
0,tcp,946,12461,2151,0,1,0,100,100,normal
0,tcp,946,12461,2485,0,1,0,100,100,normal
0,tcp,880,12395,2158,0,1,0,86,86,normal
0,tcp,66,0,2734,0,1,0,51,51,normal
0,tcp,66,0,5880,0,1,0,55,55,normal
0,tcp,880,12395,1943,0,1,0,100,100,normal
0,tcp,946,12461,2102,0,1,0,100,100,normal
0,tcp,66,0,5517,0,1,0,100,100,normal
0,tcp,146,0,2586,0,1,0,69,69,normal
0,tcp,66,0,3586,0,1,0,59,59,normal
0,tcp,946,12461,1881,0,1,0,100,100,normal
0,tcp,946,12461,4000,0,1,0,98,98,normal
0,tcp,1120,12461,2065,0,1,0,100,100,normal
0,tcp,946,12461,1877,0,1,0,100,100,normal
0,tcp,66,0,3832,0,1,0,31,31,normal
0,tcp,66,0,3361,0,1,0,49,49,normal
0,tcp,146,0,4296,0,1,0,46,46,normal
0,tcp,946,12461,3517,0,1,0,100,100,normal
