% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,60,108,33,udpFlood
udp,OTH,60,112,33,udpFlood
udp,OTH,60,101,34,udpFlood
udp,OTH,60,116,37,udpFlood
udp,OTH,60,102,33,udpFlood
udp,OTH,60,158,33,udpFlood
udp,OTH,60,160,33,udpFlood
udp,OTH,60,86,42,udpFlood
udp,OTH,60,87,41,udpFlood
udp,OTH,60,107,40,udpFlood
udp,OTH,60,83,39,udpFlood
udp,OTH,60,83,40,udpFlood
udp,OTH,60,110,33,udpFlood
udp,OTH,60,103,34,udpFlood
udp,OTH,60,143,33,udpFlood
udp,OTH,60,111,33,udpFlood
udp,OTH,60,83,41,udpFlood
udp,OTH,60,119,33,udpFlood
udp,OTH,60,111,34,udpFlood
udp,OTH,60,106,33,udpFlood
udp,OTH,60,112,33,udpFlood
udp,OTH,60,121,33,udpFlood
udp,OTH,60,164,33,udpFlood
udp,OTH,60,136,18,udpFlood
udp,OTH,60,113,34,udpFlood
udp,OTH,60,141,35,udpFlood
udp,OTH,60,86,42,udpFlood
udp,OTH,60,79,41,udpFlood
udp,OTH,60,106,33,udpFlood
udp,OTH,60,117,33,udpFlood
udp,OTH,60,117,33,udpFlood
udp,OTH,60,121,33,udpFlood
udp,OTH,60,125,33,udpFlood
udp,OTH,60,63,26,udpFlood
udp,OTH,60,164,33,udpFlood
udp,OTH,60,148,33,udpFlood
udp,OTH,60,108,34,udpFlood
udp,OTH,60,48,22,udpFlood
udp,OTH,60,120,33,udpFlood
udp,OTH,60,139,33,udpFlood
udp,OTH,60,139,19,udpFlood
udp,OTH,60,160,33,udpFlood
udp,OTH,60,138,33,udpFlood
udp,OTH,60,106,40,udpFlood
udp,OTH,60,145,33,udpFlood
udp,OTH,60,110,33,udpFlood
udp,OTH,60,73,29,udpFlood
udp,OTH,60,30,27,udpFlood
udp,OTH,60,110,33,udpFlood
udp,OTH,60,139,18,udpFlood
udp,OTH,60,60,25,udpFlood
udp,OTH,60,86,40,udpFlood
udp,OTH,60,108,33,udpFlood
udp,OTH,60,140,33,udpFlood
udp,OTH,60,160,33,udpFlood
udp,OTH,60,92,42,udpFlood
udp,OTH,60,111,33,udpFlood
udp,OTH,60,104,39,udpFlood
udp,OTH,60,95,42,udpFlood
udp,OTH,60,112,33,udpFlood
udp,OTH,60,141,26,udpFlood
udp,OTH,60,99,41,udpFlood
udp,OTH,60,110,34,udpFlood
udp,OTH,60,143,33,udpFlood
udp,OTH,60,160,33,udpFlood
