% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,25,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_rerror_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,66,2920,53,53,0,normal
tcp,SF,946,2364,100,100,0,normal
tcp,SF,946,1462,100,100,0,normal
tcp,SF,946,2167,100,100,0,normal
tcp,SF,946,1152,100,100,0,normal
tcp,SF,946,2151,100,100,0,normal
tcp,SF,946,2485,100,100,0,normal
tcp,SF,880,2158,86,86,0,normal
tcp,OTH,66,2734,51,51,0,normal
tcp,OTH,66,5880,55,55,0,normal
tcp,SF,880,1943,100,100,0,normal
tcp,SF,946,2102,100,100,0,normal
tcp,OTH,66,5517,100,100,0,normal
tcp,OTH,146,2586,69,69,0,normal
tcp,OTH,66,3586,59,59,0,normal
tcp,SF,946,1881,100,100,0,normal
tcp,SF,946,4000,98,98,0,normal
tcp,SF,1120,2065,100,100,0,normal
tcp,SF,946,1877,100,100,0,normal
tcp,OTH,66,3832,31,31,0,normal
tcp,OTH,66,3361,49,49,0,normal
tcp,OTH,146,4296,46,46,0,normal
tcp,SF,946,3517,100,100,0,normal
tcp,OTH,66,1883,39,39,0,normal
tcp,OTH,66,5163,42,42,0,normal
tcp,OTH,66,4487,49,49,0,normal
tcp,OTH,66,3157,40,40,0,normal
tcp,SF,1024,3014,55,55,0,normal
tcp,OTH,66,3988,48,48,0,normal
tcp,SF,946,2202,100,100,0,normal
tcp,OTH,66,5315,73,73,0,normal
tcp,SF,946,502,97,97,0,normal
tcp,SF,946,3874,100,100,0,normal
tcp,OTH,66,4496,47,47,0,normal
tcp,OTH,66,2721,46,46,0,normal
tcp,SF,946,2101,100,100,0,normal
tcp,SF,946,2700,78,78,0,normal
tcp,SF,946,2108,100,100,0,normal
tcp,SF,946,1112,100,100,0,normal
tcp,SF,946,3953,100,100,0,normal
tcp,OTH,66,2731,48,48,0,normal
tcp,SF,1024,3068,69,69,0,normal
tcp,SF,880,2995,100,100,0,normal
tcp,SF,946,2815,100,100,0,normal
tcp,SF,946,3883,100,100,0,normal
tcp,SF,946,2161,100,100,0,normal
tcp,SF,946,3211,96,96,0,normal
tcp,SF,946,2394,100,100,0,normal
tcp,SF,946,1303,100,100,0,normal
tcp,SF,946,2453,100,100,0,normal
tcp,SF,1120,2077,100,100,0,normal
tcp,SF,946,2223,100,100,0,normal
tcp,OTH,66,3248,44,44,0,normal
tcp,OTH,66,3355,52,52,0,normal
tcp,SF,1012,3259,92,92,0,normal
tcp,OTH,78,3574,67,67,0,normal
tcp,SF,946,1929,59,59,0,normal
tcp,OTH,66,3118,30,30,0,normal
tcp,SF,946,1883,99,99,0,normal
tcp,SF,946,3937,42,42,0,normal
