% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3,11,20,22,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute srv_serror_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
S2,0.5,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
S1,0.44,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
RSTR,0.47,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
S3,0.09,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
S2,0.42,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
S1,0.05,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
S1,0.26,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
RSTR,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
S3,0.52,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
RSTR,0.13,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
S2,0.47,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
RSTR,0.1,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
S1,0.48,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
S3,0.4,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
S3,0.22,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
S1,0.23,0,0,normal
S2,0.47,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
S2,0.5,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
S2,0.35,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
S2,0.47,0,0,normal
S2,0.49,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
S3,0.51,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
S1,0.45,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
S1,0.49,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
S3,0.42,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
SF,0,0,0,normal
SF,0,0,0,normal
S3,0.09,0,0,normal
SF,0,0,0,normal
OTH,0,0,0,normal
OTH,0,0,0,normal
