% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-9,17,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute dst_host_count numeric
@attribute isAttack {highrate,lowrate}

@data
60,0,108,108,33,highrate
60,0,112,112,33,highrate
60,0,101,101,34,highrate
60,0,116,116,37,highrate
60,0,102,102,33,highrate
60,0,158,158,33,highrate
60,0,160,160,33,highrate
60,0,86,86,42,highrate
60,0,87,87,41,highrate
60,0,107,107,40,highrate
60,0,83,83,39,highrate
60,0,83,83,40,highrate
60,0,110,110,33,highrate
60,0,103,103,34,highrate
60,0,143,143,33,highrate
60,0,111,111,33,highrate
60,0,83,83,41,highrate
60,0,119,119,33,highrate
60,0,111,111,34,highrate
60,0,106,106,33,highrate
60,0,112,112,33,highrate
60,0,121,121,33,highrate
60,0,164,164,33,highrate
60,0,136,136,18,highrate
60,0,113,113,34,highrate
60,0,141,141,35,highrate
60,0,86,86,42,highrate
60,0,79,79,41,highrate
60,0,106,106,33,highrate
60,0,117,117,33,highrate
60,0,117,117,33,highrate
60,0,121,121,33,highrate
60,0,125,125,33,highrate
60,0,63,63,26,highrate
60,0,164,164,33,highrate
60,0,148,148,33,highrate
60,0,108,108,34,highrate
60,0,48,48,22,highrate
60,0,120,120,33,highrate
60,0,139,139,33,highrate
60,0,139,139,19,highrate
60,0,160,160,33,highrate
60,0,138,138,33,highrate
60,0,106,106,40,highrate
60,0,145,145,33,highrate
60,0,110,110,33,highrate
60,0,73,73,29,highrate
60,0,30,30,27,highrate
60,0,110,110,33,highrate
60,0,139,139,18,highrate
60,0,60,60,25,highrate
60,0,86,86,40,highrate
60,0,108,108,33,highrate
60,0,140,140,33,highrate
60,0,160,160,33,highrate
60,0,92,92,42,highrate
60,0,111,111,33,highrate
60,0,104,104,39,highrate
60,0,95,95,42,highrate
60,0,112,112,33,highrate
60,0,141,141,26,highrate
60,0,99,99,41,highrate
60,0,110,110,34,highrate
60,0,143,143,33,highrate
60,0,160,160,33,highrate
60,0,85,85,40,highrate
60,0,141,141,34,highrate
60,0,109,109,34,highrate
60,0,137,137,33,highrate
60,0,12,12,12,highrate
60,0,136,136,10,highrate
60,0,138,138,21,highrate
60,0,149,149,33,highrate
60,0,114,114,34,highrate
60,0,153,153,33,highrate
60,0,114,114,34,highrate
60,0,145,145,33,highrate
60,0,121,121,33,highrate
60,0,150,150,33,highrate
60,0,106,106,34,highrate
60,0,120,120,33,highrate
60,0,29,29,26,highrate
60,0,116,116,33,highrate
60,0,84,84,41,highrate
60,0,86,86,42,highrate
60,0,102,102,33,highrate
60,0,78,78,34,highrate
60,0,69,69,27,highrate
60,0,3,3,3,highrate
60,0,14,14,14,highrate
60,0,107,107,33,highrate
60,0,165,165,33,highrate
60,0,112,112,34,highrate
60,0,106,106,34,highrate
60,0,110,110,34,highrate
60,0,23,23,23,highrate
60,0,102,102,33,highrate
60,0,131,131,33,highrate
60,0,125,125,33,highrate
60,0,26,26,26,highrate
60,0,77,77,33,highrate
60,0,109,109,33,highrate
60,0,118,118,33,highrate
60,0,100,100,34,highrate
60,0,117,117,33,highrate
60,0,138,138,12,highrate
60,0,160,160,33,highrate
60,0,121,121,33,highrate
60,0,55,55,24,highrate
60,0,125,125,33,highrate
60,0,46,46,21,highrate
60,0,107,107,38,highrate
60,0,108,108,34,highrate
60,0,21,21,21,highrate
60,0,114,114,33,highrate
60,0,143,143,33,highrate
60,0,112,112,34,highrate
60,0,159,159,33,highrate
60,0,145,145,33,highrate
60,0,85,85,40,highrate
60,0,5,5,5,highrate
60,0,121,121,33,highrate
60,0,141,141,33,highrate
60,0,109,109,33,highrate
60,0,156,156,33,highrate
60,0,159,159,33,highrate
60,0,114,114,33,highrate
60,0,84,84,40,highrate
60,0,121,121,33,highrate
60,0,153,153,33,highrate
60,0,85,85,42,highrate
60,0,153,153,33,highrate
60,0,103,103,34,highrate
60,0,164,164,33,highrate
60,0,139,139,20,highrate
60,0,1,1,1,highrate
60,0,104,104,34,highrate
60,0,141,141,34,highrate
60,0,138,138,16,highrate
60,0,141,141,21,highrate
60,0,141,141,33,highrate
60,0,144,144,33,highrate
60,0,112,112,33,highrate
60,0,138,138,12,highrate
60,0,111,111,34,highrate
60,0,114,114,33,highrate
60,0,123,123,33,highrate
60,0,130,130,33,highrate
60,0,114,114,33,highrate
60,0,90,90,42,highrate
60,0,137,137,20,highrate
60,0,105,105,33,highrate
60,0,92,92,42,highrate
60,0,107,107,33,highrate
60,0,113,113,34,highrate
60,0,117,117,33,highrate
60,0,112,112,34,highrate
60,0,111,111,34,highrate
60,0,145,145,33,highrate
60,0,91,91,42,highrate
60,0,141,141,23,highrate
60,0,99,99,42,highrate
60,0,109,109,33,highrate
60,0,108,108,33,highrate
60,0,100,100,42,highrate
60,0,78,78,43,highrate
60,0,103,103,33,highrate
60,0,108,108,40,highrate
60,0,135,135,18,highrate
60,0,125,125,33,highrate
60,0,82,82,40,highrate
60,0,108,108,33,highrate
60,0,52,52,24,highrate
60,0,142,142,33,highrate
60,0,33,33,30,highrate
60,0,27,27,27,highrate
60,0,161,161,33,highrate
60,0,162,162,33,highrate
60,0,110,110,33,highrate
60,0,108,108,34,highrate
60,0,139,139,17,highrate
60,0,119,119,35,highrate
60,0,108,108,34,highrate
60,0,151,151,33,highrate
60,0,102,102,33,highrate
60,0,106,106,34,highrate
60,0,82,82,42,highrate
60,0,153,153,33,highrate
60,0,142,142,33,highrate
60,0,108,108,33,highrate
60,0,101,101,34,highrate
60,0,118,118,34,highrate
60,0,103,103,33,highrate
60,0,105,105,33,highrate
60,0,18,18,18,highrate
60,0,109,109,40,highrate
60,0,151,151,33,highrate
60,0,114,114,33,highrate
60,0,113,113,33,highrate
60,0,106,106,39,highrate
60,0,121,121,33,highrate
60,0,117,117,33,highrate
60,0,105,105,33,highrate
60,0,111,111,34,highrate
60,0,41,41,36,highrate
60,0,86,86,40,highrate
60,0,66,66,26,highrate
60,0,116,116,33,highrate
60,0,6,6,6,highrate
60,0,138,138,15,highrate
60,0,112,112,33,highrate
60,0,96,96,43,highrate
60,0,128,128,33,highrate
60,0,116,116,34,highrate
60,0,136,136,33,highrate
60,0,160,160,33,highrate
60,0,141,141,34,highrate
60,0,131,131,33,highrate
60,0,130,130,33,highrate
60,0,115,115,34,highrate
60,0,105,105,33,highrate
60,0,130,130,33,highrate
60,0,97,97,43,highrate
60,0,142,142,33,highrate
60,0,2,2,2,highrate
60,0,125,125,33,highrate
60,0,153,153,33,highrate
60,0,137,137,11,highrate
60,0,120,120,33,highrate
60,0,141,141,25,highrate
60,0,37,37,34,highrate
60,0,72,72,28,highrate
