% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,14,16,18-19,21-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {highrate,lowrate}

@data
udp,OTH,60,108,1,0,33,1,0.97,0,highrate
udp,OTH,60,112,1,0,33,1,0.97,0,highrate
udp,OTH,60,101,1,0,34,1,0.97,0,highrate
udp,OTH,60,116,1,0,37,1,0.97,0,highrate
udp,OTH,60,102,1,0,33,1,0.97,0,highrate
udp,OTH,60,158,1,0,33,1,0.97,0,highrate
udp,OTH,60,160,1,0,33,1,0.97,0,highrate
udp,OTH,60,86,1,0,42,1,0.98,0,highrate
udp,OTH,60,87,1,0,41,1,0.98,0,highrate
udp,OTH,60,107,1,0,40,1,0.98,0,highrate
udp,OTH,60,83,1,0,39,1,0.97,0,highrate
udp,OTH,60,83,1,0,40,1,0.98,0,highrate
udp,OTH,60,110,1,0,33,1,0.97,0,highrate
udp,OTH,60,103,1,0,34,1,0.97,0,highrate
udp,OTH,60,143,1,0,33,1,0.97,0,highrate
udp,OTH,60,111,1,0,33,1,0.97,0,highrate
udp,OTH,60,83,1,0,41,1,0.98,0,highrate
udp,OTH,60,119,1,0,33,1,0.97,0,highrate
udp,OTH,60,111,1,0,34,1,0.97,0,highrate
udp,OTH,60,106,1,0,33,1,0.97,0,highrate
udp,OTH,60,112,1,0,33,1,0.97,0,highrate
udp,OTH,60,121,1,0,33,1,0.97,0,highrate
udp,OTH,60,164,1,0,33,1,0.97,0,highrate
udp,OTH,60,136,1,0,18,1,0.95,0,highrate
udp,OTH,60,113,1,0,34,1,0.97,0,highrate
udp,OTH,60,141,1,0,35,1,0.97,0,highrate
udp,OTH,60,86,1,0,42,1,0.98,0,highrate
udp,OTH,60,79,1,0,41,1,0.98,0,highrate
udp,OTH,60,106,1,0,33,1,0.97,0,highrate
udp,OTH,60,117,1,0,33,1,0.97,0,highrate
udp,OTH,60,117,1,0,33,1,0.97,0,highrate
udp,OTH,60,121,1,0,33,1,0.97,0,highrate
udp,OTH,60,125,1,0,33,1,0.97,0,highrate
udp,OTH,60,63,1,0,26,1,0.96,0,highrate
udp,OTH,60,164,1,0,33,1,0.97,0,highrate
udp,OTH,60,148,1,0,33,1,0.97,0,highrate
udp,OTH,60,108,1,0,34,1,0.97,0,highrate
udp,OTH,60,48,1,0,22,1,0.96,0,highrate
udp,OTH,60,120,1,0,33,1,0.97,0,highrate
udp,OTH,60,139,1,0,33,1,0.97,0,highrate
udp,OTH,60,139,1,0,19,1,0.95,0,highrate
udp,OTH,60,160,1,0,33,1,0.97,0,highrate
