% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,OTH,66,2920,2920,0,53,53,normal
tcp,SF,946,2364,2364,0,100,100,normal
tcp,SF,946,1462,1462,0,100,100,normal
tcp,SF,946,2167,2167,0,100,100,normal
tcp,SF,946,1152,1152,0,100,100,normal
tcp,SF,946,2151,2151,0,100,100,normal
tcp,SF,946,2485,2485,0,100,100,normal
tcp,SF,880,2158,2158,0,86,86,normal
tcp,OTH,66,2734,2734,0,51,51,normal
tcp,OTH,66,5880,5880,0,55,55,normal
tcp,SF,880,1943,1943,0,100,100,normal
tcp,SF,946,2102,2102,0,100,100,normal
tcp,OTH,66,5517,5517,0,100,100,normal
tcp,OTH,146,2586,2586,0,69,69,normal
tcp,OTH,66,3586,3586,0,59,59,normal
tcp,SF,946,1881,1881,0,100,100,normal
tcp,SF,946,4000,4000,0,98,98,normal
tcp,SF,1120,2065,2065,0,100,100,normal
tcp,SF,946,1877,1877,0,100,100,normal
tcp,OTH,66,3832,3832,0,31,31,normal
tcp,OTH,66,3361,3361,0,49,49,normal
tcp,OTH,146,4296,4296,0,46,46,normal
tcp,SF,946,3517,3517,0,100,100,normal
tcp,OTH,66,1883,1883,0,39,39,normal
tcp,OTH,66,5163,5163,0,42,42,normal
tcp,OTH,66,4487,4487,0,49,49,normal
tcp,OTH,66,3157,3157,0,40,40,normal
tcp,SF,1024,3014,3014,0,55,55,normal
tcp,OTH,66,3988,3988,0,48,48,normal
tcp,SF,946,2202,2202,0,100,100,normal
tcp,OTH,66,5315,5315,0,73,73,normal
tcp,SF,946,502,502,0,97,97,normal
tcp,SF,946,3874,3874,0,100,100,normal
tcp,OTH,66,4496,4496,0,47,47,normal
tcp,OTH,66,2721,2721,0,46,46,normal
tcp,SF,946,2101,2101,0,100,100,normal
tcp,SF,946,2700,2700,0,78,78,normal
tcp,SF,946,2108,2108,0,100,100,normal
tcp,SF,946,1112,1112,0,100,100,normal
tcp,SF,946,3953,3953,0,100,100,normal
tcp,OTH,66,2731,2731,0,48,48,normal
tcp,SF,1024,3068,3068,0,69,69,normal
tcp,SF,880,2995,2995,0,100,100,normal
tcp,SF,946,2815,2815,0,100,100,normal
tcp,SF,946,3883,3883,0,100,100,normal
tcp,SF,946,2161,2161,0,100,100,normal
tcp,SF,946,3211,3211,0,96,96,normal
tcp,SF,946,2394,2394,0,100,100,normal
tcp,SF,946,1303,1303,0,100,100,normal
tcp,SF,946,2453,2453,0,100,100,normal
tcp,SF,1120,2077,2077,0,100,100,normal
tcp,SF,946,2223,2223,0,100,100,normal
tcp,OTH,66,3248,3248,0,44,44,normal
tcp,OTH,66,3355,3355,0,52,52,normal
tcp,SF,1012,3259,3259,0,92,92,normal
tcp,OTH,78,3574,3574,0,67,67,normal
tcp,SF,946,1929,1929,0,59,59,normal
tcp,OTH,66,3118,3118,0,30,30,normal
tcp,SF,946,1883,1883,0,99,99,normal
tcp,SF,946,3937,3937,0,42,42,normal
tcp,OTH,66,3019,3019,0,39,39,normal
tcp,S2,1024,2184,2184,0,100,100,normal
tcp,SF,946,1922,1922,0,100,100,normal
tcp,OTH,66,4102,4102,0,62,62,normal
tcp,SF,946,2642,2642,0,100,100,normal
tcp,OTH,66,5039,5039,0,47,47,normal
tcp,OTH,66,4673,4673,0,53,53,normal
tcp,SF,946,591,591,0,100,100,normal
tcp,SF,946,3097,3097,0,100,100,normal
tcp,SF,946,2325,2325,0,58,58,normal
tcp,S3,1024,3123,3123,0,100,100,normal
tcp,OTH,66,4980,4980,0,38,38,normal
tcp,OTH,66,2113,2113,0,51,51,normal
tcp,OTH,66,3064,3064,0,83,83,normal
tcp,OTH,66,5636,5636,0,40,40,normal
tcp,SF,946,2229,2229,0,100,100,normal
tcp,SF,946,2191,2191,0,98,98,normal
tcp,OTH,66,2917,2917,0,47,47,normal
tcp,SF,946,2520,2520,0,100,100,normal
tcp,SF,946,2541,2541,0,100,100,normal
tcp,OTH,66,4943,4943,0,43,43,normal
tcp,OTH,66,2918,2918,0,48,48,normal
tcp,SF,880,2091,2091,0,100,100,normal
tcp,OTH,66,4182,4182,0,45,45,normal
tcp,SF,1120,2259,2259,0,100,100,normal
tcp,SF,946,2614,2614,0,100,100,normal
tcp,OTH,66,4497,4497,0,47,47,normal
tcp,SF,946,3168,3168,0,100,100,normal
tcp,SF,958,2435,2435,0,86,86,normal
tcp,SF,946,2706,2706,0,89,89,normal
tcp,OTH,66,2824,2824,0,50,50,normal
tcp,SF,946,636,636,0,100,100,normal
tcp,S1,74,2688,2688,0,100,100,normal
tcp,OTH,66,3160,3160,0,47,47,normal
tcp,OTH,66,5842,5842,0,50,50,normal
