% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,12,21,27'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,OTH,2920,0,0.13,normal
0,SF,2364,0,0,normal
0,SF,1462,0,0,normal
0,SF,2167,0,0,normal
0,SF,1152,0,0,normal
0,SF,2151,0,0,normal
0,SF,2485,0,0,normal
0,SF,2158,0,0,normal
0,OTH,2734,0,0.13,normal
0,OTH,5880,0,0,normal
0,SF,1943,0,0,normal
0,SF,2102,0,0,normal
0,OTH,5517,0,0.01,normal
0,OTH,2586,0,0.01,normal
0,OTH,3586,0,0.07,normal
0,SF,1881,0,0,normal
0,SF,4000,0,0,normal
0,SF,2065,0,0,normal
0,SF,1877,0,0,normal
0,OTH,3832,0,0.12,normal
0,OTH,3361,0,0.14,normal
0,OTH,4296,0,0,normal
0,SF,3517,0,0,normal
0,OTH,1883,0,0.12,normal
0,OTH,5163,0,0,normal
0,OTH,4487,0,0.1,normal
0,OTH,3157,0,0.15,normal
0,SF,3014,0,0,normal
0,OTH,3988,0,0,normal
0,SF,2202,0,0,normal
0,OTH,5315,0,0.01,normal
0,SF,502,0,0,normal
0,SF,3874,0,0,normal
0,OTH,4496,0,0.1,normal
0,OTH,2721,0,0.13,normal
0,SF,2101,0,0,normal
0,SF,2700,0,0,normal
0,SF,2108,0,0,normal
0,SF,1112,0,0,normal
0,SF,3953,0,0,normal
0,OTH,2731,0,0.08,normal
0,SF,3068,0,0,normal
0,SF,2995,0,0,normal
0,SF,2815,0,0,normal
0,SF,3883,0,0,normal
0,SF,2161,0,0,normal
0,SF,3211,0,0,normal
0,SF,2394,0,0,normal
0,SF,1303,0,0,normal
0,SF,2453,0,0,normal
0,SF,2077,0,0,normal
0,SF,2223,0,0,normal
0,OTH,3248,0,0.04,normal
0,OTH,3355,0,0.06,normal
0,SF,3259,0,0,normal
0,OTH,3574,0,0,normal
0,SF,1929,0,0,normal
0,OTH,3118,0,0.23,normal
0,SF,1883,0,0,normal
0,SF,3937,0,0,normal
0,OTH,3019,0,0.17,normal
0,S2,2184,0,0,normal
0,SF,1922,0,0,normal
0,OTH,4102,0,0.08,normal
0,SF,2642,0,0,normal
0,OTH,5039,0,0,normal
0,OTH,4673,0,0.11,normal
0,SF,591,0,0,normal
1,SF,3097,0,0,normal
0,SF,2325,0,0,normal
0,S3,3123,0,0,normal
0,OTH,4980,0,0,normal
0,OTH,2113,0,0.15,normal
0,OTH,3064,0,0.02,normal
0,OTH,5636,0,0.2,normal
0,SF,2229,0,0,normal
0,SF,2191,0,0,normal
0,OTH,2917,0,0.15,normal
0,SF,2520,0,0,normal
0,SF,2541,0,0,normal
0,OTH,4943,0,0.02,normal
0,OTH,2918,0,0.16,normal
0,SF,2091,0,0,normal
0,OTH,4182,0,0.11,normal
0,SF,2259,0,0,normal
0,SF,2614,0,0,normal
0,OTH,4497,0,0.12,normal
0,SF,3168,0,0,normal
0,SF,2435,0,0,normal
0,SF,2706,0,0,normal
0,OTH,2824,0,0.02,normal
0,SF,636,0,0,normal
0,S1,2688,0,0,normal
0,OTH,3160,0,0.02,normal
0,OTH,5842,0,0.08,normal
0,SF,3181,0,0,normal
0,OTH,2962,0,0.06,normal
0,SF,2569,0,0,normal
0,SF,2003,0,0,normal
0,OTH,3337,0,0.07,normal
0,SF,3051,0,0,normal
0,OTH,2831,0,0,normal
0,OTH,2529,0,0.02,normal
0,SF,4042,0,0,normal
0,SF,3084,0,0,normal
0,OTH,3402,0,0.02,normal
0,SF,2353,0,0,normal
0,SF,3452,0,0,normal
0,OTH,5952,0,0.12,normal
0,SF,2246,0,0,normal
0,SF,3876,0,0,normal
0,SF,1344,0,0,normal
0,SF,2549,0,0,normal
0,SF,1932,0,0,normal
0,SF,3944,0,0,normal
0,SF,2182,0,0,normal
0,OTH,3272,0,0.06,normal
0,OTH,4674,0,0.13,normal
0,OTH,5914,0,0.16,normal
0,OTH,3498,0,0.13,normal
0,SF,566,0,0,normal
0,SF,2435,0,0,normal
0,OTH,5678,0,0,normal
0,OTH,2884,0,0.12,normal
0,SF,3338,0,0,normal
0,SF,1747,0,0,normal
0,SF,3372,0,0,normal
0,OTH,2671,0,0.15,normal
0,OTH,1495,0,0,normal
0,OTH,3291,0,0.04,normal
0,OTH,3153,0,0.05,normal
0,SF,2218,0,0,normal
0,OTH,2999,0,0.02,normal
0,SF,2386,0,0,normal
0,OTH,3159,0,0,normal
0,OTH,5058,0,0.16,normal
0,OTH,3525,0,0,normal
0,OTH,4960,0,0.1,normal
0,SF,3083,0,0,normal
0,OTH,2840,0,0.05,normal
0,SF,3178,0,0,normal
1,SF,1969,0,0,normal
0,OTH,5129,0,0,normal
0,OTH,3283,0,0.13,normal
0,SF,1512,0,0,normal
0,OTH,5246,0,0.07,normal
0,OTH,3287,0,0.17,normal
0,OTH,3905,0,0.06,normal
0,OTH,3849,0,0,normal
0,SF,1998,0,0,normal
0,OTH,2729,0,0.02,normal
0,OTH,4862,0,0.02,normal
0,OTH,2700,0,0.11,normal
0,SF,2211,0,0,normal
0,SF,5668,0,0,normal
0,S1,2677,0,0,normal
0,SF,467,0,0,normal
0,OTH,5364,0,0.04,normal
0,OTH,3393,0,0.01,normal
0,SF,2081,0,0,normal
0,SF,1835,0,0,normal
0,OTH,2985,0,0.04,normal
0,SF,3886,0,0,normal
0,OTH,2344,0,0,normal
0,SF,2150,0,0,normal
1,SF,1444,0,0,normal
0,SF,3513,0,0,normal
0,OTH,2431,0,0.02,normal
0,SF,2109,0,0,normal
0,OTH,5880,0,0,normal
0,SF,2435,0,0,normal
0,OTH,4911,0,0.02,normal
0,SF,2266,0,0,normal
0,SF,1655,0,0,normal
0,OTH,4961,0,0.02,normal
0,OTH,3057,0,0,normal
0,SF,3010,0,0,normal
0,OTH,2670,0,0.02,normal
0,OTH,4837,0,0,normal
0,SF,1749,0,0,normal
0,OTH,3397,0,0.06,normal
0,OTH,5154,0,0.02,normal
0,OTH,5787,0,0,normal
0,OTH,5743,0,0.08,normal
0,SF,899,0,0,normal
0,SF,2726,0,0,normal
0,SF,1019,0,0,normal
0,SF,3346,0,0,normal
0,SF,3172,0,0,normal
0,SF,2913,0,0,normal
0,SF,3296,0,0,normal
0,SF,3533,0,0,normal
0,OTH,2498,0,0.03,normal
0,SF,2255,0,0,normal
0,SF,2205,0,0,normal
0,SF,2149,0,0,normal
