% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,9,11,15,17,23,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,60,0,108,0,0,33,0,udpFlood
udp,60,0,112,0,0,33,0,udpFlood
udp,60,0,101,0,0,34,0,udpFlood
udp,60,0,116,0,0,37,0,udpFlood
udp,60,0,102,0,0,33,0,udpFlood
udp,60,0,158,0,0,33,0,udpFlood
udp,60,0,160,0,0,33,0,udpFlood
udp,60,0,86,0,0,42,0,udpFlood
udp,60,0,87,0,0,41,0,udpFlood
udp,60,0,107,0,0,40,0,udpFlood
udp,60,0,83,0,0,39,0,udpFlood
udp,60,0,83,0,0,40,0,udpFlood
udp,60,0,110,0,0,33,0,udpFlood
udp,60,0,103,0,0,34,0,udpFlood
udp,60,0,143,0,0,33,0,udpFlood
udp,60,0,111,0,0,33,0,udpFlood
udp,60,0,83,0,0,41,0,udpFlood
udp,60,0,119,0,0,33,0,udpFlood
udp,60,0,111,0,0,34,0,udpFlood
udp,60,0,106,0,0,33,0,udpFlood
udp,60,0,112,0,0,33,0,udpFlood
udp,60,0,121,0,0,33,0,udpFlood
udp,60,0,164,0,0,33,0,udpFlood
udp,60,0,136,0,0,18,0,udpFlood
udp,60,0,113,0,0,34,0,udpFlood
udp,60,0,141,0,0,35,0,udpFlood
udp,60,0,86,0,0,42,0,udpFlood
udp,60,0,79,0,0,41,0,udpFlood
udp,60,0,106,0,0,33,0,udpFlood
udp,60,0,117,0,0,33,0,udpFlood
udp,60,0,117,0,0,33,0,udpFlood
udp,60,0,121,0,0,33,0,udpFlood
udp,60,0,125,0,0,33,0,udpFlood
udp,60,0,63,0,0,26,0,udpFlood
udp,60,0,164,0,0,33,0,udpFlood
udp,60,0,148,0,0,33,0,udpFlood
udp,60,0,108,0,0,34,0,udpFlood
udp,60,0,48,0,0,22,0,udpFlood
udp,60,0,120,0,0,33,0,udpFlood
udp,60,0,139,0,0,33,0,udpFlood
