% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,108,33,udpFlood
udp,OTH,112,33,udpFlood
udp,OTH,101,34,udpFlood
udp,OTH,116,37,udpFlood
udp,OTH,102,33,udpFlood
udp,OTH,158,33,udpFlood
udp,OTH,160,33,udpFlood
udp,OTH,86,42,udpFlood
udp,OTH,87,41,udpFlood
udp,OTH,107,40,udpFlood
udp,OTH,83,39,udpFlood
udp,OTH,83,40,udpFlood
udp,OTH,110,33,udpFlood
udp,OTH,103,34,udpFlood
udp,OTH,143,33,udpFlood
udp,OTH,111,33,udpFlood
udp,OTH,83,41,udpFlood
udp,OTH,119,33,udpFlood
udp,OTH,111,34,udpFlood
udp,OTH,106,33,udpFlood
udp,OTH,112,33,udpFlood
udp,OTH,121,33,udpFlood
udp,OTH,164,33,udpFlood
udp,OTH,136,18,udpFlood
udp,OTH,113,34,udpFlood
udp,OTH,141,35,udpFlood
udp,OTH,86,42,udpFlood
udp,OTH,79,41,udpFlood
udp,OTH,106,33,udpFlood
udp,OTH,117,33,udpFlood
udp,OTH,117,33,udpFlood
udp,OTH,121,33,udpFlood
udp,OTH,125,33,udpFlood
udp,OTH,63,26,udpFlood
udp,OTH,164,33,udpFlood
udp,OTH,148,33,udpFlood
udp,OTH,108,34,udpFlood
udp,OTH,48,22,udpFlood
udp,OTH,120,33,udpFlood
udp,OTH,139,33,udpFlood
udp,OTH,139,19,udpFlood
udp,OTH,160,33,udpFlood
udp,OTH,138,33,udpFlood
udp,OTH,106,40,udpFlood
udp,OTH,145,33,udpFlood
udp,OTH,110,33,udpFlood
udp,OTH,73,29,udpFlood
udp,OTH,30,27,udpFlood
udp,OTH,110,33,udpFlood
udp,OTH,139,18,udpFlood
udp,OTH,60,25,udpFlood
udp,OTH,86,40,udpFlood
udp,OTH,108,33,udpFlood
udp,OTH,140,33,udpFlood
udp,OTH,160,33,udpFlood
udp,OTH,92,42,udpFlood
udp,OTH,111,33,udpFlood
udp,OTH,104,39,udpFlood
udp,OTH,95,42,udpFlood
udp,OTH,112,33,udpFlood
udp,OTH,141,26,udpFlood
udp,OTH,99,41,udpFlood
udp,OTH,110,34,udpFlood
udp,OTH,143,33,udpFlood
udp,OTH,160,33,udpFlood
udp,OTH,85,40,udpFlood
udp,OTH,141,34,udpFlood
udp,OTH,109,34,udpFlood
udp,OTH,137,33,udpFlood
udp,OTH,12,12,udpFlood
udp,OTH,136,10,udpFlood
udp,OTH,138,21,udpFlood
udp,OTH,149,33,udpFlood
udp,OTH,114,34,udpFlood
udp,OTH,153,33,udpFlood
udp,OTH,114,34,udpFlood
udp,OTH,145,33,udpFlood
udp,OTH,121,33,udpFlood
udp,OTH,150,33,udpFlood
udp,OTH,106,34,udpFlood
udp,OTH,120,33,udpFlood
udp,OTH,29,26,udpFlood
udp,OTH,116,33,udpFlood
udp,OTH,84,41,udpFlood
udp,OTH,86,42,udpFlood
udp,OTH,102,33,udpFlood
udp,OTH,78,34,udpFlood
udp,OTH,69,27,udpFlood
udp,OTH,3,3,udpFlood
udp,OTH,14,14,udpFlood
udp,OTH,107,33,udpFlood
udp,OTH,165,33,udpFlood
udp,OTH,112,34,udpFlood
udp,OTH,106,34,udpFlood
udp,OTH,110,34,udpFlood
udp,OTH,23,23,udpFlood
udp,OTH,102,33,udpFlood
udp,OTH,131,33,udpFlood
udp,OTH,125,33,udpFlood
udp,OTH,26,26,udpFlood
udp,OTH,77,33,udpFlood
udp,OTH,109,33,udpFlood
udp,OTH,118,33,udpFlood
udp,OTH,100,34,udpFlood
udp,OTH,117,33,udpFlood
udp,OTH,138,12,udpFlood
udp,OTH,160,33,udpFlood
udp,OTH,121,33,udpFlood
udp,OTH,55,24,udpFlood
udp,OTH,125,33,udpFlood
udp,OTH,46,21,udpFlood
udp,OTH,107,38,udpFlood
udp,OTH,108,34,udpFlood
udp,OTH,21,21,udpFlood
udp,OTH,114,33,udpFlood
udp,OTH,143,33,udpFlood
udp,OTH,112,34,udpFlood
udp,OTH,159,33,udpFlood
udp,OTH,145,33,udpFlood
udp,OTH,85,40,udpFlood
udp,OTH,5,5,udpFlood
udp,OTH,121,33,udpFlood
udp,OTH,141,33,udpFlood
udp,OTH,109,33,udpFlood
udp,OTH,156,33,udpFlood
udp,OTH,159,33,udpFlood
udp,OTH,114,33,udpFlood
udp,OTH,84,40,udpFlood
udp,OTH,121,33,udpFlood
udp,OTH,153,33,udpFlood
udp,OTH,85,42,udpFlood
udp,OTH,153,33,udpFlood
udp,OTH,103,34,udpFlood
udp,OTH,164,33,udpFlood
udp,OTH,139,20,udpFlood
udp,OTH,1,1,udpFlood
udp,OTH,104,34,udpFlood
udp,OTH,141,34,udpFlood
udp,OTH,138,16,udpFlood
udp,OTH,141,21,udpFlood
udp,OTH,141,33,udpFlood
udp,OTH,144,33,udpFlood
udp,OTH,112,33,udpFlood
udp,OTH,138,12,udpFlood
udp,OTH,111,34,udpFlood
udp,OTH,114,33,udpFlood
udp,OTH,123,33,udpFlood
udp,OTH,130,33,udpFlood
udp,OTH,114,33,udpFlood
udp,OTH,90,42,udpFlood
udp,OTH,137,20,udpFlood
udp,OTH,105,33,udpFlood
udp,OTH,92,42,udpFlood
udp,OTH,107,33,udpFlood
udp,OTH,113,34,udpFlood
udp,OTH,117,33,udpFlood
udp,OTH,112,34,udpFlood
udp,OTH,111,34,udpFlood
udp,OTH,145,33,udpFlood
udp,OTH,91,42,udpFlood
udp,OTH,141,23,udpFlood
udp,OTH,99,42,udpFlood
udp,OTH,109,33,udpFlood
udp,OTH,108,33,udpFlood
udp,OTH,100,42,udpFlood
udp,OTH,78,43,udpFlood
udp,OTH,103,33,udpFlood
udp,OTH,108,40,udpFlood
udp,OTH,135,18,udpFlood
udp,OTH,125,33,udpFlood
udp,OTH,82,40,udpFlood
udp,OTH,108,33,udpFlood
udp,OTH,52,24,udpFlood
udp,OTH,142,33,udpFlood
udp,OTH,33,30,udpFlood
udp,OTH,27,27,udpFlood
udp,OTH,161,33,udpFlood
udp,OTH,162,33,udpFlood
udp,OTH,110,33,udpFlood
udp,OTH,108,34,udpFlood
udp,OTH,139,17,udpFlood
udp,OTH,119,35,udpFlood
udp,OTH,108,34,udpFlood
udp,OTH,151,33,udpFlood
udp,OTH,102,33,udpFlood
udp,OTH,106,34,udpFlood
udp,OTH,82,42,udpFlood
udp,OTH,153,33,udpFlood
udp,OTH,142,33,udpFlood
udp,OTH,108,33,udpFlood
udp,OTH,101,34,udpFlood
udp,OTH,118,34,udpFlood
udp,OTH,103,33,udpFlood
udp,OTH,105,33,udpFlood
udp,OTH,18,18,udpFlood
udp,OTH,109,40,udpFlood
udp,OTH,151,33,udpFlood
udp,OTH,114,33,udpFlood
udp,OTH,113,33,udpFlood
udp,OTH,106,39,udpFlood
udp,OTH,121,33,udpFlood
udp,OTH,117,33,udpFlood
udp,OTH,105,33,udpFlood
udp,OTH,111,34,udpFlood
udp,OTH,41,36,udpFlood
udp,OTH,86,40,udpFlood
udp,OTH,66,26,udpFlood
udp,OTH,116,33,udpFlood
udp,OTH,6,6,udpFlood
udp,OTH,138,15,udpFlood
udp,OTH,112,33,udpFlood
udp,OTH,96,43,udpFlood
udp,OTH,128,33,udpFlood
udp,OTH,116,34,udpFlood
udp,OTH,136,33,udpFlood
udp,OTH,160,33,udpFlood
udp,OTH,141,34,udpFlood
udp,OTH,131,33,udpFlood
udp,OTH,130,33,udpFlood
udp,OTH,115,34,udpFlood
udp,OTH,105,33,udpFlood
udp,OTH,130,33,udpFlood
udp,OTH,97,43,udpFlood
udp,OTH,142,33,udpFlood
udp,OTH,2,2,udpFlood
udp,OTH,125,33,udpFlood
udp,OTH,153,33,udpFlood
udp,OTH,137,11,udpFlood
udp,OTH,120,33,udpFlood
udp,OTH,141,25,udpFlood
udp,OTH,37,34,udpFlood
udp,OTH,72,28,udpFlood
udp,OTH,61,25,udpFlood
udp,OTH,104,34,udpFlood
udp,OTH,108,33,udpFlood
udp,OTH,101,40,udpFlood
udp,OTH,110,33,udpFlood
udp,OTH,34,31,udpFlood
udp,OTH,135,33,udpFlood
udp,OTH,105,40,udpFlood
udp,OTH,142,33,udpFlood
udp,OTH,159,33,udpFlood
udp,OTH,153,33,udpFlood
udp,OTH,115,33,udpFlood
udp,OTH,141,27,udpFlood
udp,OTH,38,35,udpFlood
udp,OTH,15,15,udpFlood
udp,OTH,35,32,udpFlood
udp,OTH,113,33,udpFlood
udp,OTH,112,33,udpFlood
udp,OTH,142,33,udpFlood
udp,OTH,114,33,udpFlood
udp,OTH,162,33,udpFlood
