% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3,18,24,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {normal,attack}

@data
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,37,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,42,0,attack
OTH,41,0,attack
OTH,40,0,attack
OTH,39,0,attack
OTH,40,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,41,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,18,0,attack
OTH,34,0,attack
OTH,35,0,attack
OTH,42,0,attack
OTH,41,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,26,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,22,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,19,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,40,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,29,0,attack
OTH,27,0,attack
OTH,33,0,attack
OTH,18,0,attack
OTH,25,0,attack
OTH,40,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,42,0,attack
OTH,33,0,attack
OTH,39,0,attack
OTH,42,0,attack
OTH,33,0,attack
OTH,26,0,attack
OTH,41,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,40,0,attack
OTH,34,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,12,0,attack
OTH,10,0,attack
OTH,21,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,26,0,attack
OTH,33,0,attack
OTH,41,0,attack
OTH,42,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,27,0,attack
OTH,3,0,attack
OTH,14,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,34,0,attack
OTH,34,0,attack
OTH,23,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,26,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,12,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,24,0,attack
OTH,33,0,attack
OTH,21,0,attack
OTH,38,0,attack
OTH,34,0,attack
OTH,21,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,40,0,attack
OTH,5,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,40,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,42,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,20,0,attack
OTH,1,0,attack
OTH,34,0,attack
OTH,34,0,attack
OTH,16,0,attack
OTH,21,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,12,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,42,0,attack
OTH,20,0,attack
OTH,33,0,attack
OTH,42,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,42,0,attack
OTH,23,0,attack
OTH,42,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,42,0,attack
OTH,43,0,attack
OTH,33,0,attack
OTH,40,0,attack
OTH,18,0,attack
OTH,33,0,attack
OTH,40,0,attack
OTH,33,0,attack
OTH,24,0,attack
OTH,33,0,attack
OTH,30,0,attack
OTH,27,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,17,0,attack
OTH,35,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,42,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,18,0,attack
OTH,40,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,39,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,36,0,attack
OTH,40,0,attack
OTH,26,0,attack
OTH,33,0,attack
OTH,6,0,attack
OTH,15,0,attack
OTH,33,0,attack
OTH,43,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,43,0,attack
OTH,33,0,attack
OTH,2,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,11,0,attack
OTH,33,0,attack
OTH,25,0,attack
OTH,34,0,attack
OTH,28,0,attack
OTH,25,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,40,0,attack
OTH,33,0,attack
OTH,31,0,attack
OTH,33,0,attack
OTH,40,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,27,0,attack
OTH,35,0,attack
OTH,15,0,attack
OTH,32,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,0,0,attack
OTH,37,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,32,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,38,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,40,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,33,0,attack
OTH,22,0,attack
OTH,42,0,attack
OTH,22,0,attack
OTH,34,0,attack
OTH,33,0,attack
OTH,33,0,attack
