% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4,8,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
udp,60,108,udpFlood
udp,60,112,udpFlood
udp,60,101,udpFlood
udp,60,116,udpFlood
udp,60,102,udpFlood
udp,60,158,udpFlood
udp,60,160,udpFlood
udp,60,86,udpFlood
udp,60,87,udpFlood
udp,60,107,udpFlood
udp,60,83,udpFlood
udp,60,83,udpFlood
udp,60,110,udpFlood
udp,60,103,udpFlood
udp,60,143,udpFlood
udp,60,111,udpFlood
udp,60,83,udpFlood
udp,60,119,udpFlood
udp,60,111,udpFlood
udp,60,106,udpFlood
udp,60,112,udpFlood
udp,60,121,udpFlood
udp,60,164,udpFlood
udp,60,136,udpFlood
udp,60,113,udpFlood
udp,60,141,udpFlood
udp,60,86,udpFlood
udp,60,79,udpFlood
udp,60,106,udpFlood
udp,60,117,udpFlood
udp,60,117,udpFlood
udp,60,121,udpFlood
udp,60,125,udpFlood
udp,60,63,udpFlood
udp,60,164,udpFlood
udp,60,148,udpFlood
udp,60,108,udpFlood
udp,60,48,udpFlood
udp,60,120,udpFlood
udp,60,139,udpFlood
udp,60,139,udpFlood
udp,60,160,udpFlood
udp,60,138,udpFlood
udp,60,106,udpFlood
udp,60,145,udpFlood
udp,60,110,udpFlood
udp,60,73,udpFlood
udp,60,30,udpFlood
udp,60,110,udpFlood
udp,60,139,udpFlood
udp,60,60,udpFlood
udp,60,86,udpFlood
udp,60,108,udpFlood
udp,60,140,udpFlood
udp,60,160,udpFlood
udp,60,92,udpFlood
udp,60,111,udpFlood
udp,60,104,udpFlood
udp,60,95,udpFlood
udp,60,112,udpFlood
udp,60,141,udpFlood
udp,60,99,udpFlood
udp,60,110,udpFlood
udp,60,143,udpFlood
udp,60,160,udpFlood
udp,60,85,udpFlood
udp,60,141,udpFlood
udp,60,109,udpFlood
udp,60,137,udpFlood
udp,60,12,udpFlood
udp,60,136,udpFlood
udp,60,138,udpFlood
udp,60,149,udpFlood
udp,60,114,udpFlood
udp,60,153,udpFlood
udp,60,114,udpFlood
udp,60,145,udpFlood
udp,60,121,udpFlood
udp,60,150,udpFlood
udp,60,106,udpFlood
udp,60,120,udpFlood
udp,60,29,udpFlood
udp,60,116,udpFlood
udp,60,84,udpFlood
udp,60,86,udpFlood
udp,60,102,udpFlood
udp,60,78,udpFlood
udp,60,69,udpFlood
udp,60,3,udpFlood
udp,60,14,udpFlood
udp,60,107,udpFlood
udp,60,165,udpFlood
udp,60,112,udpFlood
udp,60,106,udpFlood
udp,60,110,udpFlood
udp,60,23,udpFlood
udp,60,102,udpFlood
udp,60,131,udpFlood
udp,60,125,udpFlood
udp,60,26,udpFlood
udp,60,77,udpFlood
udp,60,109,udpFlood
udp,60,118,udpFlood
udp,60,100,udpFlood
udp,60,117,udpFlood
udp,60,138,udpFlood
udp,60,160,udpFlood
udp,60,121,udpFlood
udp,60,55,udpFlood
udp,60,125,udpFlood
udp,60,46,udpFlood
udp,60,107,udpFlood
udp,60,108,udpFlood
udp,60,21,udpFlood
udp,60,114,udpFlood
udp,60,143,udpFlood
udp,60,112,udpFlood
udp,60,159,udpFlood
udp,60,145,udpFlood
udp,60,85,udpFlood
udp,60,5,udpFlood
udp,60,121,udpFlood
udp,60,141,udpFlood
udp,60,109,udpFlood
udp,60,156,udpFlood
udp,60,159,udpFlood
udp,60,114,udpFlood
udp,60,84,udpFlood
udp,60,121,udpFlood
udp,60,153,udpFlood
udp,60,85,udpFlood
udp,60,153,udpFlood
udp,60,103,udpFlood
udp,60,164,udpFlood
udp,60,139,udpFlood
udp,60,1,udpFlood
udp,60,104,udpFlood
udp,60,141,udpFlood
udp,60,138,udpFlood
udp,60,141,udpFlood
udp,60,141,udpFlood
udp,60,144,udpFlood
udp,60,112,udpFlood
udp,60,138,udpFlood
udp,60,111,udpFlood
udp,60,114,udpFlood
udp,60,123,udpFlood
udp,60,130,udpFlood
udp,60,114,udpFlood
udp,60,90,udpFlood
udp,60,137,udpFlood
udp,60,105,udpFlood
udp,60,92,udpFlood
udp,60,107,udpFlood
udp,60,113,udpFlood
udp,60,117,udpFlood
udp,60,112,udpFlood
udp,60,111,udpFlood
udp,60,145,udpFlood
udp,60,91,udpFlood
udp,60,141,udpFlood
udp,60,99,udpFlood
udp,60,109,udpFlood
udp,60,108,udpFlood
udp,60,100,udpFlood
udp,60,78,udpFlood
udp,60,103,udpFlood
udp,60,108,udpFlood
udp,60,135,udpFlood
udp,60,125,udpFlood
udp,60,82,udpFlood
udp,60,108,udpFlood
udp,60,52,udpFlood
udp,60,142,udpFlood
udp,60,33,udpFlood
udp,60,27,udpFlood
udp,60,161,udpFlood
udp,60,162,udpFlood
udp,60,110,udpFlood
udp,60,108,udpFlood
udp,60,139,udpFlood
udp,60,119,udpFlood
udp,60,108,udpFlood
udp,60,151,udpFlood
udp,60,102,udpFlood
udp,60,106,udpFlood
udp,60,82,udpFlood
udp,60,153,udpFlood
udp,60,142,udpFlood
udp,60,108,udpFlood
udp,60,101,udpFlood
udp,60,118,udpFlood
udp,60,103,udpFlood
udp,60,105,udpFlood
udp,60,18,udpFlood
udp,60,109,udpFlood
udp,60,151,udpFlood
udp,60,114,udpFlood
udp,60,113,udpFlood
udp,60,106,udpFlood
udp,60,121,udpFlood
udp,60,117,udpFlood
udp,60,105,udpFlood
udp,60,111,udpFlood
udp,60,41,udpFlood
udp,60,86,udpFlood
udp,60,66,udpFlood
udp,60,116,udpFlood
udp,60,6,udpFlood
udp,60,138,udpFlood
udp,60,112,udpFlood
udp,60,96,udpFlood
udp,60,128,udpFlood
udp,60,116,udpFlood
udp,60,136,udpFlood
udp,60,160,udpFlood
udp,60,141,udpFlood
udp,60,131,udpFlood
udp,60,130,udpFlood
udp,60,115,udpFlood
udp,60,105,udpFlood
udp,60,130,udpFlood
udp,60,97,udpFlood
udp,60,142,udpFlood
udp,60,2,udpFlood
udp,60,125,udpFlood
udp,60,153,udpFlood
udp,60,137,udpFlood
udp,60,120,udpFlood
udp,60,141,udpFlood
udp,60,37,udpFlood
udp,60,72,udpFlood
udp,60,61,udpFlood
udp,60,104,udpFlood
udp,60,108,udpFlood
udp,60,101,udpFlood
udp,60,110,udpFlood
udp,60,34,udpFlood
udp,60,135,udpFlood
udp,60,105,udpFlood
udp,60,142,udpFlood
udp,60,159,udpFlood
udp,60,153,udpFlood
udp,60,115,udpFlood
udp,60,141,udpFlood
udp,60,38,udpFlood
udp,60,15,udpFlood
udp,60,35,udpFlood
udp,60,113,udpFlood
udp,60,112,udpFlood
udp,60,142,udpFlood
udp,60,114,udpFlood
udp,60,162,udpFlood
udp,60,0,udpFlood
udp,60,115,udpFlood
udp,60,153,udpFlood
udp,60,146,udpFlood
udp,60,43,udpFlood
udp,60,108,udpFlood
udp,60,112,udpFlood
udp,60,108,udpFlood
udp,60,82,udpFlood
udp,60,105,udpFlood
udp,60,158,udpFlood
udp,60,125,udpFlood
udp,60,110,udpFlood
udp,60,84,udpFlood
udp,60,108,udpFlood
udp,60,140,udpFlood
udp,60,119,udpFlood
udp,60,45,udpFlood
udp,60,93,udpFlood
udp,60,47,udpFlood
udp,60,113,udpFlood
udp,60,118,udpFlood
udp,60,142,udpFlood
udp,60,146,udpFlood
udp,60,143,udpFlood
udp,60,113,udpFlood
udp,60,131,udpFlood
udp,60,145,udpFlood
udp,60,152,udpFlood
udp,60,7,udpFlood
udp,60,117,udpFlood
udp,60,80,udpFlood
udp,60,125,udpFlood
udp,60,20,udpFlood
udp,60,138,udpFlood
udp,60,141,udpFlood
udp,60,103,udpFlood
udp,60,138,udpFlood
udp,60,109,udpFlood
udp,60,16,udpFlood
udp,60,102,udpFlood
udp,60,81,udpFlood
udp,60,153,udpFlood
udp,60,40,udpFlood
udp,60,140,udpFlood
udp,60,87,udpFlood
udp,60,145,udpFlood
udp,60,80,udpFlood
udp,60,70,udpFlood
udp,60,134,udpFlood
udp,60,129,udpFlood
udp,60,126,udpFlood
udp,60,103,udpFlood
udp,60,142,udpFlood
udp,60,141,udpFlood
udp,60,141,udpFlood
udp,60,65,udpFlood
udp,60,131,udpFlood
udp,60,112,udpFlood
udp,60,153,udpFlood
udp,60,137,udpFlood
udp,60,64,udpFlood
udp,60,42,udpFlood
udp,60,141,udpFlood
udp,60,32,udpFlood
udp,60,24,udpFlood
udp,60,143,udpFlood
udp,60,114,udpFlood
udp,60,151,udpFlood
udp,60,54,udpFlood
udp,60,49,udpFlood
udp,60,146,udpFlood
udp,60,117,udpFlood
udp,60,110,udpFlood
udp,60,108,udpFlood
udp,60,142,udpFlood
udp,60,142,udpFlood
udp,60,133,udpFlood
udp,60,110,udpFlood
udp,60,8,udpFlood
udp,60,142,udpFlood
udp,60,79,udpFlood
udp,60,125,udpFlood
tcp,374,129,httpFlood
tcp,374,133,httpFlood
tcp,60,55,httpFlood
tcp,245,1037,httpFlood
tcp,377,848,httpFlood
tcp,66,22,httpFlood
tcp,60,139,httpFlood
udp,60,125,udpFlood
tcp,60,180,httpFlood
tcp,60,142,httpFlood
tcp,446,505,httpFlood
tcp,377,692,httpFlood
