% isAttack normal:	3000
% isAttack neptune:	1299
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {normal,neptune}

@data
0,tcp,REJ,0,0,0,0,282,20,0,0,1,1,0.07,0.06,0,255,20,0.08,0.07,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,8,5,1,1,0,0,0.62,0.5,0,255,66,0.26,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,2,1,0.5,1,0.5,0,0.5,1,0,255,2,0.01,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,220,5,1,1,0,0,0.02,0.07,0,255,5,0.02,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,70,18,1,1,0,0,0.26,0.06,0,255,49,0.19,0.03,0.02,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,20,19,0.95,1,0.05,0,0.95,0.1,0,255,57,0.22,0.04,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,11,11,1,1,0,0,1,0,0,255,11,0.04,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,23,10,1,1,0,0,0.43,0.17,0,255,62,0.24,0.02,0.01,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,296,19,0,0,1,1,0.06,0.05,0,255,19,0.07,0.06,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,24,9,1,1,0,0,0.38,0.17,0,255,39,0.15,0.05,0.01,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,271,11,0,0,1,1,0.04,0.06,0,255,11,0.04,0.07,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,51,13,1,1,0,0,0.25,0.08,0,255,53,0.21,0.03,0.02,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,15,9,1,1,0,0,0.6,0.27,0,255,60,0.24,0.04,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,65,16,1,1,0,0,0.25,0.06,0,255,56,0.22,0.02,0.02,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,208,4,1,1,0,0,0.02,0.07,0,255,4,0.02,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,35,9,0.97,1,0.03,0,0.26,0.14,0,255,44,0.17,0.05,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,291,17,0,0,1,1,0.06,0.06,0,255,17,0.07,0.08,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,1,1,1,1,0,0,1,0,0,255,13,0.05,0.05,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,5,5,1,1,0,0,1,0,0,255,57,0.22,0.04,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,235,5,1,1,0,0,0.02,0.06,0,255,5,0.02,0.06,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,7,5,1,1,0,0,0.71,0.43,0,255,66,0.26,0.02,0.01,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,273,8,0,0,1,1,0.03,0.06,0,255,8,0.03,0.06,0,0,0,0,1,1,neptune
0,tcp,REJ,0,0,0,0,262,15,0,0,1,1,0.06,0.06,0,255,15,0.06,0.08,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,3,1,1,1,0,0,0.33,0.67,0,255,57,0.22,0.04,0,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,211,5,0,0,1,1,0.02,0.07,0,255,5,0.02,0.08,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,42,12,1,1,0,0,0.29,0.1,0,255,32,0.13,0.06,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,255,3,1,0.67,0,0,0.01,0.07,0.67,255,2,0.01,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,206,6,1,1,0,0,0.03,0.06,0,255,12,0.05,0.08,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,191,16,1,1,0,0,0.08,0.05,0,255,16,0.06,0.05,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,7,6,0.71,0.83,0.29,0.17,0.71,0.43,0.33,255,46,0.18,0.04,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,129,21,1,1,0,0,0.16,0.05,0,255,21,0.08,0.05,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,187,14,1,1,0,0,0.07,0.05,0,255,14,0.05,0.05,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,30,11,0.97,0.91,0.03,0.09,0.33,0.17,0.18,255,30,0.12,0.05,0.02,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,9,4,1,1,0,0,0.44,0.33,0,249,64,0.26,0.02,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,257,33,1,0.48,0,0,0.06,0.06,0.06,255,16,0.06,0.06,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,68,19,1,1,0,0,0.28,0.06,0,255,59,0.23,0.03,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,15,2,1,1,0,0,0.13,0.33,0,255,2,0.01,0.09,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,6,6,1,1,0,0,1,0,0,255,6,0.02,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,289,9,1,1,0,0,0.03,0.06,0,255,7,0.03,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,229,1,1,1,0,0,0,0.06,0,255,1,0,0.06,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,19,20,1,0.95,0,0.05,1,0,0.1,19,19,1,0,0.05,0,1,1,0,0,neptune
0,tcp,REJ,0,0,0,0,298,20,0,0,1,1,0.07,0.06,0,255,20,0.08,0.07,0,0,0,0,1,1,neptune
0,tcp,S0,0,0,0,0,58,17,1,1,0,0,0.29,0.07,0,255,41,0.16,0.05,0.01,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,256,19,1,1,0,0,0.07,0.06,0,255,20,0.08,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,246,19,1,1,0,0,0.08,0.07,0,255,19,0.07,0.07,0,0,1,1,0,0,neptune
0,tcp,S0,0,0,0,0,9,5,1,1,0,0,0.56,0.44,0,251,65,0.26,0.02,0.01,0,0.99,1,0,0,neptune
0,tcp,S0,0,0,0,0,39,10,1,1,0,0,0.26,0.1,0,255,58,0.23,0.04,0.01,0,1,1,0,0,neptune
