@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,attack}

@data
SF,946,2744,100,normal
OTH,66,3809,42,normal
OTH,66,5672,40,normal
OTH,66,5031,47,normal
SF,946,1977,100,normal
SF,946,1962,100,normal
OTH,66,5818,42,normal
SF,946,2868,100,normal
SF,946,1126,100,normal
SF,880,2467,100,normal
OTH,66,4847,41,normal
SF,946,2518,100,normal
OTH,66,4759,46,normal
SF,946,2050,100,normal
SF,880,885,99,normal
SF,946,3259,100,normal
SF,946,1938,100,normal
SF,946,2322,100,normal
S1,286,2310,100,normal
SF,880,2262,100,normal
SF,946,4252,60,normal
OTH,66,3090,57,normal
OTH,78,2465,85,normal
OTH,66,5143,43,normal
SF,352,3040,70,normal
SF,946,2185,100,normal
S1,140,2467,100,normal
OTH,78,3071,97,normal
OTH,66,5829,44,normal
OTH,66,5056,53,normal
OTH,66,2750,51,normal
OTH,66,2928,37,normal
OTH,78,2854,88,normal
SF,946,3945,100,normal
SF,946,1256,100,normal
OTH,66,3100,43,normal
OTH,66,5097,41,normal
SF,946,2050,100,normal
SF,946,2982,100,normal
SF,946,2382,98,normal
SF,880,2680,43,normal
OTH,66,2654,47,normal
SF,946,1655,100,normal
S2,946,1916,100,normal
OTH,66,3007,59,normal
OTH,146,2605,68,normal
SF,946,1994,100,normal
SF,946,3176,100,normal
SF,946,2200,100,normal
SF,946,2067,99,normal
OTH,66,5097,46,normal
OTH,66,5876,45,normal
SF,946,1198,100,normal
S2,752,2834,100,normal
SF,946,1781,100,normal
OTH,66,2859,50,normal
SF,1120,1941,87,normal
SF,946,983,100,normal
OTH,66,2938,50,normal
SF,946,2367,86,normal
RSTR,1768,1556,99,normal
OTH,66,5930,46,normal
OTH,66,3324,44,normal
OTH,66,5549,92,normal
SF,946,2058,98,normal
OTH,66,3588,56,normal
OTH,78,5958,46,normal
SF,946,2217,100,normal
SF,946,2151,100,normal
OTH,66,4131,50,normal
SF,946,2192,98,normal
OTH,66,3134,37,normal
OTH,66,1475,60,normal
OTH,66,3126,53,normal
SF,880,3223,98,normal
OTH,66,4284,42,normal
SF,946,2585,54,normal
SF,946,2162,100,normal
SF,946,2278,100,normal
SF,946,2127,86,normal
SF,946,2067,100,normal
OTH,66,3250,48,normal
OTH,66,3390,52,normal
OTH,66,3928,23,normal
OTH,66,5188,72,normal
S3,946,1773,100,normal
SF,946,606,100,normal
SF,946,2514,100,normal
OTH,66,5974,53,normal
OTH,66,5301,59,normal
OTH,66,3858,48,normal
OTH,78,3000,100,normal
S1,140,3713,100,normal
SF,946,3340,50,normal
SF,946,1893,100,normal
OTH,66,2823,50,normal
OTH,66,3210,54,normal
OTH,66,5099,42,normal
SF,946,2401,100,normal
OTH,146,6252,56,normal
S2,352,2138,100,normal
SF,946,1884,100,normal
SF,734,5152,58,normal
OTH,66,5031,47,normal
OTH,78,5269,78,normal
OTH,66,5192,43,normal
SF,946,2963,100,normal
SF,946,1882,100,normal
OTH,66,5066,47,normal
SF,946,3007,64,normal
OTH,66,3694,53,normal
OTH,146,2864,74,normal
SF,668,5895,43,normal
SF,946,1123,100,normal
OTH,66,3058,83,normal
SF,880,1914,50,normal
SF,734,2617,66,normal
S2,352,2522,100,normal
OTH,66,5106,42,normal
SF,946,1574,100,normal
SF,946,2082,100,normal
SF,946,1253,100,normal
SF,946,2061,100,normal
SF,946,593,100,normal
OTH,66,2860,49,normal
OTH,66,3211,47,normal
SF,946,1975,100,normal
OTH,66,3189,41,normal
OTH,66,3407,44,normal
OTH,66,4146,88,normal
SF,946,1912,100,normal
OTH,66,2728,47,normal
SF,946,2243,100,normal
OTH,66,2821,53,normal
SF,946,3009,100,normal
SF,430,3540,37,normal
SF,946,2190,100,normal
OTH,66,5667,16,normal
SF,946,1757,100,normal
SF,946,2044,100,normal
SF,946,1937,100,normal
OTH,78,6040,67,normal
OTH,66,6301,38,normal
OTH,66,2868,22,normal
SF,946,2186,100,normal
OTH,66,4739,50,normal
OTH,66,5873,44,normal
S3,880,1625,100,normal
SF,946,979,100,normal
SF,946,1974,100,normal
SF,946,2035,100,normal
SF,946,2685,100,normal
SF,880,1745,100,normal
SF,946,1933,63,normal
OTH,66,3703,46,normal
OTH,66,2656,52,normal
OTH,66,6259,53,normal
OTH,146,6465,88,normal
OTH,66,2830,49,normal
SF,946,2365,100,normal
SF,946,2423,100,normal
OTH,66,3207,63,normal
SF,946,2507,100,normal
OTH,78,5826,43,normal
OTH,78,484,100,normal
SF,1092,2245,100,normal
OTH,66,4902,35,normal
SF,946,225,100,normal
OTH,66,5061,48,normal
SF,946,2433,100,normal
OTH,66,6150,46,normal
OTH,66,4790,39,normal
OTH,66,2865,35,normal
OTH,66,3271,47,normal
OTH,66,3334,55,normal
SF,946,3104,65,normal
SF,946,3303,100,normal
OTH,66,3339,56,normal
SF,946,2068,100,normal
SF,946,2149,100,normal
OTH,78,5801,59,normal
OTH,66,3067,47,normal
OTH,66,5136,43,normal
OTH,66,2648,45,normal
OTH,66,4135,100,normal
SF,1024,2741,73,normal
OTH,66,5391,98,normal
OTH,66,4500,48,normal
OTH,66,3172,48,normal
OTH,66,3057,51,normal
OTH,66,3071,47,normal
S3,206,2579,100,normal
SF,946,1619,100,normal
OTH,66,4984,39,normal
OTH,66,3448,56,normal
SF,946,3959,100,normal
OTH,66,3506,45,normal
OTH,66,3705,48,normal
OTH,66,4041,99,normal
SF,880,2914,98,normal
SF,946,2216,100,normal
OTH,66,4538,38,normal
SF,946,1439,100,normal
OTH,66,3058,47,normal
SF,946,2337,100,normal
SF,946,616,100,normal
SF,946,2316,100,normal
OTH,66,3138,48,normal
OTH,66,5800,49,normal
SF,946,2190,98,normal
SF,946,2539,100,normal
S2,1024,3262,100,normal
OTH,66,2642,48,normal
OTH,66,2770,52,normal
SF,946,586,99,normal
SF,946,3366,100,normal
OTH,66,6313,52,normal
OTH,78,2876,76,normal
OTH,66,3069,45,normal
SF,880,1919,100,normal
SF,946,2033,100,normal
OTH,66,2491,51,normal
S1,286,2390,100,normal
SF,946,2150,100,normal
OTH,66,4978,31,normal
SF,946,3909,100,normal
SF,946,4066,100,normal
OTH,66,5608,74,normal
SF,946,3974,63,normal
SF,946,2167,100,normal
SF,1048,1728,100,normal
SF,946,3947,100,normal
SF,946,1663,100,normal
SF,946,3904,100,normal
OTH,66,2433,39,normal
OTH,66,3595,84,normal
OTH,66,3483,52,normal
SF,946,1933,100,normal
SF,946,2339,100,normal
OTH,66,6146,52,normal
SF,946,2173,100,normal
SF,946,2180,100,normal
SF,946,1843,100,normal
SF,946,2094,100,normal
OTH,66,6267,30,normal
OTH,78,5959,45,normal
OTH,66,5214,45,normal
SF,946,3008,100,normal
SF,880,2243,100,normal
OTH,66,6336,11,normal
OTH,66,3385,49,normal
OTH,66,3522,47,normal
OTH,66,5865,54,normal
SF,946,1482,100,normal
OTH,66,3141,43,normal
SF,946,3972,100,normal
OTH,66,5927,52,normal
SF,946,2068,100,normal
OTH,146,4658,36,normal
OTH,78,5738,64,normal
OTH,66,2580,36,normal
SF,946,1888,100,normal
SF,946,2067,100,normal
SF,880,2518,100,normal
OTH,66,2875,52,normal
SF,1120,1938,88,normal
OTH,66,3156,53,normal
SF,946,1562,100,normal
OTH,66,5131,49,normal
OTH,66,4384,27,normal
OTH,66,1877,34,normal
OTH,66,3006,42,normal
SF,946,3040,87,normal
OTH,66,5250,31,normal
SF,946,2896,100,normal
OTH,66,3277,43,normal
SF,946,2376,100,normal
SF,946,2952,100,normal
OTH,66,5920,55,normal
OTH,66,4608,43,normal
SF,946,1744,100,normal
SF,946,1059,100,normal
OTH,66,6080,45,normal
OTH,66,5839,42,normal
OTH,66,3929,23,normal
OTH,66,4649,45,normal
SF,946,579,100,normal
SF,880,3116,85,normal
OTH,66,3097,36,normal
OTH,66,5914,41,normal
SF,1120,2243,100,normal
SF,946,1640,100,normal
SF,946,3532,100,normal
SF,880,851,100,normal
