@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8-10,18,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
OTH,66,4876,4876,0,40,normal
OTH,66,5340,5340,0,91,normal
OTH,146,4875,4875,0,50,normal
SF,880,1960,1960,0,100,normal
SF,946,627,627,0,100,normal
SF,946,899,899,0,100,normal
SF,880,2227,2227,0,100,normal
SF,734,2986,2986,0,54,normal
SF,946,3102,3102,0,79,normal
SF,946,1939,1939,0,100,normal
SF,946,5751,5751,0,57,normal
OTH,66,2895,2895,0,39,normal
OTH,66,2565,2565,0,79,normal
SF,946,2181,2181,0,100,normal
SF,880,4264,4264,0,67,normal
SF,946,3866,3866,0,100,normal
SF,946,3106,3106,0,79,normal
SF,880,4235,4235,0,88,normal
OTH,66,3550,3550,0,44,normal
SF,946,2175,2175,0,100,normal
SF,1026,3142,3142,0,47,normal
SF,946,1185,1185,0,100,normal
SF,946,1954,1954,0,100,normal
RSTR,1218,1581,1581,0,100,normal
SF,946,299,299,0,100,normal
SF,946,2228,2228,0,100,normal
SF,946,3117,3117,0,87,normal
SF,946,1525,1525,0,100,normal
SF,946,1859,1859,0,100,normal
SF,430,3307,3307,0,80,normal
OTH,66,5089,5089,0,45,normal
OTH,66,3863,3863,0,52,normal
OTH,66,5002,5002,0,44,normal
SF,982,590,590,0,100,normal
OTH,66,3343,3343,0,50,normal
OTH,78,1875,1875,0,100,normal
SF,880,1962,1962,0,95,normal
S1,352,1684,1684,0.06,100,normal
SF,946,3886,3886,0,100,normal
SF,946,2087,2087,0,100,normal
SF,958,1883,1883,0,79,normal
SF,946,1962,1962,0,100,normal
SF,946,385,385,0,100,normal
OTH,66,6348,6348,0,10,normal
SF,1012,3278,3278,0,92,normal
SF,946,3885,3885,0,98,normal
SF,946,3876,3876,0,100,normal
SF,946,3248,3248,0,98,normal
OTH,66,4675,4675,0,51,normal
OTH,66,6262,6262,0,32,normal
OTH,66,3825,3825,0,44,normal
SF,946,3707,3707,0,100,normal
OTH,66,3516,3516,0,48,normal
S2,206,3157,3157,0.45,100,normal
SF,880,1495,1495,0,100,normal
OTH,66,2969,2969,0,61,normal
SF,946,1945,1945,0,100,normal
OTH,66,2845,2845,0,50,normal
OTH,66,3025,3025,0,55,normal
SF,946,4040,4040,0,100,normal
SF,946,1944,1944,0,100,normal
SF,946,2219,2219,0,100,normal
OTH,66,3012,3012,0,43,normal
OTH,66,3078,3078,0,71,normal
OTH,66,4402,4402,0,42,normal
OTH,66,3950,3950,0,70,normal
SF,1120,2197,2197,0,100,normal
OTH,78,5829,5829,0,65,normal
SF,1120,1220,1220,0,100,normal
OTH,66,3529,3529,0,50,normal
OTH,78,4814,4814,0,45,normal
OTH,66,2945,2945,0,46,normal
OTH,66,3401,3401,0,52,normal
OTH,146,3043,3043,0,41,normal
SF,1012,2224,2224,0,100,normal
OTH,66,3394,3394,0,52,normal
SF,1120,2612,2612,0,100,normal
SF,946,2056,2056,0,100,normal
OTH,66,4903,4903,0,59,normal
SF,946,2529,2529,0,94,normal
SF,1012,1577,1577,0,100,normal
OTH,66,6303,6303,0,32,normal
OTH,66,5081,5081,0,44,normal
