@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {normal,neptune,smurf,pod,back,land,attack,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@data
23,tcp,SF,15459,8057,0,0,0,1,0,0,0,0,0,0,1,4,44,1,0,0,0.91,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,142,148,0,0,0,0,1,0,0.04,33,33,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,88,88,0,0,0,0,1,0,0,15,15,1,0,0.94,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,207,208,0,0,0,0,1,0,0,32,32,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,72,73,0,0,0,0,1,0,0.01,38,38,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,545,0,0,0,5,5,0,0,0,0,1,0,0,7,19,1,0,0.35,0.63,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,54,55,0,0,0,0,1,0,0.02,33,33,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,108,108,0,0,0,0,1,0,0,22,22,1,0,0.96,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,47,47,0,0,0,0,1,0,0,37,37,1,0,0.97,0,0,0,0,0,normal
7,tcp,SF,1527,6192,0,0,0,3,0,0,0,0,0,0,1,0,70,0,0,0,1,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,491,496,0,0,0,0,1,0,0.01,43,43,1,0,0.98,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,153,156,0,0,0,0,1,0,0.02,34,34,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,80,99,0,0,0,0,1,0,0.19,38,39,1,0,0.95,0.03,0,0,0,0,normal
44,tcp,S1,2196,4375,0,0,1,86,1,0.44,0,0,1,0,0.99,1,39,1,0,0,0.97,1,0.64,0,0,normal
0,tcp,OTH,60,0,0,0,443,448,0,0,0,0,1,0,0.01,48,48,1,0,0.98,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,168,169,0,0,0,0,1,0,0.01,33,33,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,366,0,0,0,0,206,0,0,0,0,0,0,1,0,31,0,0,0,1,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,128,131,0,0,0,0,1,0,0.02,33,33,1,0,0.97,0,0,0,0,0,normal
1,tcp,SF,4311,123602,0,0,1,1,0,0,0,0,1,0,0,1,42,1,0,0,0.98,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,13,45,0,0,0,0,1,0,0.71,19,52,1,0,0.36,0.63,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,125,127,0,0,0,0,1,0,0.02,9,9,1,0,0.9,0,0,0,0,0,normal
18,tcp,SF,1787,6962,0,0,0,6,0,0,0,0,0,0,1,0,65,0,0,0,1,0,0,0,0,normal
0,tcp,OTH,138,0,0,0,58,60,0,0,0,0,1,0,0.03,36,36,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,148,169,0,0,0,0,1,0,0.12,29,33,1,0,0.85,0.12,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,203,204,0,0,0,0,1,0,0,36,36,1,0,0.97,0,0,0,0,0,normal
69,tcp,SF,3680,6488,0,0,0,1,0,0,0,0,0,0,1,5,51,1,0,0,0.9,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,213,213,0,0,0,0,1,0,0,32,32,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,239,245,0,0,0,0,1,0,0.02,48,48,1,0,0.98,0,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,316,318,0,0,0,0,1,0,0.01,38,38,1,0,0.97,0,0,0,0,0,normal
64,tcp,SF,2403,1042,0,0,2,4,0,0,0,0,1,0,0.5,3,45,1,0,0,0.93,0,0,0,0,normal
10,tcp,SF,2410,1658,0,0,0,2,0,0,0,0,0,0,1,13,61,1,0,0,0.79,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,98,101,0,0,0,0,1,0,0.03,30,32,1,0,0.91,0.06,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,38,43,0,0,0,0,1,0,0.12,38,39,1,0,0.95,0.03,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,35,152,0,0,0,0,1,0,0.77,7,36,1,0,0.19,0.81,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,1,5,0,0,0,0,1,0,0.8,1,39,1,0,0.03,0.97,0,0,0,0,normal
43,tcp,RSTO,2368,7650,0,0,0,31,0,0,0,0,0,0,1,0,28,0,0,0,1,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,147,176,0,0,0,0,1,0,0.16,34,34,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,6,193,0,0,0,0,0.83,0.17,0.97,6,36,0.83,0.17,0.14,0.86,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,53,54,0,0,0,0,1,0,0.02,38,38,1,0,0.97,0,0,0,0,0,normal
0,tcp,OTH,66,0,0,0,2,197,0,0,0,0,1,0,0.99,2,32,1,0,0.06,0.94,0,0,0,0,normal
0,tcp,OTH,60,0,0,0,156,160,0,0,0,0,1,0,0.03,38,40,1,0,0.93,0.05,0,0,0,0,normal
