@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-5,9,14,18,21,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute same_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,0,141,1,30,0.97,highrate
OTH,60,0,65,1,26,0.96,highrate
OTH,60,0,131,1,33,0.97,highrate
OTH,60,0,112,1,33,0.97,highrate
OTH,60,0,153,1,33,0.97,highrate
OTH,60,0,137,1,11,0.92,highrate
OTH,60,0,64,1,26,0.96,highrate
OTH,60,0,42,1,34,0.97,highrate
OTH,60,0,141,1,31,0.97,highrate
OTH,60,0,32,1,29,0.97,highrate
OTH,60,0,24,1,24,0.96,highrate
OTH,60,0,143,1,33,0.97,highrate
OTH,60,0,114,1,33,0.97,highrate
OTH,60,0,151,1,33,0.97,highrate
OTH,60,0,54,1,23,0.96,highrate
OTH,60,0,49,1,21,0.95,highrate
OTH,60,0,146,1,33,0.97,highrate
OTH,60,0,117,1,34,0.97,highrate
OTH,60,0,110,1,34,0.97,highrate
OTH,60,0,108,1,33,0.97,highrate
OTH,60,0,142,1,33,0.97,highrate
OTH,60,0,142,1,33,0.97,highrate
OTH,60,0,133,1,33,0.97,highrate
OTH,60,0,110,1,33,0.97,highrate
OTH,60,0,8,1,8,0.89,highrate
OTH,60,0,142,1,33,0.97,highrate
OTH,60,0,79,1,41,0.98,highrate
OTH,60,0,125,1,33,0.97,highrate
OTH,60,0,125,1,33,0.97,highrate
OTH,60,0,154,1,33,0.97,highrate
OTH,60,0,107,1,34,0.97,highrate
OTH,60,0,106,1,33,0.97,highrate
OTH,60,0,98,1,41,0.98,highrate
OTH,60,0,114,1,33,0.97,highrate
OTH,60,0,109,1,34,0.97,highrate
OTH,60,0,93,1,42,0.98,highrate
OTH,60,0,138,1,11,0.92,highrate
OTH,60,0,131,1,33,0.97,highrate
OTH,60,0,148,1,33,0.97,highrate
OTH,60,0,108,1,33,0.97,highrate
OTH,60,0,142,1,33,0.97,highrate
OTH,60,0,13,1,13,0.93,highrate
OTH,60,0,113,1,33,0.97,highrate
OTH,60,0,109,1,33,0.97,highrate
OTH,60,0,141,1,22,0.96,highrate
OTH,60,0,102,1,40,0.98,highrate
OTH,60,0,138,1,33,0.97,highrate
OTH,60,0,166,1,33,0.97,highrate
OTH,60,0,10,1,10,0.91,highrate
OTH,60,0,138,1,13,0.93,highrate
OTH,60,0,87,1,42,0.98,highrate
OTH,60,0,87,1,42,0.98,highrate
OTH,60,0,104,1,40,0.98,highrate
OTH,60,0,117,1,33,0.97,highrate
OTH,60,0,86,1,43,0.98,highrate
OTH,60,0,86,1,41,0.98,highrate
OTH,60,0,91,1,42,0.98,highrate
OTH,60,0,137,1,33,0.97,highrate
OTH,60,0,82,1,42,0.98,highrate
OTH,60,0,108,1,38,0.97,highrate
OTH,60,0,109,1,33,0.97,highrate
OTH,60,0,136,1,33,0.97,highrate
OTH,60,0,121,1,33,0.97,highrate
OTH,60,0,44,1,33,0.97,highrate
