% isAttack normal:	1000
% isAttack highrate:	500
% isAttack lowrate:	500
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8-9,16,18,21-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
SF,946,1945,1945,0,100,0,0,normal
OTH,66,3030,3030,0,45,0.17,0,normal
SF,946,105,105,0,100,0,0,normal
SF,880,3219,3219,0,98,0,0,normal
OTH,66,3616,3616,0,44,0,0,normal
SF,1120,2113,2113,0,100,0,0,normal
OTH,66,2856,2856,0,48,0.18,0,normal
SF,1020,1440,1440,0,100,0,0,normal
SF,880,1980,1980,0,100,0,0,normal
SF,946,2955,2955,0,100,0,0,normal
SF,1120,1530,1530,0,100,0,0,normal
OTH,66,2987,2987,0,46,0.13,0,normal
SF,946,2554,2554,0,100,0,0,normal
SF,946,2243,2243,0,100,0,0,normal
OTH,78,2849,2849,0,88,0.01,0,normal
SF,1024,1887,1887,0,79,0,0,normal
OTH,66,3079,3079,0,83,0.1,0,normal
S2,352,3407,3407,0,100,0,0,normal
SF,946,306,306,0,100,0,0,normal
OTH,78,3897,3897,0,88,0.01,0,normal
SF,880,2031,2031,0,100,0,0,normal
SF,946,1281,1281,0,100,0,0,normal
OTH,66,5099,5099,0,45,0.13,0,normal
SF,946,1291,1291,0,100,0,0,normal
RSTR,958,1776,1776,0,100,0,0,normal
OTH,66,3021,3021,0,84,0.04,0,normal
SF,946,2321,2321,0,100,0,0,normal
SF,946,3873,3873,0,100,0,0,normal
SF,946,2077,2077,0,100,0,0,normal
SF,946,2334,2334,0,100,0,0,normal
SF,946,4071,4071,0,100,0,0,normal
SF,946,1910,1910,0,89,0,0,normal
OTH,66,5104,5104,0,50,0.04,0,normal
S1,880,3467,3467,0,100,0,0,normal
SF,1024,3210,3210,0,52,0,0,normal
OTH,66,5192,5192,0,28,0,0,normal
OTH,66,3101,3101,0,83,0.04,0,normal
SF,946,1852,1852,0,100,0,0,normal
OTH,66,4955,4955,0,43,0.11,0,normal
SF,946,1842,1842,0,100,0,0,normal
OTH,66,5964,5964,0,52,0.15,0,normal
SF,946,2381,2381,0,100,0,0,normal
OTH,66,5686,5686,0,47,0.12,0,normal
SF,946,4011,4011,0,94,0,0,normal
OTH,66,3607,3607,0,32,0.09,0,normal
OTH,66,5182,5182,0,22,0,0,normal
OTH,66,5961,5961,0,39,0.03,0,normal
SF,946,2077,2077,0,100,0,0,normal
OTH,66,3201,3201,0,48,0.04,0,normal
SF,946,1855,1855,0,100,0,0,normal
SF,1048,2134,2134,0,100,0,0,normal
SF,946,1671,1671,0,100,0,0,normal
SF,946,1829,1829,0,100,0,0,normal
SF,946,1895,1895,0,100,0,0,normal
OTH,146,3075,3075,0,46,0.02,0,normal
OTH,146,5229,5229,0,39,0.03,0,normal
OTH,66,3686,3686,0,91,0.02,0,normal
SF,946,1936,1936,0,100,0,0,normal
SF,946,2066,2066,0,100,0,0,normal
OTH,66,2878,2878,0,53,0.15,0,normal
OTH,66,3363,3363,0,52,0.09,0,normal
OTH,66,2909,2909,0,19,0.2,0,normal
OTH,66,3172,3172,0,67,0.12,0,normal
OTH,66,2931,2931,0,49,0.16,0,normal
SF,946,2147,2147,0,100,0,0,normal
SF,946,2051,2051,0,88,0,0,normal
SF,1024,3067,3067,0,72,0,0,normal
OTH,66,3906,3906,0,51,0.13,0,normal
OTH,66,5189,5189,0,40,0.02,0,normal
SF,946,2440,2440,0,100,0,0,normal
OTH,78,1858,1858,0,100,0.01,0,normal
SF,946,2511,2511,0,100,0,0,normal
OTH,66,6237,6237,0,47,0.08,0,normal
OTH,78,5707,5707,0,46,0.02,0,normal
OTH,66,3207,3207,0,48,0.04,0,normal
SF,946,2612,2612,0,100,0,0,normal
S3,286,2762,2762,0,100,0,0,normal
OTH,66,4310,4310,0,48,0,0,normal
SF,946,280,280,0,100,0,0,normal
SF,946,642,642,0,100,0,0,normal
OTH,66,3156,3156,0,52,0,0,normal
SF,946,2282,2282,0,100,0,0,normal
SF,946,2125,2125,0,100,0,0,normal
S3,814,2126,2126,0,100,0,0,normal
SF,946,590,590,0,100,0,0,normal
SF,946,1925,1925,0,86,0,0,normal
OTH,66,5092,5092,0,69,0,0,normal
OTH,66,4840,4840,0,57,0,0,normal
OTH,66,3838,3838,0,44,0,0,normal
OTH,66,3186,3186,0,100,0.04,0,normal
OTH,66,3294,3294,0,45,0.13,0,normal
SF,946,2843,2843,0,100,0,0,normal
SF,946,1863,1863,0,100,0,0,normal
SF,946,2201,2201,0,100,0,0,normal
S1,386,2159,2159,0,100,0,0,normal
S2,1024,3257,3257,0,100,0,0,normal
OTH,66,5933,5933,0,41,0.21,0,normal
OTH,66,6028,6028,0,42,0.09,0,normal
SF,946,2023,2023,0,100,0,0,normal
SF,946,3942,3942,0,71,0,0,normal
SF,946,2357,2357,0,100,0,0,normal
S2,946,3631,3631,0,100,0,0,normal
SF,946,2170,2170,0,100,0,0,normal
OTH,146,5309,5309,0,81,0,0,normal
SF,734,3944,3944,0,71,0,0,normal
SF,946,2818,2818,0,99,0,0,normal
OTH,66,3037,3037,0,20,0.38,0,normal
SF,946,3049,3049,0,100,0,0,normal
SF,880,1129,1129,0,100,0,0,normal
SF,946,1393,1393,0,100,0,0,normal
SF,1120,2127,2127,0,100,0,0,normal
OTH,66,3810,3810,0,39,0.05,0,normal
SF,946,2047,2047,0,100,0,0,normal
OTH,66,3281,3281,0,38,0.18,0,normal
OTH,146,2972,2972,0,44,0.02,0,normal
SF,946,2143,2143,0,91,0,0,normal
OTH,66,2368,2368,0,52,0.04,0,normal
SF,946,3381,3381,0,100,0,0,normal
OTH,146,2789,2789,0,79,0.03,0,normal
SF,946,2263,2263,0,100,0,0,normal
SF,946,1558,1558,0,100,0,0,normal
OTH,66,3667,3667,0,45,0,0,normal
OTH,66,3947,3947,0,84,0.02,0,normal
OTH,66,2814,2814,0,46,0.11,0,normal
SF,946,1606,1606,0,100,0,0,normal
SF,946,2914,2914,0,100,0,0,normal
SF,946,1580,1580,0,100,0,0,normal
OTH,66,2608,2608,0,43,0.18,0,normal
OTH,66,5789,5789,0,32,0.12,0,normal
SF,946,2290,2290,0,100,0,0,normal
SF,946,3090,3090,0,100,0,0,normal
SF,946,1916,1916,0,50,0,0,normal
SF,946,307,307,0,100,0,0,normal
OTH,66,4210,4210,0,57,0.1,0,normal
SF,946,5681,5681,0,72,0,0,normal
OTH,66,5340,5340,0,81,0,0,normal
OTH,66,3195,3195,0,43,0.16,0,normal
SF,1024,3115,3115,0,74,0,0,normal
OTH,66,3185,3185,0,53,0.02,0,normal
OTH,66,2770,2770,0,50,0.16,0,normal
OTH,66,4996,4996,0,68,0.01,0,normal
OTH,66,5199,5199,0,51,0.15,0,normal
SF,946,2102,2102,0,100,0,0,normal
SF,946,905,905,0,99,0,0,normal
SF,946,976,976,0,100,0,0,normal
SF,880,1471,1471,0,100,0,0,normal
OTH,66,5491,5491,0,79,0.03,0,normal
SF,946,20,20,0,20,0,0,normal
OTH,66,6233,6233,0,50,0,0,normal
SF,946,2057,2057,0,99,0,0,normal
SF,946,3053,3053,0,100,0,0,normal
SF,946,1528,1528,0,100,0,0,normal
SF,946,2146,2146,0,100,0,0,normal
OTH,146,3091,3091,0,41,0,0,normal
S2,206,2575,2575,0,100,0,0,normal
SF,946,779,779,0,100,0,0,normal
SF,946,1871,1871,0,100,0,0,normal
OTH,66,2795,2795,0,53,0,0,normal
SF,946,985,985,0,100,0,0,normal
OTH,66,6297,6297,0,44,0.02,0,normal
SF,946,2456,2456,0,100,0,0,normal
SF,430,3309,3309,0,82,0,0,normal
OTH,66,2740,2740,0,56,0.05,0,normal
OTH,66,1449,1449,0,50,0.02,0,normal
SF,946,2153,2153,0,100,0,0,normal
S2,1024,3266,3266,0,100,0,0,normal
S2,946,3582,3582,0,100,0,0,normal
