% isAttack normal:	2000
% isAttack attack:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,16,18,20-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,66,2920,0,53,0,0.13,0,normal
tcp,SF,946,2364,0,100,0,0,0,normal
tcp,SF,946,1462,0,100,0,0,0,normal
tcp,SF,946,2167,0,100,0,0,0,normal
tcp,SF,946,1152,0,100,0,0,0,normal
tcp,SF,946,2151,0,100,0,0,0,normal
tcp,SF,946,2485,0,100,0,0,0,normal
tcp,SF,880,2158,0,86,0,0,0,normal
tcp,OTH,66,2734,0,51,0,0.13,0,normal
tcp,OTH,66,5880,0,55,0,0,0,normal
tcp,SF,880,1943,0,100,0,0,0,normal
tcp,SF,946,2102,0,100,0,0,0,normal
tcp,OTH,66,5517,0,100,0,0.01,0,normal
tcp,OTH,146,2586,0,69,0,0.01,0,normal
tcp,OTH,66,3586,0,59,0,0.07,0,normal
tcp,SF,946,1881,0,100,0,0,0,normal
tcp,SF,946,4000,0,98,0,0,0,normal
tcp,SF,1120,2065,0,100,0,0,0,normal
tcp,SF,946,1877,0,100,0,0,0,normal
tcp,OTH,66,3832,0,31,0,0.12,0,normal
tcp,OTH,66,3361,0,49,0,0.14,0,normal
tcp,OTH,146,4296,0,46,0,0,0,normal
tcp,SF,946,3517,0,100,0,0,0,normal
tcp,OTH,66,1883,0,39,0,0.12,0,normal
tcp,OTH,66,5163,0,42,0,0,0,normal
tcp,OTH,66,4487,0,49,0,0.1,0,normal
tcp,OTH,66,3157,0,40,0,0.15,0,normal
tcp,SF,1024,3014,0,55,0,0,0,normal
tcp,OTH,66,3988,0,48,0,0,0,normal
tcp,SF,946,2202,0,100,0,0,0,normal
tcp,OTH,66,5315,0,73,0,0.01,0,normal
tcp,SF,946,502,0,97,0,0,0,normal
tcp,SF,946,3874,0,100,0,0,0,normal
tcp,OTH,66,4496,0,47,0,0.1,0,normal
tcp,OTH,66,2721,0,46,0,0.13,0,normal
tcp,SF,946,2101,0,100,0,0,0,normal
tcp,SF,946,2700,0,78,0,0,0,normal
tcp,SF,946,2108,0,100,0,0,0,normal
