% isAttack normal:	2000
% isAttack highrate:	1000
% isAttack lowrate:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,9,18-19,21,24,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute srv_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
SF,946,1849,100,1,0,0,normal
SF,946,2289,100,1,0,0,normal
SF,880,2185,100,1,0,0,normal
SF,880,2182,100,1,0,0,normal
OTH,66,4758,53,1,0.06,0,normal
SF,946,1378,100,1,0,0,normal
SF,946,3945,54,1,0,0,normal
OTH,66,3490,57,1,0.09,0,normal
SF,946,1836,100,1,0,0,normal
SF,946,2054,100,1,0,0,normal
OTH,66,5271,43,1,0.05,0,normal
SF,946,2165,100,1,0,0,normal
OTH,66,2921,54,1,0.15,0,normal
SF,946,3347,96,1,0,0,normal
SF,1012,3285,92,1,0,0,normal
OTH,66,2899,47,1,0.12,0,normal
SF,946,779,100,1,0,0,normal
SF,880,886,99,1,0,0,normal
SF,946,2362,100,1,0,0,normal
OTH,66,3500,51,1,0.12,0,normal
SF,946,2239,100,1,0,0,normal
OTH,66,3315,51,1,0.04,0,normal
OTH,146,5230,40,1,0.02,0,normal
SF,880,3365,75,1,0,0,normal
SF,946,2213,100,1,0,0,normal
OTH,66,2941,52,1,0.17,0,normal
OTH,66,3678,46,1,0.04,0,normal
OTH,66,3447,73,1,0,0,normal
OTH,66,6231,52,1,0.11,0,normal
SF,946,2724,100,1,0,0,normal
SF,946,2013,100,1,0,0,normal
SF,946,1146,100,1,0,0,normal
SF,946,2287,100,1,0,0,normal
SF,946,3091,40,1,0,0,normal
OTH,66,3825,40,1,0.07,0,normal
SF,946,2144,91,1,0,0,normal
SF,946,1935,100,1,0,0,normal
SF,946,1488,95,1,0,0,normal
SF,1012,2095,99,1,0,0,normal
SF,946,2228,100,1,0,0,normal
RSTR,826,3071,100,1,0,0.65,normal
SF,946,2882,100,1,0,0,normal
OTH,66,5857,36,1,0.03,0,normal
OTH,66,6038,48,1,0,0,normal
OTH,66,3144,44,1,0.04,0,normal
OTH,66,2706,37,1,0.05,0,normal
OTH,66,3850,46,1,0.02,0,normal
OTH,66,4988,34,1,0,0,normal
SF,946,1916,100,1,0,0,normal
SF,880,18,18,1,0,0,normal
SF,946,2301,100,1,0,0,normal
S1,286,2404,100,1,0,1,normal
SF,946,2950,100,1,0,0,normal
OTH,66,2749,52,1,0.06,0,normal
SF,1120,1665,100,1,0,0,normal
OTH,66,4807,38,1,0.08,0,normal
S1,140,3215,100,1,0,1,normal
SF,946,2389,100,1,0,0,normal
SF,946,2611,99,1,0,0,normal
SF,946,1916,85,1,0,0,normal
S3,286,1885,100,1,0,0.62,normal
OTH,66,3222,52,1,0.15,0,normal
S1,286,1826,100,1,0,0.47,normal
SF,946,1314,100,1,0,0,normal
SF,880,2143,100,1,0,0,normal
SF,946,2952,100,1,0,0,normal
SF,946,2172,100,1,0,0,normal
OTH,66,4982,40,1,0.02,0,normal
SF,946,2273,100,1,0,0,normal
SF,946,1979,100,1,0,0,normal
OTH,66,5183,37,1,0.08,0,normal
