% isAttack normal:	2000
% isAttack attack:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R3,5,12,18,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_bytes numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,attack}

@data
SF,12461,0,100,normal
SF,12461,0,100,normal
SF,12395,0,100,normal
SF,12395,0,100,normal
OTH,0,0,53,normal
SF,12461,0,100,normal
SF,12461,0,54,normal
OTH,0,0,57,normal
SF,12395,0,100,normal
SF,12461,0,100,normal
OTH,0,0,43,normal
SF,12461,0,100,normal
OTH,0,0,54,normal
SF,12461,0,96,normal
SF,12461,0,92,normal
OTH,0,0,47,normal
SF,12461,0,100,normal
SF,12395,0,99,normal
SF,12461,0,100,normal
OTH,0,0,51,normal
SF,12461,0,100,normal
OTH,0,0,51,normal
OTH,0,0,40,normal
SF,12395,0,75,normal
SF,12395,0,100,normal
OTH,0,0,52,normal
OTH,0,0,46,normal
OTH,0,0,73,normal
OTH,0,0,52,normal
SF,12461,0,100,normal
SF,12461,0,100,normal
SF,12461,0,100,normal
SF,12461,0,100,normal
SF,12461,0,40,normal
OTH,0,0,40,normal
SF,12461,0,91,normal
SF,12461,0,100,normal
SF,12461,0,95,normal
SF,12461,0,99,normal
SF,12461,0,100,normal
RSTR,12587,0,100,normal
SF,12461,0,100,normal
OTH,0,0,36,normal
OTH,0,0,48,normal
OTH,0,0,44,normal
OTH,0,0,37,normal
OTH,0,0,46,normal
OTH,0,0,34,normal
SF,12461,0,100,normal
SF,12395,0,18,normal
SF,12461,0,100,normal
S1,140,0,100,normal
SF,12461,0,100,normal
OTH,0,0,52,normal
SF,12461,0,100,normal
OTH,0,0,38,normal
S1,140,0,100,normal
SF,12461,0,100,normal
SF,12395,0,99,normal
SF,12461,0,85,normal
S3,12395,0,100,normal
OTH,0,0,52,normal
S1,66,0,100,normal
SF,12461,0,100,normal
SF,12395,0,100,normal
SF,12461,0,100,normal
SF,12461,0,100,normal
OTH,0,0,40,normal
SF,12461,0,100,normal
SF,12461,0,100,normal
OTH,0,0,37,normal
OTH,0,0,63,normal
S1,12395,0,100,normal
SF,12461,0,100,normal
OTH,0,0,46,normal
OTH,0,0,80,normal
