@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,1849,0,100,normal
tcp,SF,2289,0,100,normal
tcp,SF,2185,0,100,normal
tcp,SF,2182,0,100,normal
tcp,OTH,4758,0,53,normal
tcp,SF,1378,0,100,normal
tcp,SF,3945,0,54,normal
tcp,OTH,3490,0,57,normal
tcp,SF,1836,0,100,normal
tcp,SF,2054,0,100,normal
tcp,OTH,5271,0,43,normal
tcp,SF,2165,0,100,normal
tcp,OTH,2921,0,54,normal
tcp,SF,3347,0,96,normal
tcp,SF,3285,0,92,normal
tcp,OTH,2899,0,47,normal
tcp,SF,779,0,100,normal
tcp,SF,886,0,99,normal
tcp,SF,2362,0,100,normal
tcp,OTH,3500,0,51,normal
tcp,SF,2239,0,100,normal
tcp,OTH,3315,0,51,normal
tcp,OTH,5230,0,40,normal
tcp,SF,3365,0,75,normal
tcp,SF,2213,0,100,normal
tcp,OTH,2941,0,52,normal
tcp,OTH,3678,0,46,normal
tcp,OTH,3447,0,73,normal
tcp,OTH,6231,0,52,normal
tcp,SF,2724,0,100,normal
tcp,SF,2013,0,100,normal
tcp,SF,1146,0,100,normal
tcp,SF,2287,0,100,normal
tcp,SF,3091,0,40,normal
tcp,OTH,3825,0,40,normal
tcp,SF,2144,0,91,normal
tcp,SF,1935,0,100,normal
tcp,SF,1488,0,95,normal
tcp,SF,2095,0,99,normal
tcp,SF,2228,0,100,normal
tcp,RSTR,3071,0,100,normal
tcp,SF,2882,0,100,normal
tcp,OTH,5857,0,36,normal
tcp,OTH,6038,0,48,normal
tcp,OTH,3144,0,44,normal
tcp,OTH,2706,0,37,normal
tcp,OTH,3850,0,46,normal
tcp,OTH,4988,0,34,normal
tcp,SF,1916,0,100,normal
tcp,SF,18,0,18,normal
tcp,SF,2301,0,100,normal
tcp,S1,2404,0,100,normal
tcp,SF,2950,0,100,normal
tcp,OTH,2749,0,52,normal
tcp,SF,1665,0,100,normal
tcp,OTH,4807,0,38,normal
tcp,S1,3215,0,100,normal
tcp,SF,2389,0,100,normal
tcp,SF,2611,0,99,normal
tcp,SF,1916,0,85,normal
tcp,S3,1885,0,100,normal
tcp,OTH,3222,0,52,normal
tcp,S1,1826,0,100,normal
tcp,SF,1314,0,100,normal
tcp,SF,2143,0,100,normal
tcp,SF,2952,0,100,normal
tcp,SF,2172,0,100,normal
tcp,OTH,4982,0,40,normal
tcp,SF,2273,0,100,normal
tcp,SF,1979,0,100,normal
tcp,OTH,5183,0,37,normal
tcp,OTH,3606,0,63,normal
tcp,S1,3504,0,100,normal
tcp,SF,4133,0,100,normal
tcp,OTH,2781,0,46,normal
tcp,OTH,5494,0,80,normal
tcp,SF,3827,0,58,normal
tcp,SF,2241,0,100,normal
tcp,SF,3885,0,100,normal
tcp,SF,2912,0,100,normal
tcp,OTH,3117,0,56,normal
tcp,OTH,5831,0,63,normal
tcp,OTH,5472,0,93,normal
tcp,OTH,4853,0,45,normal
tcp,SF,2012,0,100,normal
tcp,OTH,3010,0,41,normal
tcp,SF,3895,0,98,normal
tcp,SF,2507,0,94,normal
tcp,OTH,5350,0,92,normal
tcp,OTH,3025,0,46,normal
tcp,OTH,3318,0,61,normal
tcp,OTH,4423,0,46,normal
tcp,SF,2299,0,100,normal
tcp,OTH,3828,0,27,normal
tcp,SF,2830,0,100,normal
tcp,SF,2075,0,100,normal
tcp,S1,2338,0,100,normal
tcp,SF,3059,0,76,normal
tcp,OTH,2483,0,52,normal
tcp,SF,2429,0,98,normal
tcp,SF,2399,0,100,normal
tcp,OTH,3902,0,47,normal
tcp,SF,2779,0,100,normal
tcp,SF,3955,0,100,normal
tcp,OTH,3284,0,41,normal
tcp,OTH,2852,0,46,normal
tcp,OTH,3373,0,52,normal
tcp,OTH,5697,0,51,normal
tcp,SF,2301,0,100,normal
tcp,OTH,4975,0,48,normal
tcp,OTH,3734,0,100,normal
tcp,OTH,2980,0,50,normal
tcp,SF,2972,0,100,normal
tcp,OTH,3451,0,40,normal
tcp,SF,2235,0,100,normal
tcp,SF,1828,0,100,normal
tcp,OTH,2497,0,52,normal
tcp,SF,2161,0,100,normal
tcp,SF,2215,0,100,normal
tcp,SF,2183,0,100,normal
tcp,OTH,3840,0,42,normal
tcp,OTH,2207,0,56,normal
tcp,RSTR,1549,0,97,normal
tcp,OTH,5196,0,76,normal
tcp,SF,2527,0,100,normal
tcp,S1,2660,0,100,normal
tcp,SF,2890,0,100,normal
tcp,OTH,2194,0,56,normal
tcp,OTH,5739,0,59,normal
tcp,SF,2131,0,100,normal
tcp,SF,2969,0,63,normal
tcp,OTH,3336,0,35,normal
tcp,SF,3119,0,89,normal
tcp,SF,1560,0,100,normal
